,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,ft_uname,ft_rname,ft_commit_date,author_association,merged_status,pull_title,pull_msg,pullauthordate,pullid,ft_total_changes,ft_addns,ft_delns,commitauthordate,commitid,pullcommitsha,pullcommitmsg,repodesc,repolang
0,7170,12925,7170,0xflotus,contain-facebook,2018-11-26T22:17:57Z,CONTRIBUTOR,True,fixed Multi-Account in README,Shouldn't it be Multi-Account?,2018-11-26T23:12:38Z,https://api.github.com/repos/mozilla/contain-facebook/pulls/188,2.0,1.0,1.0,2018-11-26T22:17:57Z,590611baa99e9dafba1bf637147bfc5765734c8d,590611baa99e9dafba1bf637147bfc5765734c8d,"fixed Multi-Account in README

Shouldn't it be Multi-Account?",Facebook Container isolates your Facebook activity from the rest of your web activity in order to prevent Facebook from tracking you outside of the Facebook website via third party cookies.,JavaScript
1,11541,29177,11541,AlexLakatos,Reps,2017-03-02T21:40:01Z,CONTRIBUTOR,True,adding the first issue of the reps newsletter,,2017-03-02T21:40:16Z,https://api.github.com/repos/mozilla/Reps/pulls/145,911.0,911.0,0.0,2017-03-02T21:40:01Z,f3928d09c3097aac82d95143845cee13f45835e1,f3928d09c3097aac82d95143845cee13f45835e1,adding the first issue of the reps newsletter,This is the Repo for tracking the goals of the reps organization in Mozilla! Wooooo!,HTML
2,11540,29176,11540,AlexLakatos,Reps,2017-03-31T22:36:41Z,CONTRIBUTOR,True,added reps newsletter for march,,2017-03-31T22:36:57Z,https://api.github.com/repos/mozilla/Reps/pulls/152,1128.0,1128.0,0.0,2017-03-31T22:36:41Z,07b1619ca86e1d2bf12229ed6d3e4c70593f2af0,07b1619ca86e1d2bf12229ed6d3e4c70593f2af0,added reps newsletter for march,This is the Repo for tracking the goals of the reps organization in Mozilla! Wooooo!,HTML
3,11539,29175,11539,AlexLakatos,Reps,2017-05-05T10:03:54Z,CONTRIBUTOR,True,adding the april issue of the newsletter,,2017-05-05T10:06:16Z,https://api.github.com/repos/mozilla/Reps/pulls/164,1171.0,1171.0,0.0,2017-05-05T10:03:54Z,96ca23cfb51b704c2148812a0f6ed768eca3a6b1,96ca23cfb51b704c2148812a0f6ed768eca3a6b1,adding the april issue of the newsletter,This is the Repo for tracking the goals of the reps organization in Mozilla! Wooooo!,HTML
4,1808,1808,1808,AlinSelagea,build-slaveapi,2017-10-25T08:42:22Z,CONTRIBUTOR,True,Revert bug 1399404,,2017-10-25T08:45:20Z,https://api.github.com/repos/mozilla/build-slaveapi/pulls/11,25.0,15.0,10.0,2017-10-25T08:42:22Z,5b8bdbfbfe6a71b282e8fb15e7bb7a1c6d2b9da4,5b8bdbfbfe6a71b282e8fb15e7bb7a1c6d2b9da4,Revert bug 1399404,Part of releng tooling,Python
5,11732,29368,11732,AlinT,bouncer-tests,2012-11-21T14:49:32Z,CONTRIBUTOR,True,Xfail due to new found bug 813968 - alias returns 404,"https://bugzilla.mozilla.org/show_bug.cgi?id=813968
",2012-11-21T14:50:08Z,https://api.github.com/repos/mozilla/bouncer-tests/pulls/22,10.0,7.0,3.0,2012-11-21T14:49:32Z,39eb7939bf587d9e546d7d64e1a8f46186b249c4,39eb7939bf587d9e546d7d64e1a8f46186b249c4,"Xfail due to new found bug 813968 - alias returns 404
https://bugzilla.mozilla.org/show_bug.cgi?id=813968",Tests for Mozilla's Bouncer; see https://github.com/mozilla-services/go-bouncer,
6,3799,3799,3799,AlphaRoy14,mozilla-campus-clubs,2019-07-25T08:06:23Z,CONTRIBUTOR,True,Updated activities.html,Fixed some typos and spelling mistakes.,2019-07-25T08:08:48Z,https://api.github.com/repos/mozilla/mozilla-campus-clubs/pulls/234,8.0,4.0,4.0,2019-07-25T08:06:23Z,af97ef712ebb7e2839659a72917dce3720299e11,af97ef712ebb7e2839659a72917dce3720299e11,Fixed typos,Mozilla Campus Clubs,JavaScript
7,4567,4567,4567,Archaeopteryx,moz-corsica,2015-08-10T18:16:30Z,CONTRIBUTOR,True,Readd 'Mozilla is my Dinosaur',"The date part of the url got update, so use the new one.
",2015-08-10T18:20:53Z,https://api.github.com/repos/mozilla/moz-corsica/pulls/33,1.0,1.0,0.0,2015-08-10T18:16:30Z,6fc881c1771322481236916304189a8aa3ddfdf3,6fc881c1771322481236916304189a8aa3ddfdf3,Readd 'Mozilla is my Dinosaur',Public Corsica instance for the ambient Mozilla office,Shell
8,4539,4539,4539,Archaeopteryx,moz-corsica,2016-09-19T16:55:12Z,CONTRIBUTOR,True,Issue #72: Drop View Source conference slide,,2016-09-19T16:57:33Z,https://api.github.com/repos/mozilla/moz-corsica/pulls/73,1.0,0.0,1.0,2016-09-19T16:55:12Z,5a9703c192185c4604f45a164db71b271f3fabd6,5a9703c192185c4604f45a164db71b271f3fabd6,Drop View Source conference slide,Public Corsica instance for the ambient Mozilla office,Shell
9,2528,2528,2528,AutomatedTester,input-tests,2010-12-02T15:39:32Z,CONTRIBUTOR,True,2 Tests and code clean up,"I have added 2 tests and have cleaned a bit of the code 
",2010-12-03T20:12:51Z,https://api.github.com/repos/mozilla/input-tests/pulls/3,33.0,9.0,24.0,2010-12-02T15:39:32Z,b277a6af186b94ac722974bfa35c41f1f677acd3,b277a6af186b94ac722974bfa35c41f1f677acd3,Removed Dead code,Tests for Mozilla Input website.,
