,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/96,96,Add Mozilla Code of Conduct,"Fixes #95


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T07:01:16Z,CONTRIBUTOR,True,15,0,1,,JavaScript,579df82fa17ac8dd8079cc34e9f06bfe027ddd3e,"Add Mozilla Code of Conduct file

Fixes #95.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/93,93,increment to version 1.0.5,,ericawright,10803178,2018-09-14T16:49:08Z,CONTRIBUTOR,True,4,4,3,,JavaScript,fe8565e6bc642f9e188482237e437b7b535ca1e6,increment to version 1.0.5
2,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/92,92,fix tests for doorhanger,,ericawright,10803178,2018-09-14T16:12:04Z,CONTRIBUTOR,True,7,12,1,,JavaScript,4bf57fb2770b861266bfed2a7c53476a023586a6,fix tests for doorhanger
3,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/91,91,Allow survey to be shown on the same tab again after navigation.,fixes: #90,ericawright,10803178,2018-09-14T15:33:35Z,CONTRIBUTOR,True,2,1,1,,JavaScript,e2221788d6959cda26468eae83537abc694f22b9,Allow survey to be shown on the same tab again after navigation.
4,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/88,88,Remove leftovers which were causing survey to appear too often.,"left from #85, whoops",ericawright,10803178,2018-09-13T21:04:44Z,CONTRIBUTOR,True,0,5,1,,JavaScript,32e66c45aa52a103b303b064e7d8b6242f2ed7bd,Remove leftovers which were causing survey to appear too often.
5,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/87,87,increment version number.,Incremented version to be packaged for xpi signing.,ericawright,10803178,2018-09-13T21:03:45Z,CONTRIBUTOR,True,2276,2276,3,,JavaScript,70a69170cb30b84d8b2db7042d133a732a40c237,increment version number.
6,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/86,86,stop getting the doc from the docshell.,"based on https://github.com/mozilla/FastBlockShield/pull/129/files

The error that the docshell does not exist upon closing tabs no longer happens, and no longer needs to be worked around. We no longer get the pings containing 'num_blockable_trackers: -1'",ericawright,10803178,2018-09-13T20:45:28Z,CONTRIBUTOR,True,12,12,1,,JavaScript,a49b3f90ab40215174f59332a5d139f32d210b96,stop getting the doc from the docshell.
7,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/85,85,Attach survey telemetry to the page it was connected to.,"based on https://github.com/mozilla/FastBlockShield/pull/124

This introduces a new attribute on the tabInfo called
`payloadWaitingForSurvey`, which keeps a payload that is currently held
back from sending because the user still needs to respond to the reload
survey.

- `payloadWaitingForSurvey` sends on interaction with the survey, or on the next page refresh if the survey did not show up.
- If there is a `payloadWaitingForSurvey` waiting to send, and you close the tab, you will see 2 payloads sent

note: My tests fail at `5-reload-doorhanger.js line 171`, though they failed for the other PR too - could someone double check this please.

fixes: #84 

apparently also:
fixes: #79",ericawright,10803178,2018-09-12T21:30:13Z,CONTRIBUTOR,True,390,171,8,,JavaScript,d4d5cc6bd9bbcacc9dedcdb9874bdfef388051fc,Attach survey telemetry to the page it was connected to.
8,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/83,83,add third branch that blocks all third party cookies,"@TanviHacks @johannhof @groovecoder 

If the third branch to block all third party cookies is proposed and approved here is 
- the behaviour for it, 
- an update for the docs 
- an addition to the tests.",ericawright,10803178,2018-09-11T22:41:56Z,CONTRIBUTOR,True,101,5,4,,JavaScript,dc73d1be1ba0d7832c263e5c119063e3eae140aa,add third branch that blocks all third party cookies
9,https://api.github.com/repos/mozilla/CookieRestrictionsShield/pulls/82,82,only offer chance of popup if interaction has happened in the previou…,"…s refreshes

This is to avoid automatic refreshes that might come from page errors or other events on the page.

If the user has interacted with the page - clicked, entered data into an input etc - then on the next refresh (and subsequent refreshes) they have a chance of seeing the popup.

This flag gets reset on a navigate event - then they need to interact again to receive a chance of seeing the popup.

With an early exit tabInfo.reloadCount does not increment from these refreshes.

note: It hasn't been fully decided if we'd like to take this route yet

fixes: #79 ",ericawright,10803178,2018-09-11T19:09:43Z,CONTRIBUTOR,False,9,0,3,,JavaScript,2e83bc8c5e6a2967c04357e0244c114a8466171b,only offer chance of popup if interaction has happened in the previous refreshes
