,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/FlightDeck/pulls/194,194,use basename to hide directory structure,,zalun,97885,2014-02-25T17:20:15Z,NONE,True,1,1,1,SDK and Gallery of Mozilla JetPacks,JavaScript,541be60ae2171d8ebf75cf4830e2c24c7ce7267a,use basename to hide directory structure
1,https://api.github.com/repos/mozilla/FlightDeck/pulls/193,193,ability to download_all files with one click,,zalun,97885,2014-02-25T13:23:55Z,NONE,True,50,3,6,SDK and Gallery of Mozilla JetPacks,JavaScript,ac9580052c7d76d692c75354062b8f9c4d3a3d8e,ability to download_all files with one click
2,https://api.github.com/repos/mozilla/FlightDeck/pulls/192,192,info on the homepage,,zalun,97885,2013-12-06T10:41:26Z,NONE,True,20,15,1,SDK and Gallery of Mozilla JetPacks,JavaScript,5860a0084033138cd61dccde764dcb7db89c2d76,info on the homepage
3,https://api.github.com/repos/mozilla/FlightDeck/pulls/191,191,switching read_only mode,"waffle switch ""read_only"" is needed to switch the site to read only mode
",zalun,97885,2013-12-04T14:36:17Z,NONE,True,8,3,3,SDK and Gallery of Mozilla JetPacks,JavaScript,00e20cfe374fc00770da77c84b16323deda7a478,"switching read_only mode
waffle switch ""read_only"" is needed to switch the site to read only mode"
4,https://api.github.com/repos/mozilla/FlightDeck/pulls/190,190,Fixed the problem with Mozilla logo,"The Firefox logo in footer is overlapping the text in the footer, its fixed with small edit in the CSS.  

Just remove the margin that is applied for the background image ""#footer div.UI_middleWrap

Here is how it will look after this change and now.

![adonbuilder bug](https://f.cloud.github.com/assets/1151263/1322488/58bcd732-3431-11e3-90fc-a0917ca3989c.jpg)
",anushbmx,1151263,2013-10-16T11:21:03Z,MEMBER,True,1,1,1,SDK and Gallery of Mozilla JetPacks,JavaScript,f58131cc0a8bb01587e477f40b35f1b4e7c36e7e,"Update UI.Layout.css

Fixed the problem with Mozilla logo in the footer from overlapping over the text"
5,https://api.github.com/repos/mozilla/FlightDeck/pulls/189,189,"Update some FlightDeck tests to use the current SDK version, not SDK 1.12","According to Jenkins, 10 tests started failing back when SDK 1.13 was added to FlightDeck. Those tests seem to explicitly test SDK 1.12.

Having not run these tests myself, I'd assume we should at least be testing the now-current SDK version (1.14 at the moment), if not somehow always test the latest SDK version automatically.

This pull request changes two tests that were using 1.12 so they now use 1.14.
",KWierso,172215,2013-03-28T22:41:58Z,NONE,False,3,3,2,SDK and Gallery of Mozilla JetPacks,JavaScript,ac22138d731593f19b3937db590ff5482e84f891,Use settings.TEST_SDK instead in place of explicit version numbers in some tests that have been failing since SDK 1.13 was added to FlightDeck
6,https://api.github.com/repos/mozilla/FlightDeck/pulls/188,188,Bug 852660: add SDK 1.14 to production builder.,,therealjeffg,104315,2013-03-26T21:44:28Z,NONE,True,7,3,3,SDK and Gallery of Mozilla JetPacks,JavaScript,c5d0fbde5b42136a84a039137789fa674821d33e,Adding Add-on SDK 1.14
7,https://api.github.com/repos/mozilla/FlightDeck/pulls/187,187,Add SDK 1.14rc1 to dev instance of Builder for testing.,"This adds 1.14rc1 to Builder (along with the change to allow users to add the ""permissions"" flag to be able to opt in to private browsing windows). This should NOT be pushed to production, since it's using the not-final RC build, but it would be nice to get this on the -dev server for testing the SDK.
",KWierso,172215,2013-03-19T00:10:11Z,NONE,True,7,3,4,SDK and Gallery of Mozilla JetPacks,JavaScript,b910b2783cb362796629f43ed580b5d46b89c475,Add SDK 1.14rc1 to -dev instance for testing
8,https://api.github.com/repos/mozilla/FlightDeck/pulls/187,187,Add SDK 1.14rc1 to dev instance of Builder for testing.,"This adds 1.14rc1 to Builder (along with the change to allow users to add the ""permissions"" flag to be able to opt in to private browsing windows). This should NOT be pushed to production, since it's using the not-final RC build, but it would be nice to get this on the -dev server for testing the SDK.
",KWierso,172215,2013-03-19T00:10:11Z,NONE,True,7,3,4,SDK and Gallery of Mozilla JetPacks,JavaScript,8acf5b355353cc97a1cd707c9df5b302be9863e6,"Add 'permissions' to allowed keys.

SDK 1.14 will add a 'permissions' key to package.json, initially used only for allowing addons to opt-in to running in private browsing windows, with other potential uses in the future. This commit adds support for the key so developers don't get errors when trying to add the key to their addons.(cherry picked from commit 350f400829fea7990acfab865108f8fa97282290)"
9,https://api.github.com/repos/mozilla/FlightDeck/pulls/186,186,Add 'permissions' to allowed keys.,"SDK 1.14 will add a 'permissions' key to package.json, initially used only for allowing addons to opt-in to running in private browsing windows, with other potential uses in the future. This commit adds support for the key so developers don't get errors when trying to add the key to their addons.
",KWierso,172215,2013-03-16T07:02:20Z,NONE,True,1,1,1,SDK and Gallery of Mozilla JetPacks,JavaScript,350f400829fea7990acfab865108f8fa97282290,"Add 'permissions' to allowed keys.

SDK 1.14 will add a 'permissions' key to package.json, initially used only for allowing addons to opt-in to running in private browsing windows, with other potential uses in the future. This commit adds support for the key so developers don't get errors when trying to add the key to their addons."
