,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/PyBrowserID/pulls/41,41,Add Mozilla Code of Conduct,"Fixes #40

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-28T03:53:42Z,CONTRIBUTOR,True,15,0,1,python client library for the BrowserID protocol ,Python,4beb8273d9ef0b748dd6db99442e73e32e2d2bbb,"Add Mozilla Code of Conduct file

Fixes #40.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/PyBrowserID/pulls/35,35,"Use LocalVerifier by default, now that the hosted verifier has shut down",,rfk,34695,2017-12-20T03:10:51Z,MEMBER,True,1,1,1,python client library for the BrowserID protocol ,Python,3b55c4b9b3d5425e83356b61035528585a1987a4,"Use LocalVerifier by default, now that the hosted verifier has shut down."
2,https://api.github.com/repos/mozilla/PyBrowserID/pulls/34,34,Add support for extra IDP claims in the LocalVerifier,This is necessary when using the LocalVerifier class with PyFxA.,rfk,34695,2017-05-29T02:20:37Z,MEMBER,True,87,5,3,python client library for the BrowserID protocol ,Python,46c9ae2c21019a10f0eb287f1272135c40145dd4,Skip remote tests when hosted verifier is down.
3,https://api.github.com/repos/mozilla/PyBrowserID/pulls/34,34,Add support for extra IDP claims in the LocalVerifier,This is necessary when using the LocalVerifier class with PyFxA.,rfk,34695,2017-05-29T02:20:37Z,MEMBER,True,87,5,3,python client library for the BrowserID protocol ,Python,319de9d183ec6d71c1293c3a6ece1ecfda9adbf0,Add support for idpClaims/userClaims in LocalVerifier
4,https://api.github.com/repos/mozilla/PyBrowserID/pulls/34,34,Add support for extra IDP claims in the LocalVerifier,This is necessary when using the LocalVerifier class with PyFxA.,rfk,34695,2017-05-29T02:20:37Z,MEMBER,True,87,5,3,python client library for the BrowserID protocol ,Python,9c705d30353481092e616f6482cf67515f63d5ad,Fix travis-ci config
5,https://api.github.com/repos/mozilla/PyBrowserID/pulls/32,32,Validate email in assertion,,rfk,34695,2016-05-11T11:15:08Z,MEMBER,True,39,2,3,python client library for the BrowserID protocol ,Python,f61f9dd4a8f9df352cb03508b94a70ad59935d20,Add python3 in travis config
6,https://api.github.com/repos/mozilla/PyBrowserID/pulls/32,32,Validate email in assertion,,rfk,34695,2016-05-11T11:15:08Z,MEMBER,True,39,2,3,python client library for the BrowserID protocol ,Python,533a796efeb580ddc31b755e5498cd59d7a0b33f,"Validate the email address parsed out of an assertion.

This is potentially attacker-provided data and should
be treated with suspicion."
7,https://api.github.com/repos/mozilla/PyBrowserID/pulls/30,30,Preliminary updates for new BrowserID formats,"In-progress work to update PyBrowserID for latest BrowserID protocol and format updates.  This should cover the data format changes, yet-to-do are updates to the discovery protocol and the notion of ""trustedIssuers"" provided by the new nodejs verifier.

I'd like to get cracking on this so that I can use PyBrowserID's testing infrastructure for tokenserver tests, which now use some new features e.g. ""idpClaims"".

@ametaireau and @callahad any f? on this would be appreciated if you've got a few moments.
",rfk,34695,2014-03-21T07:02:44Z,MEMBER,False,471,252,11,python client library for the BrowserID protocol ,Python,87e25770a4f3c73415902c4bf4d52d3a1966b8d1,"Remove support for ""old-style"" certificate bundles."
8,https://api.github.com/repos/mozilla/PyBrowserID/pulls/30,30,Preliminary updates for new BrowserID formats,"In-progress work to update PyBrowserID for latest BrowserID protocol and format updates.  This should cover the data format changes, yet-to-do are updates to the discovery protocol and the notion of ""trustedIssuers"" provided by the new nodejs verifier.

I'd like to get cracking on this so that I can use PyBrowserID's testing infrastructure for tokenserver tests, which now use some new features e.g. ""idpClaims"".

@ametaireau and @callahad any f? on this would be appreciated if you've got a few moments.
",rfk,34695,2014-03-21T07:02:44Z,MEMBER,False,471,252,11,python client library for the BrowserID protocol ,Python,a3c93b8cb996e99ab581329c0b557d2dcd4f6a91,"Rename var ""algorithm"" to ""header"" for clarity.

This also better reflects terminology from the spec."
9,https://api.github.com/repos/mozilla/PyBrowserID/pulls/30,30,Preliminary updates for new BrowserID formats,"In-progress work to update PyBrowserID for latest BrowserID protocol and format updates.  This should cover the data format changes, yet-to-do are updates to the discovery protocol and the notion of ""trustedIssuers"" provided by the new nodejs verifier.

I'd like to get cracking on this so that I can use PyBrowserID's testing infrastructure for tokenserver tests, which now use some new features e.g. ""idpClaims"".

@ametaireau and @callahad any f? on this would be appreciated if you've got a few moments.
",rfk,34695,2014-03-21T07:02:44Z,MEMBER,False,471,252,11,python client library for the BrowserID protocol ,Python,80148e3b7951463be680e442c9086be14c15af8d,"Implement support for latest assertion format.

Thanks to lloyd for the handy reference guide:

    http://lloyd.io/evolving-browserid-data-formats/"
10,https://api.github.com/repos/mozilla/PyBrowserID/pulls/30,30,Preliminary updates for new BrowserID formats,"In-progress work to update PyBrowserID for latest BrowserID protocol and format updates.  This should cover the data format changes, yet-to-do are updates to the discovery protocol and the notion of ""trustedIssuers"" provided by the new nodejs verifier.

I'd like to get cracking on this so that I can use PyBrowserID's testing infrastructure for tokenserver tests, which now use some new features e.g. ""idpClaims"".

@ametaireau and @callahad any f? on this would be appreciated if you've got a few moments.
",rfk,34695,2014-03-21T07:02:44Z,MEMBER,False,471,252,11,python client library for the BrowserID protocol ,Python,ded6deebd322adc578cab691f0e8a7435a938aba,"Extract and return ""idpClaims"" and ""userClaims"" dicts."
11,https://api.github.com/repos/mozilla/PyBrowserID/pulls/30,30,Preliminary updates for new BrowserID formats,"In-progress work to update PyBrowserID for latest BrowserID protocol and format updates.  This should cover the data format changes, yet-to-do are updates to the discovery protocol and the notion of ""trustedIssuers"" provided by the new nodejs verifier.

I'd like to get cracking on this so that I can use PyBrowserID's testing infrastructure for tokenserver tests, which now use some new features e.g. ""idpClaims"".

@ametaireau and @callahad any f? on this would be appreciated if you've got a few moments.
",rfk,34695,2014-03-21T07:02:44Z,MEMBER,False,471,252,11,python client library for the BrowserID protocol ,Python,e1b5e58c2613c7e23bd674f16226918c7d1b8491,"Support ""iat"" field in certifications and assertions."
