,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/active-data-recipes/pulls/135,135,Add Mozilla Code of Conduct,"Fixes #134


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T06:41:45Z,CONTRIBUTOR,True,15,0,1,A repository of various activedata queries and recipes,Python,442536be5b3cef41f6aa042fcb1ff646b1701f77,"Add Mozilla Code of Conduct file

Fixes #134.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/active-data-recipes/pulls/132,132,Sources,,ahal,273734,2019-03-28T21:17:29Z,MEMBER,True,174,213,73,A repository of various activedata queries and recipes,Python,d111a28d146120ee1214096cfd0e9675cb7a4dbb,Make Configuration() object a singleton and stop passing it around
2,https://api.github.com/repos/mozilla/active-data-recipes/pulls/132,132,Sources,,ahal,273734,2019-03-28T21:17:29Z,MEMBER,True,174,213,73,A repository of various activedata queries and recipes,Python,dbcdaacc5ffdf7d2851749a9c2605255e20c3513,Move queries/recipes to top-level
3,https://api.github.com/repos/mozilla/active-data-recipes/pulls/131,131,Sitepackages,,ahal,273734,2019-03-25T19:23:10Z,MEMBER,False,12,20,2,A repository of various activedata queries and recipes,Python,cfb678082073eb954716b881acb0218e8f7a58a2,Give 'doclint' tox testenv access to global packages
4,https://api.github.com/repos/mozilla/active-data-recipes/pulls/131,131,Sitepackages,,ahal,273734,2019-03-25T19:23:10Z,MEMBER,False,12,20,2,A repository of various activedata queries and recipes,Python,a91bac5c8d2feb21cac109a3091431940da5fed5,Install packages in TravisCI with verbose mode
5,https://api.github.com/repos/mozilla/active-data-recipes/pulls/129,129,Refactor cli,,ahal,273734,2019-03-23T04:58:57Z,MEMBER,True,107,165,1,A repository of various activedata queries and recipes,Python,4a151ba134fe730f38f50853fe5eb6de1ef40f2d,Refactor cli.py
6,https://api.github.com/repos/mozilla/active-data-recipes/pulls/128,128,Fix TravisCI,,ahal,273734,2019-03-21T21:20:56Z,MEMBER,True,88,18,4,A repository of various activedata queries and recipes,Python,71bde437e3a81b7f065c6283b62ea8d368e9e5a1,Fix TravisCI
7,https://api.github.com/repos/mozilla/active-data-recipes/pulls/127,127,Intermittent rate,get the total tasks and failed tasks to find the intermittent rate per config,jmaher,62588,2019-03-19T12:36:20Z,CONTRIBUTOR,True,63,2,5,A repository of various activedata queries and recipes,Python,e539b58d0d7c578444c0dfbbab1c37eb0a6307d8,fix config_durations to be more accurate
8,https://api.github.com/repos/mozilla/active-data-recipes/pulls/127,127,Intermittent rate,get the total tasks and failed tasks to find the intermittent rate per config,jmaher,62588,2019-03-19T12:36:20Z,CONTRIBUTOR,True,63,2,5,A repository of various activedata queries and recipes,Python,a7ba22fd6c3f870f306dac05e745cfa1d3418e09,new recipe for finding total tasks and failures for all config types
9,https://api.github.com/repos/mozilla/active-data-recipes/pulls/126,126,Unique config regressions per week,"this has changes from my other PR as well, I think my git rebase messed this up.",jmaher,62588,2019-03-14T18:22:20Z,CONTRIBUTOR,True,189,2,5,A repository of various activedata queries and recipes,Python,e539b58d0d7c578444c0dfbbab1c37eb0a6307d8,fix config_durations to be more accurate
10,https://api.github.com/repos/mozilla/active-data-recipes/pulls/126,126,Unique config regressions per week,"this has changes from my other PR as well, I think my git rebase messed this up.",jmaher,62588,2019-03-14T18:22:20Z,CONTRIBUTOR,True,189,2,5,A repository of various activedata queries and recipes,Python,73b52467c3736c88a6e6c6018c6c2424ea43383e,support for unique failures and additional output for assessing unique failures
11,https://api.github.com/repos/mozilla/active-data-recipes/pulls/126,126,Unique config regressions per week,"this has changes from my other PR as well, I think my git rebase messed this up.",jmaher,62588,2019-03-14T18:22:20Z,CONTRIBUTOR,True,189,2,5,A repository of various activedata queries and recipes,Python,9409e27466630933babd701420aada873e748a41,"when viewing unique failures for a config/suite, ensure we have the branch for investigation"
12,https://api.github.com/repos/mozilla/active-data-recipes/pulls/126,126,Unique config regressions per week,"this has changes from my other PR as well, I think my git rebase messed this up.",jmaher,62588,2019-03-14T18:22:20Z,CONTRIBUTOR,True,189,2,5,A repository of various activedata queries and recipes,Python,4b265475bbfd32a649af209301ca5b16a923d7d5,clean up code
13,https://api.github.com/repos/mozilla/active-data-recipes/pulls/126,126,Unique config regressions per week,"this has changes from my other PR as well, I think my git rebase messed this up.",jmaher,62588,2019-03-14T18:22:20Z,CONTRIBUTOR,True,189,2,5,A repository of various activedata queries and recipes,Python,054b54ebc5b9ccebf88b9fbaebf5744ded5eb38d,modernize recipe
14,https://api.github.com/repos/mozilla/active-data-recipes/pulls/126,126,Unique config regressions per week,"this has changes from my other PR as well, I think my git rebase messed this up.",jmaher,62588,2019-03-14T18:22:20Z,CONTRIBUTOR,True,189,2,5,A repository of various activedata queries and recipes,Python,9a92b5bb56f16e4fb959518dc1a7e4c3e61e55b5,add docs to fix doclint
15,https://api.github.com/repos/mozilla/active-data-recipes/pulls/125,125,fix config_durations to be more accurate,"in using this adr to generate a lot of relevant data, I found these few changes to make it more accurate and agree with other data sources.",jmaher,62588,2019-03-14T18:16:22Z,CONTRIBUTOR,False,4,2,2,A repository of various activedata queries and recipes,Python,e539b58d0d7c578444c0dfbbab1c37eb0a6307d8,fix config_durations to be more accurate
16,https://api.github.com/repos/mozilla/active-data-recipes/pulls/124,124,Output file,"Add --output-file <fullpath of file> so that the result will be send to a file (only the result goes to the file, other information such as verbose log statements don't).",TrangNguyenBC,42683686,2019-03-06T16:22:36Z,CONTRIBUTOR,True,8,4,3,A repository of various activedata queries and recipes,Python,f35020dd5875281ba8bf5296751c373c929b3721,"add --output-file (-of) arguments, write result string to file"
17,https://api.github.com/repos/mozilla/active-data-recipes/pulls/124,124,Output file,"Add --output-file <fullpath of file> so that the result will be send to a file (only the result goes to the file, other information such as verbose log statements don't).",TrangNguyenBC,42683686,2019-03-06T16:22:36Z,CONTRIBUTOR,True,8,4,3,A repository of various activedata queries and recipes,Python,d00741453fb079b1f71721796e519b2e3f996e79,allow filename
18,https://api.github.com/repos/mozilla/active-data-recipes/pulls/124,124,Output file,"Add --output-file <fullpath of file> so that the result will be send to a file (only the result goes to the file, other information such as verbose log statements don't).",TrangNguyenBC,42683686,2019-03-06T16:22:36Z,CONTRIBUTOR,True,8,4,3,A repository of various activedata queries and recipes,Python,7788d3e3d60036b2c99153fd3b895e9ddb751a66,input data is full filepath instead of file name
19,https://api.github.com/repos/mozilla/active-data-recipes/pulls/124,124,Output file,"Add --output-file <fullpath of file> so that the result will be send to a file (only the result goes to the file, other information such as verbose log statements don't).",TrangNguyenBC,42683686,2019-03-06T16:22:36Z,CONTRIBUTOR,True,8,4,3,A repository of various activedata queries and recipes,Python,b9c9fb8a735613710deae920a4b8334eaa59edb7,"remove print_to_file() function, change ""-of"" to ""-o"""
20,https://api.github.com/repos/mozilla/active-data-recipes/pulls/123,123,Calendar picker,"- Use DateRangePicker library (http://www.daterangepicker.com/)
- Users can pick a date from calendar or select 1 option in custom range
- Problem need be solved: the webpage does not consider a string such as ""today-month"" as valid input",TrangNguyenBC,42683686,2019-03-02T00:13:00Z,CONTRIBUTOR,True,100,32,8,A repository of various activedata queries and recipes,Python,a9a249eff4be2121dc34319d8a473d93a255e4e8,add calendar picker to every recipe input form
21,https://api.github.com/repos/mozilla/active-data-recipes/pulls/123,123,Calendar picker,"- Use DateRangePicker library (http://www.daterangepicker.com/)
- Users can pick a date from calendar or select 1 option in custom range
- Problem need be solved: the webpage does not consider a string such as ""today-month"" as valid input",TrangNguyenBC,42683686,2019-03-02T00:13:00Z,CONTRIBUTOR,True,100,32,8,A repository of various activedata queries and recipes,Python,5aac39683dd453208850707362d00018b59cd928,change calendar to single input with range
22,https://api.github.com/repos/mozilla/active-data-recipes/pulls/123,123,Calendar picker,"- Use DateRangePicker library (http://www.daterangepicker.com/)
- Users can pick a date from calendar or select 1 option in custom range
- Problem need be solved: the webpage does not consider a string such as ""today-month"" as valid input",TrangNguyenBC,42683686,2019-03-02T00:13:00Z,CONTRIBUTOR,True,100,32,8,A repository of various activedata queries and recipes,Python,64ecb7b99bc44e0259f76e74d25b21d1c1c18bd0,"only show calendar for context with Datetime type, update Relative time"
23,https://api.github.com/repos/mozilla/active-data-recipes/pulls/123,123,Calendar picker,"- Use DateRangePicker library (http://www.daterangepicker.com/)
- Users can pick a date from calendar or select 1 option in custom range
- Problem need be solved: the webpage does not consider a string such as ""today-month"" as valid input",TrangNguyenBC,42683686,2019-03-02T00:13:00Z,CONTRIBUTOR,True,100,32,8,A repository of various activedata queries and recipes,Python,2a7be5e55e7fa6fcdc1e166753ff33ba1af344a8,run recipe ok with YYYY-MM-DD format
