,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/addon-wr/pulls/60,60,Add Mozilla Code of Conduct,"Fixes #59


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T06:44:42Z,CONTRIBUTOR,True,15,0,1,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,1a42c6cb04ed530632f0ca2c185a0ee517884d29,"Add Mozilla Code of Conduct file

Fixes #59.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/addon-wr/pulls/53,53,Tweak the docs and ignore some ESLint warnings,,pdehaan,557895,2017-12-19T01:31:45Z,CONTRIBUTOR,True,19,24,5,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,f7c5da8862b437f7b00ea5d9a93dc6d6faf74f61,Tweak the docs and ignore some ESLint warnings
2,https://api.github.com/repos/mozilla/addon-wr/pulls/52,52,105 web extension only,"- change to webExtension only
- changes puzzle trailhead by removing preference
- simplified readme / testplan.",gregglind,163983,2017-12-18T22:38:07Z,CONTRIBUTOR,True,1702,3056,25,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,7d4e422bf573f675beabce89876efc0efed0b021,removed files from legacy extension
3,https://api.github.com/repos/mozilla/addon-wr/pulls/52,52,105 web extension only,"- change to webExtension only
- changes puzzle trailhead by removing preference
- simplified readme / testplan.",gregglind,163983,2017-12-18T22:38:07Z,CONTRIBUTOR,True,1702,3056,25,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,5e14ffbc17557e0baaf391d777e749648fced4a1,"Fix #51, v1.0.5, web extension only

Fix #49 Fix #50

- Moved code to 'addon'
- fix all linting errors
- remove dependencies in package.json
- updated all docs"
4,https://api.github.com/repos/mozilla/addon-wr/pulls/50,50,Update README.md,Typo in the link to TESTPLAN.md,sanmai,139488,2017-12-17T14:13:25Z,NONE,False,1,1,1,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,55360f488aeaf91017be694b4676bfb2a0d78d81,"Update README.md

Typo in the link to TESTPLAN.md"
5,https://api.github.com/repos/mozilla/addon-wr/pulls/49,49,Update README.md,The current link is broken,102,5839225,2017-12-17T13:17:24Z,NONE,False,1,1,1,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,be8599dc03a86f9d3ca82f3d7270f208d3d22fa2,"Update README.md

The current link is broken"
6,https://api.github.com/repos/mozilla/addon-wr/pulls/48,48,remove addon-wr malware,This PR removes the addon-wr malware.,supernintendo,5893007,2017-12-15T20:53:47Z,NONE,False,0,9598,25,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,6d477caee8331548668de86e3123b04caf416486,remove addon-wr malware
7,https://api.github.com/repos/mozilla/addon-wr/pulls/45,45,Clarify collaboration between Mozilla and the makers of Mr. Robot,"Mr. Robot is produced by Universal Cable Productions, which is owned by Comcast.",mitakas,210645,2017-12-15T16:09:10Z,NONE,False,1,1,1,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,da76134349a3e3f900df2f6a285e6091421dbdf8,Clarify collaboration between Mozilla and the makers of Mr. Robot
8,https://api.github.com/repos/mozilla/addon-wr/pulls/43,43,"v1.0.4, fixes ui, changes id, expanded description.",,gregglind,163983,2017-12-14T21:28:08Z,CONTRIBUTOR,True,16,4,4,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,21ff53d2d5baab591d29b4ea5847d74cb6901b2c,"v1.0.4, fixes ui, changes id, expanded description."
9,https://api.github.com/repos/mozilla/addon-wr/pulls/43,43,"v1.0.4, fixes ui, changes id, expanded description.",,gregglind,163983,2017-12-14T21:28:08Z,CONTRIBUTOR,True,16,4,4,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,fdd61682e5b8ef778a5c3e8dd688d1cd28b2a4a6,Fixed Firefox spelling and URL
10,https://api.github.com/repos/mozilla/addon-wr/pulls/40,40,Fix hover effect loading glitch; only flip words inside p elements,"Same as PR #35 which couldn't be re-opened since the forked repo was deleted.

This PR will:
* Fix the display issues discussed in PR35.
* Only wrap match words with `<span>` if they are inside a `<p>`",biancadanforth,17437436,2017-12-14T16:54:51Z,COLLABORATOR,True,28,24,2,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,cb61bfd8292d0f2cbdf12439e235edbee45ff3db,"Fix hover effect loading glitch

There were cases where the content script would inject HTML into a page for the hover effect before the CSS would be loaded for that page by the background script. This resulted in seeing the contents of the hover effect in the page briefly before the CSS was applied. Now, we properly ensure the CSS is loaded before injecting the HTML in the content script.

Since the timers for the effect were added mostly mitigate the effect of this UI bug, I have removed them to make the effect less subtle (Issue #22). Now the inverted words stay inverted and the hover effect also persists on the page."
11,https://api.github.com/repos/mozilla/addon-wr/pulls/40,40,Fix hover effect loading glitch; only flip words inside p elements,"Same as PR #35 which couldn't be re-opened since the forked repo was deleted.

This PR will:
* Fix the display issues discussed in PR35.
* Only wrap match words with `<span>` if they are inside a `<p>`",biancadanforth,17437436,2017-12-14T16:54:51Z,COLLABORATOR,True,28,24,2,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,4c8cee06b373512f8f2bc97b8ace55437befdce3,"Naively neutralize most overflow: hidden style

The hover effect tooltip is now visible in more situations, like on Dictionary.com.
This still doesn't totally fix the problem, but it makes the effect display correctly in more situations. For example, the hover effect gets partially obscured still if the word takes place in a card, which is common in the search results of Google (ex: search for 'army')."
12,https://api.github.com/repos/mozilla/addon-wr/pulls/40,40,Fix hover effect loading glitch; only flip words inside p elements,"Same as PR #35 which couldn't be re-opened since the forked repo was deleted.

This PR will:
* Fix the display issues discussed in PR35.
* Only wrap match words with `<span>` if they are inside a `<p>`",biancadanforth,17437436,2017-12-14T16:54:51Z,COLLABORATOR,True,28,24,2,Looking Glass is a collaboration between Mozilla and the makers of Mr. Robot to provide a shared world experience. ,JavaScript,8249f1ff07bf1a782f9a57898df4c586c9ff7a2f,Only invert words directly inside p elements
