,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/14,14,Add Mozilla Code of Conduct,"Fixes #13


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-29T05:07:22Z,CONTRIBUTOR,True,15,0,1,A-team bootcamp,Python,057a68a7c76270de37df5e1829af2be047852d01,"Add Mozilla Code of Conduct file

Fixes #13.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/11,11,Use HTTPS URLs where possible & fix some broken links,"Switches to the HTTPS and/or canonical form of various URLs, and fixes the links to mercurial.selenic.com, since that domain no longer resolves.
",edmorley,501702,2016-07-18T12:54:26Z,CONTRIBUTOR,True,24,24,13,A-team bootcamp,Python,612762b3d397abe5a5b6e099e38834b29bea7528,"Use HTTPS URLs where possible & fix some broken links

Switches to the HTTPS and/or canonical form of various URLs, and fixes
the links to mercurial.selenic.com, since that domain no longer
resolves."
2,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/10,10,suggested fixes,"simply undo what was not desired
",klahnakoski,2334429,2015-11-24T20:42:15Z,CONTRIBUTOR,True,11,20,3,A-team bootcamp,Python,a14f5788f00b66fb43a6848fe2190c2c2e741505,fixes
3,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/9,9,Corrected a typo,,thrashergirl,13100707,2015-07-06T10:59:37Z,CONTRIBUTOR,True,1,1,1,A-team bootcamp,Python,1702b3890627c0f17d7b5339f2b1cb7693d9fa25,Corrected a typo
4,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/7,7,Added beginner git tutorial link to Reference Guide,"This adds a nice interactive Git tutorial at the beginning of the **Reference >> Git and Github** section , so that new contributors who don't have exposure to DVCS will experience Git concepts and basic commands, as part of the A-Team onboarding process.

I didn't build the docs locally, but I mimicked the markup style for the related link, and it works fine on my local Github branch.

I added 'A-team' as a qualifier for the best practices, which while I'm sure they all make total sense, sometimes vary subtly from team to team.

Adding @wlach for review.
",tojon,3660661,2015-04-08T21:37:48Z,CONTRIBUTOR,True,5,1,1,A-team bootcamp,Python,520c00ed5e84a3a8568c87f8baeb52b7bff85126,Added beginner git tutorial link to Reference Guide
5,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/6,6,Add ateam-logo to readthedocs ateam-bootcamp document.,"http://imgur.com/USHovcz
",vaibhavmagarwal,2410741,2015-02-09T15:12:58Z,CONTRIBUTOR,True,1,0,1,A-team bootcamp,Python,c97aac7da0a219a26d8b135ff34d111603ee768d,Add ateam-logo to readthedocs ateam-bootcamp document.
6,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/5,5,Link to gps's mozilla-version-control-tools readthedocs for mercurial: h...,"...ttp://mozilla-version-control-tools.readthedocs.org/en/latest/hgmozilla/
",vaibhavmagarwal,2410741,2015-02-07T17:05:42Z,CONTRIBUTOR,True,4,2,1,A-team bootcamp,Python,1fb9b1d922b7c09b77c05b3bc5b69a0b1df412f6,Link to gps's mozilla-version-control-tools readthedocs for mercurial: http://mozilla-version-control-tools.readthedocs.org/en/latest/hgmozilla/
7,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/4,4,"fix ""Work with with"" repetition",,parkouss,7723923,2015-01-28T06:24:33Z,CONTRIBUTOR,True,1,1,1,A-team bootcamp,Python,0ffe6de2a99fcc14e013c359a74040f9c1fd4e8f,"fix ""Work with with"" repetition"
8,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/3,3,Remove the link to pocoo.org,"This doesn't seem to accurately reflect changes to PEP8 that we should actually enforce.
",jgraham,294864,2015-01-12T19:36:37Z,MEMBER,True,0,3,1,A-team bootcamp,Python,93b37471b609da0ea73d79d19e9f31296f7e6353,"Remove the link to pocoo.org

This doesn't seem to accurately reflect changes to PEP8 that we should actually enforce."
9,https://api.github.com/repos/mozilla/ateam-bootcamp/pulls/2,2,Add commitment curve,"Initial inclusion of commitment curve.  I want to have this included in order to be able to create badges...I need to be able to point those badges at their criteria.

After badges are made, I'll update this with information on how to be nominated for the badges.

@wlach @jmaher please review.
",jonallengriffin,119080,2015-01-10T01:02:46Z,MEMBER,True,65,0,2,A-team bootcamp,Python,d4222d1ad146b05dd69a131ff3461a5f51420aea,Add commitment curve
