,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/authenticator-rs/pulls/146,146,Add support for D-Bus virtual devices,"This enables access to authenticator devices through the D-Bus based protocol rather than low-level communication protocols such as USB HID. The main motivation of this is to allow isolated clients (e.g., Firefox Flatpak) to run without unnecessary privileges on the host.

The D-Bus server implementation is mostly done by our colleague Norbert as part of his internship at Red Hat. The protocol is still not fixed, so use [my branch](https://gitlab.com/dueno/fido2-proxy/-/commits/wip/dueno/demo) if you are interested in testing it.",ueno,47549,2021-01-06T11:17:01Z,NONE,False,555,30,13,"Rust library to interact with Security Keys, used by Firefox",Rust,2c0cf07ff0002c6abba57393dfee2e1371147dbb,"Don't assume AppId is hashed

This allows alternative token implementations to use CTAP2 based API,
that expects relying party is hashed by the platform, not by the
application."
1,https://api.github.com/repos/mozilla/authenticator-rs/pulls/146,146,Add support for D-Bus virtual devices,"This enables access to authenticator devices through the D-Bus based protocol rather than low-level communication protocols such as USB HID. The main motivation of this is to allow isolated clients (e.g., Firefox Flatpak) to run without unnecessary privileges on the host.

The D-Bus server implementation is mostly done by our colleague Norbert as part of his internship at Red Hat. The protocol is still not fixed, so use [my branch](https://gitlab.com/dueno/fido2-proxy/-/commits/wip/dueno/demo) if you are interested in testing it.",ueno,47549,2021-01-06T11:17:01Z,NONE,False,555,30,13,"Rust library to interact with Security Keys, used by Firefox",Rust,a89492963a0f415e01aff0da65a1df8e1c8092f7,Add support for D-Bus virtual devices
2,https://api.github.com/repos/mozilla/authenticator-rs/pulls/143,143,fixes #136: implements software_u2f,"This is definitely a work in progress. I guess the kind of feedback I'm looking for is broad strokes on if this is the approach we want to take. Also, am I interpreting various arguments/return values correctly? Additionally, is there a way to test this end-to-end? (e.g. how do I configure the library to use the softoken instead of looking for a hardware token?)",mozkeeler,3374946,2020-11-07T00:08:26Z,COLLABORATOR,False,372,22,7,"Rust library to interact with Security Keys, used by Firefox",Rust,58c4a4b18cd9ad5521707efcd47654c27892e782,fixes #138: adds and implements a CryptographyProvider trait
3,https://api.github.com/repos/mozilla/authenticator-rs/pulls/143,143,fixes #136: implements software_u2f,"This is definitely a work in progress. I guess the kind of feedback I'm looking for is broad strokes on if this is the approach we want to take. Also, am I interpreting various arguments/return values correctly? Additionally, is there a way to test this end-to-end? (e.g. how do I configure the library to use the softoken instead of looking for a hardware token?)",mozkeeler,3374946,2020-11-07T00:08:26Z,COLLABORATOR,False,372,22,7,"Rust library to interact with Security Keys, used by Firefox",Rust,2ca9d36f4823c4c8e65ace272851f2f0295cdb7f,fixes #136: implements software_u2f
4,https://api.github.com/repos/mozilla/authenticator-rs/pulls/142,142,fixes #138: adds and implements a CryptographyProvider trait,Was this the sort of thing you were thinking? It's still a bit of a work in progress - e.g. the right build flags aren't there.,mozkeeler,3374946,2020-11-07T00:05:14Z,COLLABORATOR,False,90,1,5,"Rust library to interact with Security Keys, used by Firefox",Rust,58c4a4b18cd9ad5521707efcd47654c27892e782,fixes #138: adds and implements a CryptographyProvider trait
5,https://api.github.com/repos/mozilla/authenticator-rs/pulls/140,140,Ensure OpenBSD has `use std::io`,"Fix #139 and https://bugzilla.mozilla.org/show_bug.cgi?id=1666701

I'm still upgrading to OpenBSD 6.7 locally so I can use the necessary version of Rust, but I think this is all that's needed. This and a version bump.",jcjones,518542,2020-10-07T15:27:40Z,CONTRIBUTOR,True,2,1,2,"Rust library to interact with Security Keys, used by Firefox",Rust,7fb92f63f5faf0b236267cad201bd0c5bae4cd87,"Ensure OpenBSD has `use std::io`

Fix #139 and https://bugzilla.mozilla.org/show_bug.cgi?id=1666701"
6,https://api.github.com/repos/mozilla/authenticator-rs/pulls/140,140,Ensure OpenBSD has `use std::io`,"Fix #139 and https://bugzilla.mozilla.org/show_bug.cgi?id=1666701

I'm still upgrading to OpenBSD 6.7 locally so I can use the necessary version of Rust, but I think this is all that's needed. This and a version bump.",jcjones,518542,2020-10-07T15:27:40Z,CONTRIBUTOR,True,2,1,2,"Rust library to interact with Security Keys, used by Firefox",Rust,9b9da3bf0e156f5668497ce693d92946d5ef1085,Version bump 0.3.1
7,https://api.github.com/repos/mozilla/authenticator-rs/pulls/135,135,Rust 1.46 clippy fixes,Clippy issues which have appeared since moving from Rust 1.43 to Rust 1.46.,jcjones,518542,2020-09-14T22:13:41Z,CONTRIBUTOR,True,31,35,8,"Rust library to interact with Security Keys, used by Firefox",Rust,8fd381a196a0afd9f9c59d78c9d85a182d450067,Fix linux unneeded extra
8,https://api.github.com/repos/mozilla/authenticator-rs/pulls/135,135,Rust 1.46 clippy fixes,Clippy issues which have appeared since moving from Rust 1.43 to Rust 1.46.,jcjones,518542,2020-09-14T22:13:41Z,CONTRIBUTOR,True,31,35,8,"Rust library to interact with Security Keys, used by Firefox",Rust,61f39437e67caf889f90c390beec3fe8398064aa,Other clippy issues
9,https://api.github.com/repos/mozilla/authenticator-rs/pulls/135,135,Rust 1.46 clippy fixes,Clippy issues which have appeared since moving from Rust 1.43 to Rust 1.46.,jcjones,518542,2020-09-14T22:13:41Z,CONTRIBUTOR,True,31,35,8,"Rust library to interact with Security Keys, used by Firefox",Rust,ee30508cb977bfca4af2fde5808471907f6ec65e,Review update
