,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/bakery/pulls/16,16,Add Mozilla Code of Conduct,"Fixes #15


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-29T17:03:01Z,NONE,False,15,0,1,Web service for remote Optimizely A/B test creation.,JavaScript,26ef2b9e52e651ea6b6c155c455fdae2dc7fc7b9,"Add Mozilla Code of Conduct file

Fixes #15.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/bakery/pulls/13,13,Add web skeleton,"Keeping master up to date with the web dev in additionaledits branch. The script remains untouched so there isn't any reason not to keep web dev in master.

Current state of additionalEdits: comms exist between client and server for projects, and page is loading after async for projects/project ids.
",FrancescoSTL,9794516,2015-12-15T18:39:22Z,CONTRIBUTOR,False,415,230,10,Web service for remote Optimizely A/B test creation.,JavaScript,f6626d54ee127d04d96939397caddf5eb20beb44,Working get/post with web app.
2,https://api.github.com/repos/mozilla/bakery/pulls/13,13,Add web skeleton,"Keeping master up to date with the web dev in additionaledits branch. The script remains untouched so there isn't any reason not to keep web dev in master.

Current state of additionalEdits: comms exist between client and server for projects, and page is loading after async for projects/project ids.
",FrancescoSTL,9794516,2015-12-15T18:39:22Z,CONTRIBUTOR,False,415,230,10,Web service for remote Optimizely A/B test creation.,JavaScript,e3a872c9081ef045279ffdc93a0db77721158f2b,Add working fake build process. Fix app template engine error.
3,https://api.github.com/repos/mozilla/bakery/pulls/13,13,Add web skeleton,"Keeping master up to date with the web dev in additionaledits branch. The script remains untouched so there isn't any reason not to keep web dev in master.

Current state of additionalEdits: comms exist between client and server for projects, and page is loading after async for projects/project ids.
",FrancescoSTL,9794516,2015-12-15T18:39:22Z,CONTRIBUTOR,False,415,230,10,Web service for remote Optimizely A/B test creation.,JavaScript,f78835ebe57da40ce59bf7661d6cddd48b337a6f,Send arr of JSON objects to client.
4,https://api.github.com/repos/mozilla/bakery/pulls/13,13,Add web skeleton,"Keeping master up to date with the web dev in additionaledits branch. The script remains untouched so there isn't any reason not to keep web dev in master.

Current state of additionalEdits: comms exist between client and server for projects, and page is loading after async for projects/project ids.
",FrancescoSTL,9794516,2015-12-15T18:39:22Z,CONTRIBUTOR,False,415,230,10,Web service for remote Optimizely A/B test creation.,JavaScript,2ef4f9f86128e8e93ca9a3687ab7edb6820cc8b3,Posting w/async to client w/ first API call.
5,https://api.github.com/repos/mozilla/bakery/pulls/13,13,Add web skeleton,"Keeping master up to date with the web dev in additionaledits branch. The script remains untouched so there isn't any reason not to keep web dev in master.

Current state of additionalEdits: comms exist between client and server for projects, and page is loading after async for projects/project ids.
",FrancescoSTL,9794516,2015-12-15T18:39:22Z,CONTRIBUTOR,False,415,230,10,Web service for remote Optimizely A/B test creation.,JavaScript,b973fddda8ff1c18e2352ce6e72fe713fbed864f,Multilayered comms between client & server w/ projects.
6,https://api.github.com/repos/mozilla/bakery/pulls/13,13,Add web skeleton,"Keeping master up to date with the web dev in additionaledits branch. The script remains untouched so there isn't any reason not to keep web dev in master.

Current state of additionalEdits: comms exist between client and server for projects, and page is loading after async for projects/project ids.
",FrancescoSTL,9794516,2015-12-15T18:39:22Z,CONTRIBUTOR,False,415,230,10,Web service for remote Optimizely A/B test creation.,JavaScript,b37a9b65d204d10422eac36fd2fefdff2704cf37,Fix folder hierarchy in require for process files.
7,https://api.github.com/repos/mozilla/bakery/pulls/13,13,Add web skeleton,"Keeping master up to date with the web dev in additionaledits branch. The script remains untouched so there isn't any reason not to keep web dev in master.

Current state of additionalEdits: comms exist between client and server for projects, and page is loading after async for projects/project ids.
",FrancescoSTL,9794516,2015-12-15T18:39:22Z,CONTRIBUTOR,False,415,230,10,Web service for remote Optimizely A/B test creation.,JavaScript,3a090889943466b3b6383f1ada911a25048fbcf5,Add readme.
8,https://api.github.com/repos/mozilla/bakery/pulls/12,12,Add custom Optimizely Node Library because of additional functionality not in npm version.,,FrancescoSTL,9794516,2015-11-13T03:48:31Z,CONTRIBUTOR,True,89608,0,641,Web service for remote Optimizely A/B test creation.,JavaScript,9a4f7a490681550415780177c4875b74fc168c8b,Add custom Optimizely Node Library because of additional functionality not in the npm version.
9,https://api.github.com/repos/mozilla/bakery/pulls/11,11,Removed non-neccessary files for script.,"Stripped down to test script.
",FrancescoSTL,9794516,2015-11-13T03:35:43Z,CONTRIBUTOR,True,0,337,11,Web service for remote Optimizely A/B test creation.,JavaScript,dc122c601241803ee1b963293a36e3f0329ce46e,Removed non-neccessary files for script.
10,https://api.github.com/repos/mozilla/bakery/pulls/10,10,Finalized first closed beta for optimizely script.,"Finalized script, now porting over to new branch for minimizing files to basic script.
",FrancescoSTL,9794516,2015-11-13T03:28:25Z,CONTRIBUTOR,True,52,31,1,Web service for remote Optimizely A/B test creation.,JavaScript,503edf85041145889d68e5f21a5708a11ae40df2,Finalized first closed beta for optimizely script.
11,https://api.github.com/repos/mozilla/bakery/pulls/9,9,Added schedule and updated variation.,"All script (including schedule) is now working outside of prompting for multiple variations.
",FrancescoSTL,9794516,2015-11-10T19:50:48Z,CONTRIBUTOR,True,84,73,1,Web service for remote Optimizely A/B test creation.,JavaScript,5d4421805d0788a2bec441ca33180890b538baea,Added schedule and updated variation.
