,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/50,50,Update testPersona.php,"Fix indentation and missing closing "">"".
",StoyanDimitrov,10962709,2015-03-28T22:09:55Z,CONTRIBUTOR,True,3,2,1,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,6a9770a33fc0d1f9c058b1efc95647c2260b8ca9,"Update testPersona.php

Fix indentation and missing closing "">""."
1,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/49,49,Clarification on CURLOPT_SSL_VERIFYPEER,"Clarification on CURLOPT_SSL_VERIFYPEER when testing on localhost.
",ghost,10137,2015-03-04T00:21:05Z,NONE,False,2,0,1,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,d036b54ef2f0308b09078456906401c5a6b4da5f,"Clarification on CURLOPT_SSL_VERIFYPEER

Clarification on CURLOPT_SSL_VERIFYPEER when testing on localhost."
2,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/48,48,Clarified php CURLOPT_SSL_VERIFYPEER,"Clarified that you need to set CURLOPT_SSL_VERIFYPEER to false when testing on your localhost. Otherwise you get an error.
",ghost,10137,2015-03-04T00:14:05Z,NONE,False,1,1,1,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,aa1ba894f8130372b07117f97ff3f3c72e36f645,"Clarified php CURLOPT_SSL_VERIFYPEER

Clarified that you need to set CURLOPT_SSL_VERIFYPEER to false when testing on your localhost. Otherwise you get an error."
3,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/47,47,Update testPersona.php,"@mozilla @fmarier @ccarruitero @ryuslash @hdorio @chilts @SyntaxC4 @ozten @DeadSuperHero @ScottDowne @simonwex 

---

Hi _mozilla contributors_, :smile:

I close the **css-link**.

Yours,
[**Suriyaa Kudo**](https://github.com/SuriyaaKudoIsc) :octocat:
",suriyaa,5073946,2015-02-06T15:50:12Z,NONE,False,1,1,1,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,b1dd6262d53334130807cbe59a079f0b2d0aeda1,"Update testPersona.php

close css-link"
4,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/46,46,Added ?> to end of persona.php.,"There is a <?php on the top, so a ?> on the bottom makes sense.
",mypalsminecraft,3456878,2014-03-13T22:34:21Z,NONE,False,1,0,1,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,d774d499834f974b29723cd1ef57f7dff1781f17,"Added ?> to end of persona.php.

There is a <?php on the top, so a ?> on the bottom makes sense."
5,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/43,43,Separate the Persona class from the test code,"Split the test code from the class implementation
",jrootham,942461,2014-01-04T06:20:58Z,CONTRIBUTOR,True,52,49,2,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,e90b4fb3a012436a686ffc526273d5383cc3d3b7,Separate the Persona class from the test code
6,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/42,42,Some simple fixes,"There were a few errors that prevented the sample code from running (one in the Persona class).
I would suggest that the Persona class code be put in a separate file and required in the sample code.
",jrootham,942461,2014-01-03T18:54:50Z,CONTRIBUTOR,True,4,4,1,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,6402b891e0f2264c2fa9857de3b752ae8d59ae09,"Changed php tag short form to standard
added echo commands
added form action
fixed ternary operation in Persona class"
7,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/42,42,Some simple fixes,"There were a few errors that prevented the sample code from running (one in the Persona class).
I would suggest that the Persona class code be put in a separate file and required in the sample code.
",jrootham,942461,2014-01-03T18:54:50Z,CONTRIBUTOR,True,4,4,1,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,57fcfdb02f22993f7a3b99ec43100a229e354899,"Fixed errrors, it works now
Changed php tag short form to standard
added echo commands
added form action
fixed ternary operation in Persona class"
8,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/42,42,Some simple fixes,"There were a few errors that prevented the sample code from running (one in the Persona class).
I would suggest that the Persona class code be put in a separate file and required in the sample code.
",jrootham,942461,2014-01-03T18:54:50Z,CONTRIBUTOR,True,4,4,1,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,a08125857ed94945a0e1882d0506f32fe0b4a370,Merge branch 'master' of https://github.com/jrootham/browserid-cookbook
9,https://api.github.com/repos/mozilla/browserid-cookbook/pulls/41,41,Make the express example use browserid-verify,,chilts,3048,2013-09-03T23:44:21Z,CONTRIBUTOR,True,24,39,2,UNMAINTAINED! Collection of simple browserid demos for different languages and platforms,Ruby,736a0e9cb5b2924dd9e1cdc532529530e8beca4d,Make the express example use browserid-verify
