,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/81,81,Add Mozilla Code of Conduct,"Fixes #80


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-29T05:08:57Z,NONE,False,15,0,1,,CSS,c4acb55a5701bfedd0d8a13eeaa07c66a90fd2aa,"Add Mozilla Code of Conduct file

Fixes #80.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/79,79,updates,,ScottDowne,197334,2015-05-13T00:17:28Z,CONTRIBUTOR,True,4,2,1,,CSS,b4072f19f17b0cb9569dc8207c228799a78e9ccc,updates
2,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/78,78,changes for new campaign,,ScottDowne,197334,2015-05-12T22:36:04Z,CONTRIBUTOR,True,7,117,4,,CSS,1ac98ce420af9df40bfb62cdc9a83f9fddee746a,changes for new campaign
3,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/77,77,round days left up and not down,,ScottDowne,197334,2015-02-18T22:36:10Z,CONTRIBUTOR,True,1,1,1,,CSS,c0334e193bb28f85bb4671b49ae325e5ee26cdab,round days left up and not down
4,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/76,76,Remoe FCC feedback box,,ScottDowne,197334,2015-02-18T20:42:29Z,CONTRIBUTOR,True,16,37,3,,CSS,32f398300bae73fe74fb79467c613a4177f6f036,Remoe FCC feedback box
5,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/75,75,Add LICENSE MIT,"Closes #74 
",alicoding,4368149,2015-02-17T16:10:04Z,MEMBER,True,373,0,1,,CSS,360a3ca9b02efe2963986756ca51e4c64436c455,Add LICENSE MIT
6,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/73,73,Copy,,ScottDowne,197334,2015-02-11T20:59:57Z,CONTRIBUTOR,True,9,6,3,,CSS,f3df1fead29f0123d10e1b5cafbd693b3e00f0a9,updating copy
7,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/73,73,Copy,,ScottDowne,197334,2015-02-11T20:59:57Z,CONTRIBUTOR,True,9,6,3,,CSS,45da599cb35ef2c13d36d1aa356925027a70a26b,font family to textarea and some padding nonsense
8,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/71,71,fix bottom border for tips container,,ScottDowne,197334,2015-02-11T20:09:23Z,CONTRIBUTOR,True,12,10,3,,CSS,6055201291e5c6ece2f99b9ea44c60c016d08504,fix bottom border for tips container
9,https://api.github.com/repos/mozilla/call.mozilla.org/pulls/70,70,move report back button a bit,,ScottDowne,197334,2015-02-11T19:53:36Z,CONTRIBUTOR,True,7,7,1,,CSS,3c8b3067a55a12d1241777798ed44d88fadf94d1,move report back button a bit
