,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/81,81,Make Autocorrect work again on mobile,,alanmoo,1682681,2016-04-08T16:13:33Z,NONE,False,0,1,1,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,408cbeb4223ce9b7b1540cf2534cd2b638dda64a,Make Autocorrect work again on mobile
1,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/53,53,tag posts with ownership information for post filtering,"This adds a `post__wrapper` class to user posts, with the owning username as class too, to allow custom post filtering using simple CSS selectors.

(fixes https://github.com/mozilla/mattermoz/issues/52)
",Pomax,177243,2016-02-17T23:22:10Z,NONE,True,2,1,1,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,35948b6d0947ceae1c8f10e0eb8c415d8ae49283,tag posts with ownership information for post filtering
2,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/32,32,Add a configuration setting that adds HTTP Strict Transport Security …,"…Headers to all outgoing responses when enabled

@simonwex Got this working pretty easily. It's based off of the branch I'm requestiong the merge on, but I'll also cherry pick it, and opena PR on Mattermost/platform to see what kind of interest they have.
",cadecairos,438003,2016-02-05T02:40:21Z,NONE,False,61,1,5,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,4f94c17e13ee3630efad93740ab468b9ec60acd3,Add a configuration setting that adds HTTP Strict Transport Security Headers to all outgoing responses when enabled
3,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,1768d2c844063432aa901975b80d6ccf12df4add,Parse Slack links in the attachment pretext
4,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,b0fcdd1b4cfb90e8e728ae19b0081d93cdf51257,Parse Slack links in the attachment fields
5,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,c39ba354d566e4f70f9b3825e0d62bcdef0ac05d,Fix issue with drag n drop overlay in ie11
6,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,632370abb5b17ff37e80608865af0c37f7b963ec,Add channel purpose
7,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,a316cdaa655c1b1ab2046e8b511677661e0bd246,Rename 'Channel Handle' to Channel URL'
8,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,0ac9e9d9a755658740d49de84387bd11b626fba1,Show correct channel URL in channel info modal
9,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,952fa066734d46d245d7d2a243b0217cc4e049a9,fixed typo in URL to emoji.codes
10,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,b48e36275d6fad4c2f11f567d6a4c327d53e314f,Fix issue with file overlay getting stuck in ie11
11,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,24f422dde3678871b65112b45b8df0cf8f1e22fb,Fixed react warning issue with setState in RHS
12,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,799087faf78fbc100e92b6376b2cd8e5763cf909,Improve wording of password change email to indicate that it might not have been user initiated
13,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,f04097bbd77ec64d69a972f9bfae177ca994efd1,Encode url query properly for SSO switching
14,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,dbe26397ebc256c288c979f040fc47c9ae35cd99,Updating logo
15,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,896e0fcbb96e9c501a0ff46278541f14de6b3019,Adding bg behind logos
16,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,2fc4a1cf735774eb1b30140e6967c1414d8aa1b5,Adding gradient bg behind logo
17,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,f7abbe753375c1bbfbe856bc60dcf0c889f72118,"Merge pull request #1892 from mattermost/sso-email-fix

Encode url query properly for SSO switching"
18,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,8089487d5caccbc642e9fef8ee0e5930ff1e639d,Fixing dockerfile for release
19,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,f1feeb0d72646407c1ebd0e157f22b8151d4d917,"Merge pull request #1894 from mattermost/release-1.4

Release 1.4"
20,https://api.github.com/repos/mozilla/chat.mozillafoundation.org/pulls/29,29,/msg shortcut,"Closes #1.

This is my first time writing involved Go code, so it could probably use a solid review, @cadecairos or @simonwex 
",alanmoo,1682681,2016-01-28T21:23:35Z,NONE,False,1568743,2655,1940,Open source Slack-alternative in Golang and React - Mattermost,JavaScript,c672820ff6a2a58d390c9bbc80fffdcc654e2716,Remove extra config info
