,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/chronicle/pulls/368,368,bug(db): specify TEMPLATE when creating db.,"  By specifying the template, we avoid collation errors when running on clients
  that do not have the en_US locale.

  Fixes #367.
",jaredhirsch,96396,2015-04-16T16:44:34Z,MEMBER,True,1,1,1,find everything you've ever found,JavaScript,616bd5f27e8cae169657c61fbdfd2607bcb73be7,"bug(db): specify TEMPLATE when creating db.

  By specifying the template, we avoid collation errors when running on clients
  that do not have the en_US locale.

  Fixes #367."
1,https://api.github.com/repos/mozilla/chronicle/pulls/365,365,refactor(server): replace node-resque with kue,"Fixes #363.
",jaredhirsch,96396,2015-02-28T17:05:02Z,MEMBER,True,888,3550,6,find everything you've ever found,JavaScript,54f681c0dac5cbc7d0315ecd013003877cb0b967,"refactor(server): replace node-resque with kue

Fixes #363."
2,https://api.github.com/repos/mozilla/chronicle/pulls/359,359,WIP - Issue 330 store all embedly data,"@pdehaan mind taking a look? This is not ready to land; I need to update the controller/view layer to fix the API, but there are so many fiddly little changes here, and I'd really appreciate another set of eyes on this.

Previously, I was making things unnecessarily complex at the DB layer:

We were only storing a subset of the embedly response, doing unnecessary transforms on that response. Now, we store the whole thing using the postgres native json type. Queries get so much simpler, and embedly.js gets so much simpler.

All the keys in each record were underscored in postgres, but camelCased in elasticsearch. Also, we were structuring the data slightly differently in both, by nesting certain fields one level deep in elasticsearch, but not in postgres. Now, we keep the same structure in elasticsearch and postgres, where the embedly data is under an extracted_data key, and everything else is top level. This makes the pg -> es mapping super super simple, which is good, since we do it in several places (visit.create, user-page.update). There is one added bit of complexity: where the postgres db object used to always camelize its results, now we only sometimes camelize them. I think this can be fixed, but not right now. Another added bit of complexity is that postgres.camelize now has to separately camelize the contents of the embedly response; I opted for dumb nested `Object.keys().forEach` calls, rather than fancy recursion. I think it's more readable; we'll reassess if we go another level deeper.

Other random notes:

Once AWS adds 9.4 support, we can consider moving to the jsonb type. This wouldn't bring us any significant improvements right now anyway, since we don't do any querying on the contents of the embedly response, but jsonb auto-indexes all the keys, and converts json to an internal binary representation on insert - so it would presumably make it easy and fast to include those keys in queries. Seems like it would give us really cool flexibility with our data.

I haven't added anything into a user-page record to indicate which scraper scraped the page, because we only have one scraper right now. Keeping it simple, minimizing the amount of code.

I've added the error check inside embedly.js, so we can avoid storing responses with the error type (#257).
",jaredhirsch,96396,2015-02-24T20:07:48Z,MEMBER,True,240,233,18,find everything you've ever found,JavaScript,0a64f405c24246d7b064934a18262d437aa0ce61,"feat(server): store embedly response as json

Fixes #330.

Finally add crude views to go along with primitive controllers and models.
The views temporarily include a transform to match the structure expected
by the front-end code. For example, the visits front-end expects
  visit.userPage.extractedDescription,
while the new code by default returns
  visit.userPage.extracted_data.description.

Don't bother attempting to migrate data until we're in production.
We know the migration library works, let's just go fast while we can.

Simplify the pg-es relationship by sending the exact postgres record
to elasticsearch. Previously, the es records had camelCased keys, and
they had different keys at top-level vs postgres.
 - This means that postgres.query should not always camelize underscored keys,
   since we want underscored keys, not camelized keys, in elasticsearch. Add
   an optional flag to disable camelizing in such cases.
 - We also wound up extracting a camelize util, since we now need elasticsearch
   to camelize its keys when returning search results.

Among other embedly.js changes, add a `type == 'error'` check that fixes #257."
3,https://api.github.com/repos/mozilla/chronicle/pulls/358,358,docs(signoff): create Chronicle Prerelease Deployment Checklist,"Converted from a wiki page to a markdown file in /docs/.
",pdehaan,557895,2015-02-23T22:24:13Z,CONTRIBUTOR,True,41,0,1,find everything you've ever found,JavaScript,6289cf9a1da4649cd2c81fa4229d6ce572693aa2,docs(signoff): create Chronicle Prerelease Deployment Checklist
4,https://api.github.com/repos/mozilla/chronicle/pulls/357,357,feat(server): restrict access to whitelisted users,"Currently returning a 401 with a nice error string, we could do more.

Fixes #128.
",jaredhirsch,96396,2015-02-23T17:17:06Z,MEMBER,True,34,2,4,find everything you've ever found,JavaScript,0390024f435e4754242270c9af2766074059e13d,"feat(server): restrict access to whitelisted users

Currently returning a 401 with a nice error string, we could do more.

Fixes #128."
5,https://api.github.com/repos/mozilla/chronicle/pulls/355,355,feat(docs): add a /docs route using Lout,"Adds a http://localhost:8080/docs route which shows some auto-generated route documentation using [**Lout**](https://www.npmjs.com/package/lout).

It ain't pretty, but _meh_.

Closes #108 
",pdehaan,557895,2015-02-19T01:38:43Z,CONTRIBUTOR,True,160,55,12,find everything you've ever found,JavaScript,3a28f0bc70ddee2f3518955a2ec87cbb47b36d2e,feat(docs): add a /docs route using Lout
6,https://api.github.com/repos/mozilla/chronicle/pulls/354,354,chore(build): make linting quicker when committing code,"Speeds up the build process by using **grunt-newer** to only lint _modified_ files during the **pre-push** git hook (via `$ grunt quicklint`).

Fixes #322 
",pdehaan,557895,2015-02-19T00:40:58Z,CONTRIBUTOR,True,59,36,3,find everything you've ever found,JavaScript,491bebb56edc0036e5da3583624c9152526c1e2e,chore(build): make linting quicker when committing code
7,https://api.github.com/repos/mozilla/chronicle/pulls/349,349,fix(visit): Change date heading to use day of month with ordinal,"Per http://momentjs.com/docs/#/parsing/string-format/

| Input | Example | Description |
| --: | --- | --- |
| `Do` | `1st..31st` | Day of month with ordinal |

Fixes #348 
",pdehaan,557895,2015-02-17T18:12:50Z,CONTRIBUTOR,True,1,1,1,find everything you've ever found,JavaScript,49ada139533acf0a1e743de8cf2cd7e668efb824,fix(visit): Change date heading to use day of month with ordinal
8,https://api.github.com/repos/mozilla/chronicle/pulls/346,346,refactor(db): Change the test data time interval so we see more date headings,"Each successive test data visit should be +5 hours later than the previous one, giving us 5-6 entries per date heading.

FWIW, 5 [hours] is a magically random number that I made up with no significance, apart from using 2, 3, 4, 6, or 8 were all divisible by 24, giving us the exact same numbers of entries per day. Or we could increase this to an equally arbitrary 7 or 9 hours difference, if that floats your collective boats.

Fixes #345
",pdehaan,557895,2015-02-17T01:21:25Z,CONTRIBUTOR,True,4,2,1,find everything you've ever found,JavaScript,820b30d9a9787cd33d13ce93df867911c4e6f10c,refactor(db): Change the test data time interval so we see more date headings
9,https://api.github.com/repos/mozilla/chronicle/pulls/344,344,chore(sass): Add a convict flag to specify Sass output style,"Added a useless knob to control your Sass `outputStyle`. Possibly only useful to me and @johngruen (or anybody else dabbling in CSS who doesn't want to read minimized code).

The output is still compressed/minimized by default, but you can easily override locally by setting the `""sass_outputStyle"": ""nested""` in your config/local.json file.

Fixes #301 
",pdehaan,557895,2015-02-17T00:20:23Z,CONTRIBUTOR,True,10,2,3,find everything you've ever found,JavaScript,b39d1748639e06e8003abf115cc3c432969bfbba,chore(sass): Add a convict flag to specify Sass output style
