,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/community-development/pulls/614,614,Add Mozilla Code of Conduct,"Fixes #613


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-29T16:55:51Z,CONTRIBUTOR,True,15,0,1,Community Development Team planning repo,,b506617392cafb6da1b96cf7e5930134c61d1d07,"Add Mozilla Code of Conduct file

Fixes #613.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/community-development/pulls/597,597,editing link to issues,It was missing a character so it lead to a 404,bunnybooboo,5793295,2017-10-02T12:26:49Z,CONTRIBUTOR,True,1,1,1,Community Development Team planning repo,,e596b4d7852b430e96e4347ab1c86b6c1d3bffac,"editing link to issues

It was missing a character so it lead to a 404"
2,https://api.github.com/repos/mozilla/community-development/pulls/563,563,Add OKR Dashboard,"Preview here: 
https://michaelkohler.info/mozilla/cdt/okrs/

The progress and goals can be changed by anyone in this repo through a PR. In the ""src"" folder there is a ```okrs.json``` file. This can be edited. The README explains how.

Once merged, the dashboard would be available at mozilla.github.io/community-development/okr/",MichaelKohler,330324,2017-04-08T13:57:23Z,MEMBER,False,1039,0,22,Community Development Team planning repo,,846746471b9d35773248894d549931b219466844,Initial version of OKR dashboard
3,https://api.github.com/repos/mozilla/community-development/pulls/563,563,Add OKR Dashboard,"Preview here: 
https://michaelkohler.info/mozilla/cdt/okrs/

The progress and goals can be changed by anyone in this repo through a PR. In the ""src"" folder there is a ```okrs.json``` file. This can be edited. The README explains how.

Once merged, the dashboard would be available at mozilla.github.io/community-development/okr/",MichaelKohler,330324,2017-04-08T13:57:23Z,MEMBER,False,1039,0,22,Community Development Team planning repo,,79e7c3537cfe4c7cc108c6d23ba7bfc8deafd044,Pseudo numbers added for prototype
4,https://api.github.com/repos/mozilla/community-development/pulls/563,563,Add OKR Dashboard,"Preview here: 
https://michaelkohler.info/mozilla/cdt/okrs/

The progress and goals can be changed by anyone in this repo through a PR. In the ""src"" folder there is a ```okrs.json``` file. This can be edited. The README explains how.

Once merged, the dashboard would be available at mozilla.github.io/community-development/okr/",MichaelKohler,330324,2017-04-08T13:57:23Z,MEMBER,False,1039,0,22,Community Development Team planning repo,,54b2d4782dae68ab138396a2bb44d3f5c937d470,Reduce margin for title + make font smaller + fix issue with info button
5,https://api.github.com/repos/mozilla/community-development/pulls/563,563,Add OKR Dashboard,"Preview here: 
https://michaelkohler.info/mozilla/cdt/okrs/

The progress and goals can be changed by anyone in this repo through a PR. In the ""src"" folder there is a ```okrs.json``` file. This can be edited. The README explains how.

Once merged, the dashboard would be available at mozilla.github.io/community-development/okr/",MichaelKohler,330324,2017-04-08T13:57:23Z,MEMBER,False,1039,0,22,Community Development Team planning repo,,d7abe766e7bc20a85bbb60ed6e5e2b8c564d32ce,Add index.html and built files
6,https://api.github.com/repos/mozilla/community-development/pulls/563,563,Add OKR Dashboard,"Preview here: 
https://michaelkohler.info/mozilla/cdt/okrs/

The progress and goals can be changed by anyone in this repo through a PR. In the ""src"" folder there is a ```okrs.json``` file. This can be edited. The README explains how.

Once merged, the dashboard would be available at mozilla.github.io/community-development/okr/",MichaelKohler,330324,2017-04-08T13:57:23Z,MEMBER,False,1039,0,22,Community Development Team planning repo,,7981cd5886ae812b089ba9c6fafbc09feb0441cb,Remove pseudo numbers
7,https://api.github.com/repos/mozilla/community-development/pulls/380,380,Correcting typo,"Letter missing from ""guideline""
",gembarrett,949948,2016-02-27T01:44:38Z,CONTRIBUTOR,True,1,1,1,Community Development Team planning repo,,eb36a4f0d409f460f2688a013e502244fa87a1cd,"Correcting typo

Letter missing from ""guideline"""
8,https://api.github.com/repos/mozilla/community-development/pulls/379,379,Added Rapid Prototyping content & blank template,,flukeout,25212,2016-02-26T00:44:33Z,CONTRIBUTOR,True,1880,0,13,Community Development Team planning repo,,e4e37c08b2fa46ac57831b118e1e89670edd8112,Added Rapid Prototyping content & blank template
9,https://api.github.com/repos/mozilla/community-development/pulls/295,295,"Remove trailing ""Expected Behavior""",,mikeconley,195042,2016-01-23T07:16:46Z,CONTRIBUTOR,True,0,1,1,Community Development Team planning repo,,e63308d23e3b766decb5303bdf640fae29af182f,"Remove trailing ""Expected Behavior"""
