,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/copyright/pulls/182,182,Add Mozilla Code of Conduct,"Fixes #181


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T06:10:00Z,NONE,False,15,0,1,Source of the Copyright campaign website,JavaScript,252dee70a3a5ad71957b034b65ce885ec780d9f9,"Add Mozilla Code of Conduct file

Fixes #181.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/copyright/pulls/166,166,remove call feature,"ref MozillaFoundation/mofo-devops-private#165

It needs to be deployed today, after 4pm GMT.",patjouk,481052,2018-09-12T13:02:37Z,CONTRIBUTOR,True,3419,2626,5,Source of the Copyright campaign website,JavaScript,18699298485a0bd96c167436f62df4cf8f8a4885,remove call feature
2,https://api.github.com/repos/mozilla/copyright/pulls/165,165,WIP: Re-add call page and CTA text,,alanmoo,1682681,2018-08-31T17:25:09Z,CONTRIBUTOR,True,16,3,7,Source of the Copyright campaign website,JavaScript,98c27883bf582166a1750a0b26866048c1e50c0f,Re-add call page and CTA text
3,https://api.github.com/repos/mozilla/copyright/pulls/165,165,WIP: Re-add call page and CTA text,,alanmoo,1682681,2018-08-31T17:25:09Z,CONTRIBUTOR,True,16,3,7,Source of the Copyright campaign website,JavaScript,1c87f26ef3f48f5063038fe471a2cbde14c8d27b,Update call script and homepage text
4,https://api.github.com/repos/mozilla/copyright/pulls/165,165,WIP: Re-add call page and CTA text,,alanmoo,1682681,2018-08-31T17:25:09Z,CONTRIBUTOR,True,16,3,7,Source of the Copyright campaign website,JavaScript,20e70ed5c1b8717207f9017aad1c95cb6c300045,Add a word
5,https://api.github.com/repos/mozilla/copyright/pulls/164,164,Remove call link from impact page,Looks like I forgot this one,TheoChevalier,1294206,2018-07-06T13:15:42Z,COLLABORATOR,True,0,7,1,Source of the Copyright campaign website,JavaScript,35cafe093d34fc2f66da5751cbba6722f3cbf1a1,Remove call link from impact page
6,https://api.github.com/repos/mozilla/copyright/pulls/163,163, Update homepage after campaign win ,"Updated fr home
![image](https://user-images.githubusercontent.com/1294206/42349361-700c5eac-80a4-11e8-9cd0-3685c719f57b.png)
",TheoChevalier,1294206,2018-07-05T21:39:40Z,COLLABORATOR,True,5,11,5,Source of the Copyright campaign website,JavaScript,578ea68f68dfe5c1a1d01f312cc342940ede8eff,Localize announcement to switch off the call tool
7,https://api.github.com/repos/mozilla/copyright/pulls/163,163, Update homepage after campaign win ,"Updated fr home
![image](https://user-images.githubusercontent.com/1294206/42349361-700c5eac-80a4-11e8-9cd0-3685c719f57b.png)
",TheoChevalier,1294206,2018-07-05T21:39:40Z,COLLABORATOR,True,5,11,5,Source of the Copyright campaign website,JavaScript,d0a306e1839dc59435a83930ea651bf78fcc5a34,Update homepage after campaign win
8,https://api.github.com/repos/mozilla/copyright/pulls/161,161,Localize announcement to switch off the call tool,,TheoChevalier,1294206,2018-07-05T18:27:52Z,COLLABORATOR,False,3,0,1,Source of the Copyright campaign website,JavaScript,578ea68f68dfe5c1a1d01f312cc342940ede8eff,Localize announcement to switch off the call tool
9,https://api.github.com/repos/mozilla/copyright/pulls/158,158,Fixing value check.,,ScottDowne,197334,2018-07-03T14:05:40Z,CONTRIBUTOR,True,1,1,1,Source of the Copyright campaign website,JavaScript,62a4c94846047eb8c25c7ca4067680e5c385560c,Fixing value check.
