,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/cubeb-rs/pulls/55,55,Remove cubeb_stream_reset_default_device API.,"See https://github.com/mozilla/cubeb/pull/641

This also bumps cubeb-rs to 0.9.0.",kinetiknz,67343,2021-02-17T01:05:33Z,CONTRIBUTOR,True,8,31,11,,Rust,46b0c8104e21933a150e0200a1180cbc07bec45a,Remove cubeb_stream_reset_default_device API.
1,https://api.github.com/repos/mozilla/cubeb-rs/pulls/54,54,Add support for cubeb_stream_set_name,"Blocked by https://github.com/kinetiknz/cubeb/pull/615. This won't work until the submodule is updated.

This PR adds support for the cubeb_stream_set_name method. I am not sure if the types are entirely correct when dealing with CStr.

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/djg/cubeb-rs/54)
<!-- Reviewable:end -->
",mymindstorm,27789806,2020-10-01T00:37:47Z,CONTRIBUTOR,True,45,8,10,,Rust,b67ab1a1869744deab69ee4b35aaaf8b5349a7e2, Add method to change stream name
2,https://api.github.com/repos/mozilla/cubeb-rs/pulls/53,53,Update for `stream_get_latency`,"This is necessary after https://github.com/kinetiknz/cubeb/pull/583

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/djg/cubeb-rs/53)
<!-- Reviewable:end -->
",padenot,270485,2020-04-24T15:00:31Z,COLLABORATOR,True,34,8,10,,Rust,207ac1b9ec8c26a35ea6c51538ed577271428b3e,Update for stream_get_latency
3,https://api.github.com/repos/mozilla/cubeb-rs/pulls/53,53,Update for `stream_get_latency`,"This is necessary after https://github.com/kinetiknz/cubeb/pull/583

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/djg/cubeb-rs/53)
<!-- Reviewable:end -->
",padenot,270485,2020-04-24T15:00:31Z,COLLABORATOR,True,34,8,10,,Rust,856692939886a0c65396ade7da6f778d799b3aca,0.7
4,https://api.github.com/repos/mozilla/cubeb-rs/pulls/53,53,Update for `stream_get_latency`,"This is necessary after https://github.com/kinetiknz/cubeb/pull/583

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/djg/cubeb-rs/53)
<!-- Reviewable:end -->
",padenot,270485,2020-04-24T15:00:31Z,COLLABORATOR,True,34,8,10,,Rust,767d0c15eeb91eb62dafe860934f56a26f2b9627,"Use a more recent libcubeb to have the stream_input_latency method, and bump a few crates because of API changes"
5,https://api.github.com/repos/mozilla/cubeb-rs/pulls/52,52,Silence clippy `range_plus_one`,"https://rust-lang.github.io/rust-clippy/master/index.html#range_plus_one

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/djg/cubeb-rs/52)
<!-- Reviewable:end -->
",padenot,270485,2020-04-15T13:06:02Z,COLLABORATOR,True,1,1,1,,Rust,6db03ae64df7538523c47aaf6d117839725acab0,"Silence clippy range_plus_one

https://rust-lang.github.io/rust-clippy/master/index.html#range_plus_one"
6,https://api.github.com/repos/mozilla/cubeb-rs/pulls/51,51,Do not allocate buffer when logging messages,"Address the performance issue mentioned here: https://github.com/djg/cubeb-rs/pull/50#pullrequestreview-389875184. When logging message, we should avoid allocating a string, which may consume considerable time. That is not ideal for the real-time threads.

r? @kinetiknz @padenot

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/djg/cubeb-rs/51)
<!-- Reviewable:end -->
",ChunMinChang,5111652,2020-04-08T21:29:47Z,MEMBER,True,15,2,1,,Rust,74665b35bd1324825dacbf32a4c955a28740d9bd,Do not allocate buffer when logging messages
7,https://api.github.com/repos/mozilla/cubeb-rs/pulls/51,51,Do not allocate buffer when logging messages,"Address the performance issue mentioned here: https://github.com/djg/cubeb-rs/pull/50#pullrequestreview-389875184. When logging message, we should avoid allocating a string, which may consume considerable time. That is not ideal for the real-time threads.

r? @kinetiknz @padenot

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/djg/cubeb-rs/51)
<!-- Reviewable:end -->
",ChunMinChang,5111652,2020-04-08T21:29:47Z,MEMBER,True,15,2,1,,Rust,cebe8836cdc5ff7bbea5eab779510f05b85dda76,Add newline character in buffer
8,https://api.github.com/repos/mozilla/cubeb-rs/pulls/51,51,Do not allocate buffer when logging messages,"Address the performance issue mentioned here: https://github.com/djg/cubeb-rs/pull/50#pullrequestreview-389875184. When logging message, we should avoid allocating a string, which may consume considerable time. That is not ideal for the real-time threads.

r? @kinetiknz @padenot

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/djg/cubeb-rs/51)
<!-- Reviewable:end -->
",ChunMinChang,5111652,2020-04-08T21:29:47Z,MEMBER,True,15,2,1,,Rust,6f33df34fe9d018fb8c89a1c9d5be8fcc4a0951b,"Truncate log silently in release build

When log message's size is over than the buffer's capacity, in release
build, we silently truncate the log message. In debug build, we have an
assertion to warn this."
9,https://api.github.com/repos/mozilla/cubeb-rs/pulls/51,51,Do not allocate buffer when logging messages,"Address the performance issue mentioned here: https://github.com/djg/cubeb-rs/pull/50#pullrequestreview-389875184. When logging message, we should avoid allocating a string, which may consume considerable time. That is not ideal for the real-time threads.

r? @kinetiknz @padenot

<!-- Reviewable:start -->
---
This change is [<img src=""https://reviewable.io/review_button.svg"" height=""34"" align=""absmiddle"" alt=""Reviewable""/>](https://reviewable.io/reviews/djg/cubeb-rs/51)
<!-- Reviewable:end -->
",ChunMinChang,5111652,2020-04-08T21:29:47Z,MEMBER,True,15,2,1,,Rust,77b71c0b75ee087fe7caabbb5d8d79b30f737f3b,"Ignore the fractional part of the log value

The log calculation will be applied for converting the `line!()` value
to the digits of the number we need in the log message. The fractional
part of the log value can be ignored in the calculation. This might give
a better readability of how the digits are calculated."
