,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/dispensary/pulls/921,921,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Configuration

:date: **Schedule**: ""before 4pm on Monday"" in timezone UTC.

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-19T13:55:48Z,CONTRIBUTOR,True,6,6,1,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,17ff401622776f37eb4eacb207733377b1c3a7dc,Lock file maintenance
1,https://api.github.com/repos/mozilla/dispensary/pulls/920,920,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Configuration

:date: **Schedule**: ""before 4pm on Monday"" in timezone UTC.

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-19T07:33:22Z,CONTRIBUTOR,True,3,3,1,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,ac3c0fcff7f4d55ae5018d6dca161e2eea5ab4a3,Lock file maintenance
2,https://api.github.com/repos/mozilla/dispensary/pulls/919,919,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Configuration

:date: **Schedule**: ""before 4pm on Monday"" in timezone UTC.

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-19T04:50:22Z,CONTRIBUTOR,True,3,3,1,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,a25090a1809038f55a5df65f519207d4ff181129,Lock file maintenance
3,https://api.github.com/repos/mozilla/dispensary/pulls/918,918,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Configuration

:date: **Schedule**: ""before 4pm on Monday"" in timezone UTC.

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-19T00:58:57Z,CONTRIBUTOR,True,54,54,1,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,2cd283996001032056cdfc1df734da6f1e8fc913,Lock file maintenance
4,https://api.github.com/repos/mozilla/dispensary/pulls/917,917,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Configuration

:date: **Schedule**: ""before 4pm on Monday"" in timezone UTC.

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-12T11:48:47Z,CONTRIBUTOR,True,7,7,1,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,2c6a65174903ff4c4691438b2e6f3dd8b96b61db,Lock file maintenance
5,https://api.github.com/repos/mozilla/dispensary/pulls/916,916,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Configuration

:date: **Schedule**: ""before 4pm on Monday"" in timezone UTC.

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-12T07:53:26Z,CONTRIBUTOR,True,6,6,1,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,6dd0616fd7231f1725bc580120310a11fb6f670c,Lock file maintenance
6,https://api.github.com/repos/mozilla/dispensary/pulls/915,915,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Configuration

:date: **Schedule**: ""before 4pm on Monday"" in timezone UTC.

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-12T01:45:27Z,CONTRIBUTOR,True,144,147,1,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,4b38c1cf21cb94212e964bf877f71b16103dd34a,Lock file maintenance
7,https://api.github.com/repos/mozilla/dispensary/pulls/914,914,Update dependency eslint-plugin-promise to v5,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Package | Change | Age | Adoption | Passing | Confidence |
|---|---|---|---|---|---|
| [eslint-plugin-promise](https://togithub.com/xjamundx/eslint-plugin-promise) | [`4.3.1` -> `5.1.0`](https://renovatebot.com/diffs/npm/eslint-plugin-promise/4.3.1/5.1.0) | [![age](https://badges.renovateapi.com/packages/npm/eslint-plugin-promise/5.1.0/age-slim)](https://docs.renovatebot.com/merge-confidence/) | [![adoption](https://badges.renovateapi.com/packages/npm/eslint-plugin-promise/5.1.0/adoption-slim)](https://docs.renovatebot.com/merge-confidence/) | [![passing](https://badges.renovateapi.com/packages/npm/eslint-plugin-promise/5.1.0/compatibility-slim/4.3.1)](https://docs.renovatebot.com/merge-confidence/) | [![confidence](https://badges.renovateapi.com/packages/npm/eslint-plugin-promise/5.1.0/confidence-slim/4.3.1)](https://docs.renovatebot.com/merge-confidence/) |

---

### Release Notes

<details>
<summary>xjamundx/eslint-plugin-promise</summary>

### [`v5.1.0`](https://togithub.com/xjamundx/eslint-plugin-promise/blob/master/CHANGELOG.md#&#8203;510)

[Compare Source](https://togithub.com/xjamundx/eslint-plugin-promise/compare/7ac8796e8fa88a257619d7f98264604ef57045af...485509660ccc1901fd30040cf4e75c88922c6255)

-   Included `catch()` and `finally()` in `prefer-await-to-then` [#&#8203;196](https://togithub.com/xjamundx/eslint-plugin-promise/issues/196)
-   Added some additional tests and upgraded some dev deps [#&#8203;196](https://togithub.com/xjamundx/eslint-plugin-promise/issues/196)
-   Exempted array methods in prefer-await-to-callbacks ([#&#8203;212](https://togithub.com/xjamundx/eslint-plugin-promise/issues/212))

### [`v5.0.0`](https://togithub.com/xjamundx/eslint-plugin-promise/blob/master/CHANGELOG.md#&#8203;500)

[Compare Source](https://togithub.com/xjamundx/eslint-plugin-promise/compare/v4.3.1...7ac8796e8fa88a257619d7f98264604ef57045af)

-   ESLint 7.0 Support

</details>

---

### Configuration

:date: **Schedule**: At any time (no schedule defined).

:vertical_traffic_light: **Automerge**: Disabled by config. Please merge this manually once you are satisfied.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:no_bell: **Ignore**: Close this PR and you won't be reminded about this update again.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-09T22:13:44Z,CONTRIBUTOR,False,4,4,2,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,823fd62cc5b3924254f40a90fdbac5f8a0f1df15,Update dependency eslint-plugin-promise to v5
8,https://api.github.com/repos/mozilla/dispensary/pulls/913,913,Update dependency eslint to ~7.24.0,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Package | Change | Age | Adoption | Passing | Confidence |
|---|---|---|---|---|---|
| [eslint](https://eslint.org) ([source](https://togithub.com/eslint/eslint)) | [`~7.23.0` -> `~7.24.0`](https://renovatebot.com/diffs/npm/eslint/7.23.0/7.24.0) | [![age](https://badges.renovateapi.com/packages/npm/eslint/7.24.0/age-slim)](https://docs.renovatebot.com/merge-confidence/) | [![adoption](https://badges.renovateapi.com/packages/npm/eslint/7.24.0/adoption-slim)](https://docs.renovatebot.com/merge-confidence/) | [![passing](https://badges.renovateapi.com/packages/npm/eslint/7.24.0/compatibility-slim/7.23.0)](https://docs.renovatebot.com/merge-confidence/) | [![confidence](https://badges.renovateapi.com/packages/npm/eslint/7.24.0/confidence-slim/7.23.0)](https://docs.renovatebot.com/merge-confidence/) |

---

### Release Notes

<details>
<summary>eslint/eslint</summary>

### [`v7.24.0`](https://togithub.com/eslint/eslint/releases/v7.24.0)

[Compare Source](https://togithub.com/eslint/eslint/compare/v7.23.0...v7.24.0)

-   [`0c346c8`](https://togithub.com/eslint/eslint/commit/0c346c87fa83c6d1184fdafb9c0748c2e15a423d) Chore: ignore `pnpm-lock.yaml` ([#&#8203;14303](https://togithub.com/eslint/eslint/issues/14303)) (Nitin Kumar)
-   [`f06ecdf`](https://togithub.com/eslint/eslint/commit/f06ecdf78b6d6f366434d73a6acfe7041d575223) Update: Add disallowTemplateShorthand option in no-implicit-coercion ([#&#8203;13579](https://togithub.com/eslint/eslint/issues/13579)) (Remco Haszing)
-   [`71a80e3`](https://togithub.com/eslint/eslint/commit/71a80e38aab2dada01b808ed43d9b0e806d863c4) Docs: fix broken links in Node.js API docs toc ([#&#8203;14296](https://togithub.com/eslint/eslint/issues/14296)) (u-sho (Shouhei Uechi))
-   [`bd46dc4`](https://togithub.com/eslint/eslint/commit/bd46dc4647faa4c3bbb5f60d4c00616a64081398) Docs: Fix incorrect reference to ""braces"" in arrow-parens ([#&#8203;14300](https://togithub.com/eslint/eslint/issues/14300)) (emclain)
-   [`0d6235e`](https://togithub.com/eslint/eslint/commit/0d6235ea201b8b90761ee69bb4d46ae18899c28d) Docs: update header in max-lines ([#&#8203;14273](https://togithub.com/eslint/eslint/issues/14273)) (Shinigami)
-   [`70c9216`](https://togithub.com/eslint/eslint/commit/70c92164017238e329e3a2d1654a0227b8f953f7) Docs: Update issue triage to include blocked column ([#&#8203;14275](https://togithub.com/eslint/eslint/issues/14275)) (Nicholas C. Zakas)
-   [`abca186`](https://togithub.com/eslint/eslint/commit/abca186a845200fd7728c4e5f220973e640054f9) Docs: Fix typo in suggestions section ([#&#8203;14293](https://togithub.com/eslint/eslint/issues/14293)) (Kevin Partington)
-   [`c4d8b0d`](https://togithub.com/eslint/eslint/commit/c4d8b0db62b859e721105d4bc0f4044ce346995e) Fix: no-unused-vars ignoreRestSiblings check assignments (fixes [#&#8203;14163](https://togithub.com/eslint/eslint/issues/14163)) ([#&#8203;14264](https://togithub.com/eslint/eslint/issues/14264)) (YeonJuan)
-   [`b51d077`](https://togithub.com/eslint/eslint/commit/b51d0778d76c2aa27578caca3ea82c867dced3e4) Update: add ignoreNonDeclaration to no-multi-assign rule (fixes [#&#8203;12545](https://togithub.com/eslint/eslint/issues/12545)) ([#&#8203;14185](https://togithub.com/eslint/eslint/issues/14185)) (t-mangoe)
-   [`c981fb1`](https://togithub.com/eslint/eslint/commit/c981fb1994cd04914042ced1980aa86b68ba7be9) Chore: Upgrade mocha to 8.3.2 ([#&#8203;14278](https://togithub.com/eslint/eslint/issues/14278)) (Stephen Wade)
-   [`147fc04`](https://togithub.com/eslint/eslint/commit/147fc045e699811fab33dddf77498324ddf7e9d6) Docs: Fix `repro:needed` label in bug report template ([#&#8203;14285](https://togithub.com/eslint/eslint/issues/14285)) (Milos Djermanovic)
-   [`e1cfde9`](https://togithub.com/eslint/eslint/commit/e1cfde93eec71a15c2df1ad660a7a6171204ba80) Docs: Update bug report template ([#&#8203;14276](https://togithub.com/eslint/eslint/issues/14276)) (Nicholas C. Zakas)
-   [`c85c2f1`](https://togithub.com/eslint/eslint/commit/c85c2f1138a9e952655f19ee780ab0c8e35431a8) Docs: Add fatal to Node.js API LintMessage type ([#&#8203;14251](https://togithub.com/eslint/eslint/issues/14251)) (Brandon Mills)

</details>

---

### Configuration

:date: **Schedule**: At any time (no schedule defined).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:no_bell: **Ignore**: Close this PR and you won't be reminded about this update again.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-09T22:12:46Z,CONTRIBUTOR,True,4,4,2,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,e694320136002a4f75e9763e210f9910824768bc,Update dependency eslint to ~7.24.0
9,https://api.github.com/repos/mozilla/dispensary/pulls/912,912,Update Node.js to v12.22.1,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Package | Update | Change |
|---|---|---|
| [node](https://togithub.com/nodejs/node) | patch | `12.22.0` -> `12.22.1` |

---

### Release Notes

<details>
<summary>nodejs/node</summary>

### [`v12.22.1`](https://togithub.com/nodejs/node/releases/v12.22.1)

[Compare Source](https://togithub.com/nodejs/node/compare/v12.22.0...v12.22.1)

This is a security release.

##### Notable Changes

Vulnerabilities fixed:

-   **CVE-2021-3450**: OpenSSL - CA certificate check bypass with X509_V_FLAG_X509_STRICT (High)
    -   This is a vulnerability in OpenSSL which may be exploited through Node.js. You can read more about it in <https://www.openssl.org/news/secadv/20210325.txt>
    -   Impacts:
        -   All versions of the 15.x, 14.x, 12.x and 10.x releases lines
-   **CVE-2021-3449**: OpenSSL - NULL pointer deref in signature_algorithms processing (High)
    -   This is a vulnerability in OpenSSL which may be exploited through Node.js. You can read more about it in <https://www.openssl.org/news/secadv/20210325.txt>
    -   Impacts:
        -   All versions of the 15.x, 14.x, 12.x and 10.x releases lines
-   **CVE-2020-7774**: npm upgrade - Update y18n to fix Prototype-Pollution (High)
    -   This is a vulnerability in the y18n npm module which may be exploited by prototype pollution. You can read more about it in <https://github.com/advisories/GHSA-c4w7-xm78-47vh>
    -   Impacts:
        -   All versions of the 14.x, 12.x and 10.x releases lines

##### Commits

-   \[[`c947f1a0e1`](https://togithub.com/nodejs/node/commit/c947f1a0e1)] - **deps**: upgrade npm to 6.14.12 (Ruy Adorno) [#&#8203;37918](https://togithub.com/nodejs/node/pull/37918)
-   \[[`51a753c06f`](https://togithub.com/nodejs/node/commit/51a753c06f)] - **deps**: update archs files for OpenSSL-1.1.1k (Tobias Nießen) [#&#8203;37939](https://togithub.com/nodejs/node/pull/37939)
-   \[[`c85a519b48`](https://togithub.com/nodejs/node/commit/c85a519b48)] - **deps**: upgrade openssl sources to 1.1.1k (Tobias Nießen) [#&#8203;37939](https://togithub.com/nodejs/node/pull/37939)

</details>

---

### Configuration

:date: **Schedule**: At any time (no schedule defined).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:no_bell: **Ignore**: Close this PR and you won't be reminded about this update again.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/dispensary).",renovate[bot],29139614,2021-04-06T21:03:12Z,CONTRIBUTOR,True,1,1,1,"Hashes of popular JavaScript libraries, mainly for the Mozilla's addons-linter",JavaScript,5624a7bf3ba241f22c6bf8a815f4e648b82d7383,Update Node.js to v12.22.1
