,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/docere/pulls/65,65,add a link to docere submission helper to header,,teonbrooks,1578674,2021-01-28T01:27:31Z,CONTRIBUTOR,True,1,0,1,Knowledge management where the data scientist is in control,Python,98256d4bae3b800edf976253587a2a557c1d9a05,add a link to docere submission helper to header
1,https://api.github.com/repos/mozilla/docere/pulls/64,64,Filter tags,,ksiegler1,13249345,2021-01-22T23:06:48Z,CONTRIBUTOR,True,89,16,4,Knowledge management where the data scientist is in control,Python,3c1b21f11123477f7b612c2c518de44392c1d244,Add data-tag filter for attributes
2,https://api.github.com/repos/mozilla/docere/pulls/64,64,Filter tags,,ksiegler1,13249345,2021-01-22T23:06:48Z,CONTRIBUTOR,True,89,16,4,Knowledge management where the data scientist is in control,Python,103615798f52ef984e2c5712e01e51394308f50e,fix tests
3,https://api.github.com/repos/mozilla/docere/pulls/64,64,Filter tags,,ksiegler1,13249345,2021-01-22T23:06:48Z,CONTRIBUTOR,True,89,16,4,Knowledge management where the data scientist is in control,Python,8a5869622a48fd557ba79d774a5ae96a56290edf,"Fix filter, add URL search params"
4,https://api.github.com/repos/mozilla/docere/pulls/63,63,Construct relative paths correctly,"These changes ensure that we don't include the name of outdir in the report paths.

The calls to `os.path.normpath()` are just cosmetic; that changes a path like ""./foo/bar"" to ""foo/bar"", which is all we should need to specify.

The big change is just restoring the tmp_cd() before hunting for reports; I think I'd taken it out because I didn't understand what it did. Now I know!",tdsmith,173889,2021-01-19T21:14:58Z,MEMBER,True,36,32,2,Knowledge management where the data scientist is in control,Python,ca499b70392532191d29e95b4d95eaf9cdda1a5c,Construct relative paths correctly
5,https://api.github.com/repos/mozilla/docere/pulls/62,62,Add data-tag filter for attributes,,ksiegler1,13249345,2021-01-13T22:40:14Z,CONTRIBUTOR,True,19,12,3,Knowledge management where the data scientist is in control,Python,3c1b21f11123477f7b612c2c518de44392c1d244,Add data-tag filter for attributes
6,https://api.github.com/repos/mozilla/docere/pulls/62,62,Add data-tag filter for attributes,,ksiegler1,13249345,2021-01-13T22:40:14Z,CONTRIBUTOR,True,19,12,3,Knowledge management where the data scientist is in control,Python,103615798f52ef984e2c5712e01e51394308f50e,fix tests
7,https://api.github.com/repos/mozilla/docere/pulls/60,60,"Allow ""external report"" directories","Instead of requiring each report to be in its own folder, introduce an ""external reports folder"" where any .toml or .json file is assumed to be a valid report definition file.

Also makes test_get_reports more flexible.

Closes #42, closes #47.",tdsmith,173889,2020-12-21T17:39:51Z,MEMBER,True,97,18,7,Knowledge management where the data scientist is in control,Python,f60fbff604266e4c09dce1dbd08a6c1cd1dd3e7d,"Make test_get_reports more flexible

- Assigns a unique `source` identifier in get_reports so that we can disambiguate where reports came from while testing
- Only checks the values we provide -- allow reports to have extra fields compared to the test fixtures

Closes #47."
8,https://api.github.com/repos/mozilla/docere/pulls/60,60,"Allow ""external report"" directories","Instead of requiring each report to be in its own folder, introduce an ""external reports folder"" where any .toml or .json file is assumed to be a valid report definition file.

Also makes test_get_reports more flexible.

Closes #42, closes #47.",tdsmith,173889,2020-12-21T17:39:51Z,MEMBER,True,97,18,7,Knowledge management where the data scientist is in control,Python,a5b2b722d7cb0f74ec3170de0d3a4c7b9eb564c0,"Don't hide exceptions

Give clearer error messages when failures occur in these tests."
9,https://api.github.com/repos/mozilla/docere/pulls/60,60,"Allow ""external report"" directories","Instead of requiring each report to be in its own folder, introduce an ""external reports folder"" where any .toml or .json file is assumed to be a valid report definition file.

Also makes test_get_reports more flexible.

Closes #42, closes #47.",tdsmith,173889,2020-12-21T17:39:51Z,MEMBER,True,97,18,7,Knowledge management where the data scientist is in control,Python,8e4590188ef8aeb3b762e6d82b341e8bcf2a432b,"Allow a directory of ""external"" reports

Instead of requiring each report to be in its own folder, introduce an ""external reports folder"" where any .toml or .json file is assumed to be a valid report definition file.

Closes #42."
