,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/50,50,Update dependency eslint to ^7.23.0,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Package | Change | Age | Adoption | Passing | Confidence |
|---|---|---|---|---|---|
| [eslint](https://eslint.org) ([source](https://togithub.com/eslint/eslint)) | [`^7.0.0` -> `^7.23.0`](https://renovatebot.com/diffs/npm/eslint/7.23.0/7.24.0) | [![age](https://badges.renovateapi.com/packages/npm/eslint/7.24.0/age-slim)](https://docs.renovatebot.com/merge-confidence/) | [![adoption](https://badges.renovateapi.com/packages/npm/eslint/7.24.0/adoption-slim)](https://docs.renovatebot.com/merge-confidence/) | [![passing](https://badges.renovateapi.com/packages/npm/eslint/7.24.0/compatibility-slim/7.23.0)](https://docs.renovatebot.com/merge-confidence/) | [![confidence](https://badges.renovateapi.com/packages/npm/eslint/7.24.0/confidence-slim/7.23.0)](https://docs.renovatebot.com/merge-confidence/) |

---

### Release Notes

<details>
<summary>eslint/eslint</summary>

### [`v7.24.0`](https://togithub.com/eslint/eslint/releases/v7.24.0)

[Compare Source](https://togithub.com/eslint/eslint/compare/v7.23.0...v7.24.0)

-   [`0c346c8`](https://togithub.com/eslint/eslint/commit/0c346c87fa83c6d1184fdafb9c0748c2e15a423d) Chore: ignore `pnpm-lock.yaml` ([#&#8203;14303](https://togithub.com/eslint/eslint/issues/14303)) (Nitin Kumar)
-   [`f06ecdf`](https://togithub.com/eslint/eslint/commit/f06ecdf78b6d6f366434d73a6acfe7041d575223) Update: Add disallowTemplateShorthand option in no-implicit-coercion ([#&#8203;13579](https://togithub.com/eslint/eslint/issues/13579)) (Remco Haszing)
-   [`71a80e3`](https://togithub.com/eslint/eslint/commit/71a80e38aab2dada01b808ed43d9b0e806d863c4) Docs: fix broken links in Node.js API docs toc ([#&#8203;14296](https://togithub.com/eslint/eslint/issues/14296)) (u-sho (Shouhei Uechi))
-   [`bd46dc4`](https://togithub.com/eslint/eslint/commit/bd46dc4647faa4c3bbb5f60d4c00616a64081398) Docs: Fix incorrect reference to ""braces"" in arrow-parens ([#&#8203;14300](https://togithub.com/eslint/eslint/issues/14300)) (emclain)
-   [`0d6235e`](https://togithub.com/eslint/eslint/commit/0d6235ea201b8b90761ee69bb4d46ae18899c28d) Docs: update header in max-lines ([#&#8203;14273](https://togithub.com/eslint/eslint/issues/14273)) (Shinigami)
-   [`70c9216`](https://togithub.com/eslint/eslint/commit/70c92164017238e329e3a2d1654a0227b8f953f7) Docs: Update issue triage to include blocked column ([#&#8203;14275](https://togithub.com/eslint/eslint/issues/14275)) (Nicholas C. Zakas)
-   [`abca186`](https://togithub.com/eslint/eslint/commit/abca186a845200fd7728c4e5f220973e640054f9) Docs: Fix typo in suggestions section ([#&#8203;14293](https://togithub.com/eslint/eslint/issues/14293)) (Kevin Partington)
-   [`c4d8b0d`](https://togithub.com/eslint/eslint/commit/c4d8b0db62b859e721105d4bc0f4044ce346995e) Fix: no-unused-vars ignoreRestSiblings check assignments (fixes [#&#8203;14163](https://togithub.com/eslint/eslint/issues/14163)) ([#&#8203;14264](https://togithub.com/eslint/eslint/issues/14264)) (YeonJuan)
-   [`b51d077`](https://togithub.com/eslint/eslint/commit/b51d0778d76c2aa27578caca3ea82c867dced3e4) Update: add ignoreNonDeclaration to no-multi-assign rule (fixes [#&#8203;12545](https://togithub.com/eslint/eslint/issues/12545)) ([#&#8203;14185](https://togithub.com/eslint/eslint/issues/14185)) (t-mangoe)
-   [`c981fb1`](https://togithub.com/eslint/eslint/commit/c981fb1994cd04914042ced1980aa86b68ba7be9) Chore: Upgrade mocha to 8.3.2 ([#&#8203;14278](https://togithub.com/eslint/eslint/issues/14278)) (Stephen Wade)
-   [`147fc04`](https://togithub.com/eslint/eslint/commit/147fc045e699811fab33dddf77498324ddf7e9d6) Docs: Fix `repro:needed` label in bug report template ([#&#8203;14285](https://togithub.com/eslint/eslint/issues/14285)) (Milos Djermanovic)
-   [`e1cfde9`](https://togithub.com/eslint/eslint/commit/e1cfde93eec71a15c2df1ad660a7a6171204ba80) Docs: Update bug report template ([#&#8203;14276](https://togithub.com/eslint/eslint/issues/14276)) (Nicholas C. Zakas)
-   [`c85c2f1`](https://togithub.com/eslint/eslint/commit/c85c2f1138a9e952655f19ee780ab0c8e35431a8) Docs: Add fatal to Node.js API LintMessage type ([#&#8203;14251](https://togithub.com/eslint/eslint/issues/14251)) (Brandon Mills)

</details>

---

### Configuration

:date: **Schedule**: At any time (no schedule defined).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:no_bell: **Ignore**: Close this PR and you won't be reminded about this update again.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-04-19T14:37:57Z,CONTRIBUTOR,True,1,1,1,⛑ ESLint plugin for AMO.,JavaScript,91b7ea834a5a13d061113d8f6eed2614d18715df,Update dependency eslint to ^7.23.0
1,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/49,49,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Configuration

:date: **Schedule**: ""before 3am on Monday"" (UTC).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box.

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-04-12T01:25:16Z,CONTRIBUTOR,True,113,43,1,⛑ ESLint plugin for AMO.,JavaScript,e26092e332dcd9401fd86dca0d98d4578b6bc84b,Lock file maintenance
2,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/48,48,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Renovate configuration

:date: **Schedule**: ""before 3am on Monday"" (UTC).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-03-29T00:49:34Z,CONTRIBUTOR,True,27,21,1,⛑ ESLint plugin for AMO.,JavaScript,e5dfed0e258e7a1192923f349cbed2a8223314d1,Lock file maintenance
3,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/47,47,Update dependency markdown-table to v3,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Package | Change | Age | Adoption | Passing | Confidence |
|---|---|---|---|---|---|
| [markdown-table](https://togithub.com/wooorm/markdown-table) | [`^2.0.0` -> `^3.0.0`](https://renovatebot.com/diffs/npm/markdown-table/2.0.0/3.0.0) | [![age](https://badges.renovateapi.com/packages/npm/markdown-table/3.0.0/age-slim)](https://docs.renovatebot.com/merge-confidence/) | [![adoption](https://badges.renovateapi.com/packages/npm/markdown-table/3.0.0/adoption-slim)](https://docs.renovatebot.com/merge-confidence/) | [![passing](https://badges.renovateapi.com/packages/npm/markdown-table/3.0.0/compatibility-slim/2.0.0)](https://docs.renovatebot.com/merge-confidence/) | [![confidence](https://badges.renovateapi.com/packages/npm/markdown-table/3.0.0/confidence-slim/2.0.0)](https://docs.renovatebot.com/merge-confidence/) |

---

### Release Notes

<details>
<summary>wooorm/markdown-table</summary>

### [`v3.0.0`](https://togithub.com/wooorm/markdown-table/releases/3.0.0)

[Compare Source](https://togithub.com/wooorm/markdown-table/compare/2.0.0...3.0.0)

-   [`2666fd4`](https://togithub.com/wooorm/markdown-table/commit/2666fd4) Add JSDoc based types
-   [`f1a3411`](https://togithub.com/wooorm/markdown-table/commit/f1a3411) Use ESM
-   [`3811623`](https://togithub.com/wooorm/markdown-table/commit/3811623) Refactor to improve bundle size

</details>

---

### Renovate configuration

:date: **Schedule**: At any time (no schedule defined).

:vertical_traffic_light: **Automerge**: Disabled by config. Please merge this manually once you are satisfied.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:no_bell: **Ignore**: Close this PR and you won't be reminded about this update again.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-03-20T13:46:56Z,CONTRIBUTOR,True,11,4,2,⛑ ESLint plugin for AMO.,JavaScript,4a431a36fa4e86858e85fbf574d7b282b7ef1898,Update dependency markdown-table to v3
4,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/46,46,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Renovate configuration

:date: **Schedule**: ""before 3am on Monday"" (UTC).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-03-15T01:50:16Z,CONTRIBUTOR,True,48,55,1,⛑ ESLint plugin for AMO.,JavaScript,515b96b80940e407c5ea9c0415231e8fe0126b48,Lock file maintenance
5,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/45,45,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Renovate configuration

:date: **Schedule**: ""before 3am on Monday"" (UTC).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-03-01T00:48:10Z,CONTRIBUTOR,True,121,341,1,⛑ ESLint plugin for AMO.,JavaScript,b9e67ce1cee1f538105c9853412111874be3e842,Lock file maintenance
6,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/44,44,Update dependency inquirer to v8,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Package | Change | Age | Adoption | Passing | Confidence |
|---|---|---|---|---|---|
| [inquirer](https://togithub.com/SBoudrias/Inquirer.js) | [`^7.0.0` -> `^8.0.0`](https://renovatebot.com/diffs/npm/inquirer/7.3.3/8.0.0) | [![age](https://badges.renovateapi.com/packages/npm/inquirer/8.0.0/age-slim)](https://docs.renovatebot.com/merge-confidence/) | [![adoption](https://badges.renovateapi.com/packages/npm/inquirer/8.0.0/adoption-slim)](https://docs.renovatebot.com/merge-confidence/) | [![passing](https://badges.renovateapi.com/packages/npm/inquirer/8.0.0/compatibility-slim/7.3.3)](https://docs.renovatebot.com/merge-confidence/) | [![confidence](https://badges.renovateapi.com/packages/npm/inquirer/8.0.0/confidence-slim/7.3.3)](https://docs.renovatebot.com/merge-confidence/) |

---

### Release Notes

<details>
<summary>SBoudrias/Inquirer.js</summary>

### [`v8.0.0`](https://togithub.com/SBoudrias/Inquirer.js/releases/inquirer@8.0.0)

[Compare Source](https://togithub.com/SBoudrias/Inquirer.js/compare/inquirer@7.3.3...inquirer@8.0.0)

-   Drop support for Node 10 (through dependencies)
-   Add `postfix` option to the editor prompt to allow easily turning on proper syntax highlighting

</details>

---

### Renovate configuration

:date: **Schedule**: At any time (no schedule defined).

:vertical_traffic_light: **Automerge**: Disabled by config. Please merge this manually once you are satisfied.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:no_bell: **Ignore**: Close this PR and you won't be reminded about this update again.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-02-28T01:09:37Z,CONTRIBUTOR,True,15,9,2,⛑ ESLint plugin for AMO.,JavaScript,c359b35e91278b767a14d2b281c732956540ebd0,Update dependency inquirer to v8
7,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/43,43,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Renovate configuration

:date: **Schedule**: ""before 3am on Monday"" (UTC).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-02-08T02:22:05Z,CONTRIBUTOR,True,53,53,1,⛑ ESLint plugin for AMO.,JavaScript,294a1fc54bbdf044be00ebe1698893aa623b50e7,Lock file maintenance
8,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/42,42,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Renovate configuration

:date: **Schedule**: ""before 3am on Monday"" (UTC).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-02-01T02:42:12Z,CONTRIBUTOR,True,327,500,1,⛑ ESLint plugin for AMO.,JavaScript,49fc95f3c4f79fb3440ccd63cf53653eedac3172,Lock file maintenance
9,https://api.github.com/repos/mozilla/eslint-plugin-amo/pulls/41,41,Lock file maintenance,"[![WhiteSource Renovate](https://app.renovatebot.com/images/banner.svg)](https://renovatebot.com)

This PR contains the following updates:

| Update | Change |
|---|---|
| lockFileMaintenance | All locks refreshed |

:wrench: This Pull Request updates lock files to use the latest dependency versions.

---

### Renovate configuration

:date: **Schedule**: ""before 3am on Monday"" (UTC).

:vertical_traffic_light: **Automerge**: Enabled.

:recycle: **Rebasing**: Whenever PR becomes conflicted, or you tick the rebase/retry checkbox.

:ghost: **Immortal**: This PR will be recreated if closed unmerged. Get [config help](https://togithub.com/renovatebot/renovate/discussions) if that's undesired.

---

 - [ ] <!-- rebase-check -->If you want to rebase/retry this PR, check this box

---

This PR has been generated by [WhiteSource Renovate](https://renovate.whitesourcesoftware.com). View repository job log [here](https://app.renovatebot.com/dashboard#github/mozilla/eslint-plugin-amo).",renovate[bot],29139614,2021-01-25T01:49:30Z,CONTRIBUTOR,True,501,855,1,⛑ ESLint plugin for AMO.,JavaScript,af8c40949a8ee700c04ccba52c6febcb5ed0813f,Lock file maintenance
