,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/36,36,Bump minimist from 1.2.0 to 1.2.3,"Bumps [minimist](https://github.com/substack/minimist) from 1.2.0 to 1.2.3.
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/substack/minimist/commit/6457d7440a47f329c12c4a5abfbce211c4235b93""><code>6457d74</code></a> 1.2.3</li>
<li><a href=""https://github.com/substack/minimist/commit/38a4d1caead72ef99e824bb420a2528eec03d9ab""><code>38a4d1c</code></a> even more aggressive checks for protocol pollution</li>
<li><a href=""https://github.com/substack/minimist/commit/13c01a5327736903704984b7f65616b8476850cc""><code>13c01a5</code></a> more failing proto pollution tests</li>
<li><a href=""https://github.com/substack/minimist/commit/f34df077a6b2bee1344188849a95e66777109e89""><code>f34df07</code></a> 1.2.2</li>
<li><a href=""https://github.com/substack/minimist/commit/67d3722413448d00a62963d2d30c34656a92d7e2""><code>67d3722</code></a> cleanup</li>
<li><a href=""https://github.com/substack/minimist/commit/63e7ed05aa4b1889ec2f3b196426db4500cbda94""><code>63e7ed0</code></a> don't assign onto <strong>proto</strong></li>
<li><a href=""https://github.com/substack/minimist/commit/47acf72c715a630bf9ea013867f47f1dd69dfc54""><code>47acf72</code></a> console.dir -&gt; console.log</li>
<li><a href=""https://github.com/substack/minimist/commit/0efed0340ec8433638758f7ca0c77cb20a0bfbab""><code>0efed03</code></a> failing test for protocol pollution</li>
<li><a href=""https://github.com/substack/minimist/commit/29783cdf94cc9a0663bb31f5eb9a4eff9c515bf6""><code>29783cd</code></a> 1.2.1</li>
<li><a href=""https://github.com/substack/minimist/commit/6be5dae35a32a987bcf4137fcd6c19c5200ee909""><code>6be5dae</code></a> add test</li>
<li>Additional commits viewable in <a href=""https://github.com/substack/minimist/compare/1.2.0...1.2.3"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=minimist&package-manager=npm_and_yarn&previous-version=1.2.0&new-version=1.2.3)](https://help.github.com/articles/configuring-automated-security-fixes)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/mozilla/esper-pioneer-shield-study/network/alerts).

</details>",dependabot[bot],49699333,2020-04-04T02:46:13Z,NONE,False,96,31,2,The ESPER experiment - Firefox Pioneer Study,JavaScript,22084155be7ade5c83c756c71fd416f9f5c37fa6,"Bump minimist from 1.2.0 to 1.2.3

Bumps [minimist](https://github.com/substack/minimist) from 1.2.0 to 1.2.3.
- [Release notes](https://github.com/substack/minimist/releases)
- [Commits](https://github.com/substack/minimist/compare/1.2.0...1.2.3)

Signed-off-by: dependabot[bot] <support@github.com>"
1,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/35,35,Bump minimist from 1.2.0 to 1.2.2,"Bumps [minimist](https://github.com/substack/minimist) from 1.2.0 to 1.2.2.
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/substack/minimist/commit/f34df077a6b2bee1344188849a95e66777109e89""><code>f34df07</code></a> 1.2.2</li>
<li><a href=""https://github.com/substack/minimist/commit/67d3722413448d00a62963d2d30c34656a92d7e2""><code>67d3722</code></a> cleanup</li>
<li><a href=""https://github.com/substack/minimist/commit/63e7ed05aa4b1889ec2f3b196426db4500cbda94""><code>63e7ed0</code></a> don't assign onto <strong>proto</strong></li>
<li><a href=""https://github.com/substack/minimist/commit/47acf72c715a630bf9ea013867f47f1dd69dfc54""><code>47acf72</code></a> console.dir -&gt; console.log</li>
<li><a href=""https://github.com/substack/minimist/commit/0efed0340ec8433638758f7ca0c77cb20a0bfbab""><code>0efed03</code></a> failing test for protocol pollution</li>
<li><a href=""https://github.com/substack/minimist/commit/29783cdf94cc9a0663bb31f5eb9a4eff9c515bf6""><code>29783cd</code></a> 1.2.1</li>
<li><a href=""https://github.com/substack/minimist/commit/6be5dae35a32a987bcf4137fcd6c19c5200ee909""><code>6be5dae</code></a> add test</li>
<li><a href=""https://github.com/substack/minimist/commit/ac3fc796e63b95128fdbdf67ea7fad71bd59aa76""><code>ac3fc79</code></a> fix bad boolean regexp</li>
<li><a href=""https://github.com/substack/minimist/commit/4cf45a26b9af5f4ddab63107f4007485e576cfd3""><code>4cf45a2</code></a> Merge pull request <a href=""https://github-redirect.dependabot.com/substack/minimist/issues/63"">#63</a> from lydell/dash-dash-docs-fix</li>
<li><a href=""https://github.com/substack/minimist/commit/5fa440ef0f7d067e12baa6694570e7ce7b453340""><code>5fa440e</code></a> move the <code>opts['--']</code> example back where it belongs</li>
<li>See full diff in <a href=""https://github.com/substack/minimist/compare/1.2.0...1.2.2"">compare view</a></li>
</ul>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=minimist&package-manager=npm_and_yarn&previous-version=1.2.0&new-version=1.2.2)](https://help.github.com/articles/configuring-automated-security-fixes)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/mozilla/esper-pioneer-shield-study/network/alerts).

</details>",dependabot[bot],49699333,2020-03-13T22:43:28Z,NONE,False,96,31,2,The ESPER experiment - Firefox Pioneer Study,JavaScript,52a3bf601553d9c8cec2d0afbca92a3d3b4e2d5f,"Bump minimist from 1.2.0 to 1.2.2

Bumps [minimist](https://github.com/substack/minimist) from 1.2.0 to 1.2.2.
- [Release notes](https://github.com/substack/minimist/releases)
- [Commits](https://github.com/substack/minimist/compare/1.2.0...1.2.2)

Signed-off-by: dependabot[bot] <support@github.com>"
2,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/34,34,Add Mozilla Code of Conduct,"Fixes #33


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T07:10:09Z,NONE,True,0,0,0,The ESPER experiment - Firefox Pioneer Study,JavaScript,393afa6c02aecfebb428071cb0f0de1ef6c9c975,Merge branch 'release/1.0.1'
3,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/34,34,Add Mozilla Code of Conduct,"Fixes #33


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T07:10:09Z,NONE,True,0,0,0,The ESPER experiment - Firefox Pioneer Study,JavaScript,ebebecfffaff9bf4bce23462db766171d50d49c0,Merge branch 'release/1.0.2'
4,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/34,34,Add Mozilla Code of Conduct,"Fixes #33


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T07:10:09Z,NONE,True,0,0,0,The ESPER experiment - Firefox Pioneer Study,JavaScript,bdbc4d5fa7dfc3849c69be45fb68d48c641280e4,Merge branch 'release/1.0.3'
5,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/34,34,Add Mozilla Code of Conduct,"Fixes #33


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T07:10:09Z,NONE,True,0,0,0,The ESPER experiment - Firefox Pioneer Study,JavaScript,552d2c7f6aef2a31c426e1c7e8082215936bca22,Merge branch 'release/1.0.4'
6,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/22,22,Fix path to addon directory in lint:addons-linter script,Fixes #13 ,pdehaan,557895,2018-04-10T19:50:52Z,CONTRIBUTOR,True,1,1,1,The ESPER experiment - Firefox Pioneer Study,JavaScript,5fa321e9c1076f6307060632e5063f13425543fa,Fix path to addon directory in lint:addons-linter script
7,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/21,21,Remove unused dependencies,FIxes #20 ,pdehaan,557895,2018-04-10T19:48:48Z,CONTRIBUTOR,True,1191,1244,2,The ESPER experiment - Firefox Pioneer Study,JavaScript,7241246adccaf94d4a1cdc2d0bb99cdb9e5fdc1b,Remove unused dependencies
8,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/18,18,Fix ESLint warnings and remove unnecessary code,Fixes #17 ,pdehaan,557895,2018-04-10T19:14:27Z,CONTRIBUTOR,True,18,23,6,The ESPER experiment - Firefox Pioneer Study,JavaScript,22ec344c7d9e5b4d65ed936d77e1d2ebb0d11ad5,Fix ESLint warnings and remove unnecessary code
9,https://api.github.com/repos/mozilla/esper-pioneer-shield-study/pulls/15,15,Ignore pioneer-opt-in/ directory in git and ESLint,"Seems to be a git clone of an [external repo](https://github.com/mozilla/pioneer-opt-in):

https://github.com/motin/esper-pioneer-shield-study/blob/e895319ea4f35edbe29de525082a587a0a61623c/bin/xpi.sh#L46-L53
",pdehaan,557895,2018-04-10T16:47:01Z,CONTRIBUTOR,True,11,9,3,The ESPER experiment - Firefox Pioneer Study,JavaScript,04cca5b3a64506d46ec7ce3d2b937ccaba3b783a,Ignore pioneer-opt-in/ directory in git and ESLint
