,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/fathom-fox/pulls/76,76,Sort vector files by filename so we can compare them for troubleshoot…,"…ing.

The parallelization otherwise makes them nondeterministic.",erikrose,295816,2020-03-13T18:53:04Z,MEMBER,True,19,0,1,In-Firefox tools for developing Fathom rulesets,JavaScript,487781c9f3e6bbce76dd70b34ec64216702542f7,"Sort vector files by filename so we can compare them for troubleshooting.

The parallelization otherwise makes them nondeterministic."
1,https://api.github.com/repos/mozilla/fathom-fox/pulls/75,75,Emit a bit of the candidate tags' markup when vectorizing.,This helps with chasing down failures.,erikrose,295816,2020-03-12T13:05:56Z,MEMBER,False,20,1,1,In-Firefox tools for developing Fathom rulesets,JavaScript,483dad23b17769328ecf8bc32a1739532383e20e,"Emit a bit of the candidate tags' markup when vectorizing.

This helps with chasing down failures."
2,https://api.github.com/repos/mozilla/fathom-fox/pulls/73,73,Increases the sleep between errors from 1s to 2s,I ran into an issue with the validation set created by https://github.com/mozilla-services/fathom-login-forms/pull/18 where I had to either increase the number of retries or increase the delay between errors. I chose to increase the delay between errors. I'm making a followup issue to investigate further at a later time.,danielhertenstein,5586735,2020-03-09T15:47:13Z,CONTRIBUTOR,True,2,2,1,In-Firefox tools for developing Fathom rulesets,JavaScript,15594dc59b6e93448137b0c97af50c1d69d36c54,Increases the sleep between errors from 1s to 2s
3,https://api.github.com/repos/mozilla/fathom-fox/pulls/71,71,Record how long it takes the ruleset to run on each page.,Did I make any mistakes?,erikrose,295816,2020-03-05T15:42:17Z,MEMBER,True,4,1,1,In-Firefox tools for developing Fathom rulesets,JavaScript,307e513dba96cb078c819e577fe9f2798cc8f708,Record how long it takes the ruleset to run on each page.
4,https://api.github.com/repos/mozilla/fathom-fox/pulls/70,70,Add an isTarget hook for the Vectorizer,"So we can accept both ""new"" and ""confirm"" fields as targets of a single Fathom type",erikrose,295816,2020-02-21T17:12:54Z,MEMBER,True,17,5,3,In-Firefox tools for developing Fathom rulesets,JavaScript,bbc742ad1ed5b1835cb4d62a048dd1bb16dd16d5,"Move ruleset.js comments above the things they document, for consistency with the functions in rulesetMaker."
5,https://api.github.com/repos/mozilla/fathom-fox/pulls/70,70,Add an isTarget hook for the Vectorizer,"So we can accept both ""new"" and ""confirm"" fields as targets of a single Fathom type",erikrose,295816,2020-02-21T17:12:54Z,MEMBER,True,17,5,3,In-Firefox tools for developing Fathom rulesets,JavaScript,9274f738a1bc7d33eb99cded54a5717624c060ea,"It returns fancy objects, not just bools anymore."
6,https://api.github.com/repos/mozilla/fathom-fox/pulls/70,70,Add an isTarget hook for the Vectorizer,"So we can accept both ""new"" and ""confirm"" fields as targets of a single Fathom type",erikrose,295816,2020-02-21T17:12:54Z,MEMBER,True,17,5,3,In-Firefox tools for developing Fathom rulesets,JavaScript,36ef6ca21c465978b3425deeffe2fbf2ac7cd1d9,Add a hook to customize what the Vectorizer considers a target.
7,https://api.github.com/repos/mozilla/fathom-fox/pulls/68,68,Merge fathom-trainees into FathomFox,"As per https://github.com/mozilla/fathom-trainees/issues/8

Still have to…

- [x] Update the docs
- [x] Blank out the included ruleset, maybe. (Decided against it because it's nice to have *something* working in there for the sake of our testing and others' orientation, but I did cut it way down.)

After merging…
- [x] Update the occurrences of ""link"" (symlink, etc.) in https://mozilla.github.io/fathom/training.html.
- [ ] Ultimately (maybe even soon), I'd like to merge the FathomFox repo into Fathom so we don't have so much push to maintain 2 parallel pieces of documentation. The FathomFox readme would largely be absorbed into the Fathom manual.
- [x] Hang a sign on fathom-trainees saying it's obsolete.
- [x] Remove trainees.js from Fathom itself.

Review notes:
* I recommend skimming all the commit messages before descending into a detailed review. (The first commit is big and messy and gets overwritten in a few spots later.)
* We had talked about renaming trainees.js to ruleset.js. I almost did it but then wavered. Is it a big enough gain to bother?",erikrose,295816,2019-12-17T18:11:45Z,MEMBER,True,1261,943,14,In-Firefox tools for developing Fathom rulesets,JavaScript,639d98a00b0d4981188804d331b4b399ca2cad22,"Take a rough first whack at moving fathom-trainees into FathomFox.

It ""should"" work but doesn't yet.

* Copy trainees.js over from fathom-trainees.
* Add it as a content script so content scripts can get at its `trainees` symbol directly. Replace several message passings with direct access.
* FathomFox now depends on Fathom directly so trainees can be compiled.
* Copy much of the fathom/trainees.js module into FathomFox's content script. We'll be able to delete this code from Fathom."
8,https://api.github.com/repos/mozilla/fathom-fox/pulls/68,68,Merge fathom-trainees into FathomFox,"As per https://github.com/mozilla/fathom-trainees/issues/8

Still have to…

- [x] Update the docs
- [x] Blank out the included ruleset, maybe. (Decided against it because it's nice to have *something* working in there for the sake of our testing and others' orientation, but I did cut it way down.)

After merging…
- [x] Update the occurrences of ""link"" (symlink, etc.) in https://mozilla.github.io/fathom/training.html.
- [ ] Ultimately (maybe even soon), I'd like to merge the FathomFox repo into Fathom so we don't have so much push to maintain 2 parallel pieces of documentation. The FathomFox readme would largely be absorbed into the Fathom manual.
- [x] Hang a sign on fathom-trainees saying it's obsolete.
- [x] Remove trainees.js from Fathom itself.

Review notes:
* I recommend skimming all the commit messages before descending into a detailed review. (The first commit is big and messy and gets overwritten in a few spots later.)
* We had talked about renaming trainees.js to ruleset.js. I almost did it but then wavered. Is it a big enough gain to bother?",erikrose,295816,2019-12-17T18:11:45Z,MEMBER,True,1261,943,14,In-Firefox tools for developing Fathom rulesets,JavaScript,144a5133fa2d25c1970c7b642a0653fea2adb4b4,Evaluator now works.
9,https://api.github.com/repos/mozilla/fathom-fox/pulls/68,68,Merge fathom-trainees into FathomFox,"As per https://github.com/mozilla/fathom-trainees/issues/8

Still have to…

- [x] Update the docs
- [x] Blank out the included ruleset, maybe. (Decided against it because it's nice to have *something* working in there for the sake of our testing and others' orientation, but I did cut it way down.)

After merging…
- [x] Update the occurrences of ""link"" (symlink, etc.) in https://mozilla.github.io/fathom/training.html.
- [ ] Ultimately (maybe even soon), I'd like to merge the FathomFox repo into Fathom so we don't have so much push to maintain 2 parallel pieces of documentation. The FathomFox readme would largely be absorbed into the Fathom manual.
- [x] Hang a sign on fathom-trainees saying it's obsolete.
- [x] Remove trainees.js from Fathom itself.

Review notes:
* I recommend skimming all the commit messages before descending into a detailed review. (The first commit is big and messy and gets overwritten in a few spots later.)
* We had talked about renaming trainees.js to ruleset.js. I almost did it but then wavered. Is it a big enough gain to bother?",erikrose,295816,2019-12-17T18:11:45Z,MEMBER,True,1261,943,14,In-Firefox tools for developing Fathom rulesets,JavaScript,bda8f3b479d69cd1997ce70f8538b87b87f723e2,Get BAD labeling working.
