,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/104,104,Bump flake8-debugger from 3.1.1 to 3.2.0,"Bumps [flake8-debugger](https://github.com/jbkahn/flake8-debugger) from 3.1.1 to 3.2.0.
<details>
<summary>Commits</summary>

- [`9f4b641`](https://github.com/JBKahn/flake8-debugger/commit/9f4b641051b8fcc64384bf60ef38b498d07dfbcd) fix builtins usage; addresses [#20](https://github-redirect.dependabot.com/jbkahn/flake8-debugger/issues/20) ([#21](https://github-redirect.dependabot.com/jbkahn/flake8-debugger/issues/21))
- See full diff in [compare view](https://github.com/jbkahn/flake8-debugger/compare/3.1.1...3.2.0)
</details>
<br />

[![Dependabot compatibility score](https://api.dependabot.com/badges/compatibility_score?dependency-name=flake8-debugger&package-manager=pip&previous-version=3.1.1&new-version=3.2.0)](https://dependabot.com/compatibility-score.html?dependency-name=flake8-debugger&package-manager=pip&previous-version=3.1.1&new-version=3.2.0)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language
- `@dependabot badge me` will comment on this PR with code to add a ""Dependabot enabled"" badge to your readme

Additionally, you can set the following in your Dependabot [dashboard](https://app.dependabot.com):
- Update frequency (including time of day and day of week)
- Pull request limits (per update run and/or open at any time)
- Out-of-range updates (receive only lockfile updates, if desired)
- Security updates (receive only security updates, if desired)



</details>",dependabot-preview[bot],27856297,2019-10-16T04:44:54Z,CONTRIBUTOR,True,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,ffa6d0df320776eba13b84e3d258b2af91dafc56,"Bump flake8-debugger from 3.1.1 to 3.2.0

Bumps [flake8-debugger](https://github.com/jbkahn/flake8-debugger) from 3.1.1 to 3.2.0.
- [Release notes](https://github.com/jbkahn/flake8-debugger/releases)
- [Commits](https://github.com/jbkahn/flake8-debugger/compare/3.1.1...3.2.0)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>"
1,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/103,103,Bump flake8-debugger from 3.1.0 to 3.1.1,"Bumps [flake8-debugger](https://github.com/jbkahn/flake8-debugger) from 3.1.0 to 3.1.1.
<details>
<summary>Commits</summary>

- [`6910b4a`](https://github.com/JBKahn/flake8-debugger/commit/6910b4aa039f32c5da639348aa3a0efe8f3b6c67) add lockfile
- [`d248eb3`](https://github.com/JBKahn/flake8-debugger/commit/d248eb3447a3ea61431efbdc47bdf4eaeb0c6fed) Handle builtin `breakpoint` debugger tracing call ([#16](https://github-redirect.dependabot.com/jbkahn/flake8-debugger/issues/16))
- [`e5e2972`](https://github.com/JBKahn/flake8-debugger/commit/e5e29721ea8662ab148884c14507eb7b7007a83e) fix stdin issue and move to poetry ([#19](https://github-redirect.dependabot.com/jbkahn/flake8-debugger/issues/19))
- See full diff in [compare view](https://github.com/jbkahn/flake8-debugger/compare/3.1.0...3.1.1)
</details>
<br />

[![Dependabot compatibility score](https://api.dependabot.com/badges/compatibility_score?dependency-name=flake8-debugger&package-manager=pip&previous-version=3.1.0&new-version=3.1.1)](https://dependabot.com/compatibility-score.html?dependency-name=flake8-debugger&package-manager=pip&previous-version=3.1.0&new-version=3.1.1)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language
- `@dependabot badge me` will comment on this PR with code to add a ""Dependabot enabled"" badge to your readme

Additionally, you can set the following in your Dependabot [dashboard](https://app.dependabot.com):
- Update frequency (including time of day and day of week)
- Pull request limits (per update run and/or open at any time)
- Out-of-range updates (receive only lockfile updates, if desired)
- Security updates (receive only security updates, if desired)



</details>",dependabot-preview[bot],27856297,2019-10-15T01:46:29Z,CONTRIBUTOR,True,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,cc09776fe4379adfb302819d6fded2856d828068,"Bump flake8-debugger from 3.1.0 to 3.1.1

Bumps [flake8-debugger](https://github.com/jbkahn/flake8-debugger) from 3.1.0 to 3.1.1.
- [Release notes](https://github.com/jbkahn/flake8-debugger/releases)
- [Commits](https://github.com/jbkahn/flake8-debugger/compare/3.1.0...3.1.1)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>"
2,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/102,102,Bump setuptools from 41.2.0 to 41.4.0,"Bumps [setuptools](https://github.com/pypa/setuptools) from 41.2.0 to 41.4.0.
<details>
<summary>Changelog</summary>

*Sourced from [setuptools's changelog](https://github.com/pypa/setuptools/blob/master/CHANGES.rst).*

> v41.4.0
> =======
> 
> -   [#1847](https://github-redirect.dependabot.com/pypa/setuptools/issues/1847): In declarative config, now traps errors when invalid `python_requires` values are supplied.
> 
> v41.3.0
> =======
> 
> -   [#1690](https://github-redirect.dependabot.com/pypa/setuptools/issues/1690): When storing extras, rely on OrderedSet to retain order of extras as indicated by the packager, which will also be deterministic on Python 2.7 (with PYTHONHASHSEED unset) and Python 3.6+.
> -   [#1858](https://github-redirect.dependabot.com/pypa/setuptools/issues/1858): Fixed failing integration test triggered by 'long\_description\_content\_type' in packaging.
</details>
<details>
<summary>Commits</summary>

- [`5eee6b4`](https://github.com/pypa/setuptools/commit/5eee6b4b523a6d2ae16ef913c01302f951b4f614) Bump version: 41.3.0 → 41.4.0
- [`01bf4fb`](https://github.com/pypa/setuptools/commit/01bf4fb2b13c3f7f6d9e8d253d2923b5ea09caa2) Merge pull request [#1847](https://github-redirect.dependabot.com/pypa/setuptools/issues/1847) from pypa/bugfix/1787-python-requires-invalid
- [`2e3c34f`](https://github.com/pypa/setuptools/commit/2e3c34f669c5272d036ef7edc58871c96663d587) Clarify the scope of the change.
- [`da3ccf5`](https://github.com/pypa/setuptools/commit/da3ccf5f648a5836ce5e9b0747a263860ae1dfaa) Bump version: 41.2.0 → 41.3.0
- [`53d662a`](https://github.com/pypa/setuptools/commit/53d662a9de0b8d449d167bf1c5cf291a2fecb094) Allow 'long_description_content_type' warnings for new versions of packaging....
- [`7a909b2`](https://github.com/pypa/setuptools/commit/7a909b2af9a06e669d41947bbd093710fcd1e663) Merge pull request [#1690](https://github-redirect.dependabot.com/pypa/setuptools/issues/1690) from pypa/feature/deterministic-provides-extras
- [`6f962a0`](https://github.com/pypa/setuptools/commit/6f962a07f586162d05e087a90ea8f44461772070) Refresh vendored packages (ordereddict 3.1.1)
- [`45b83cd`](https://github.com/pypa/setuptools/commit/45b83cd189db31a0315a4297053feab77d8618b4) Update changelog. Ref [#1690](https://github-redirect.dependabot.com/pypa/setuptools/issues/1690).
- [`b3ef77b`](https://github.com/pypa/setuptools/commit/b3ef77b2085dc8d66d178a2f7d2047a9ca207309) Merge branch 'master' into feature/deterministic-provides-extras
- [`895d18c`](https://github.com/pypa/setuptools/commit/895d18c17d15f443c6d8953a176aa6c4df354c7d) Update changelog. Ref [#1787](https://github-redirect.dependabot.com/pypa/setuptools/issues/1787).
- Additional commits viewable in [compare view](https://github.com/pypa/setuptools/compare/v41.2.0...v41.4.0)
</details>
<br />

[![Dependabot compatibility score](https://api.dependabot.com/badges/compatibility_score?dependency-name=setuptools&package-manager=pip&previous-version=41.2.0&new-version=41.4.0)](https://dependabot.com/compatibility-score.html?dependency-name=setuptools&package-manager=pip&previous-version=41.2.0&new-version=41.4.0)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language
- `@dependabot badge me` will comment on this PR with code to add a ""Dependabot enabled"" badge to your readme

Additionally, you can set the following in your Dependabot [dashboard](https://app.dependabot.com):
- Update frequency (including time of day and day of week)
- Pull request limits (per update run and/or open at any time)
- Out-of-range updates (receive only lockfile updates, if desired)
- Security updates (receive only security updates, if desired)



</details>",dependabot-preview[bot],27856297,2019-10-07T20:30:03Z,CONTRIBUTOR,True,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,16ca783ccce1fe75e869eecdf5f812e87327ab02,"Bump setuptools from 41.2.0 to 41.4.0

Bumps [setuptools](https://github.com/pypa/setuptools) from 41.2.0 to 41.4.0.
- [Release notes](https://github.com/pypa/setuptools/releases)
- [Changelog](https://github.com/pypa/setuptools/blob/master/CHANGES.rst)
- [Commits](https://github.com/pypa/setuptools/compare/v41.2.0...v41.4.0)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>"
3,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/101,101,Bump flake8-quotes from 1.0.0 to 2.1.0,"Bumps [flake8-quotes](https://github.com/zheller/flake8-quotes) from 1.0.0 to 2.1.0.
<details>
<summary>Commits</summary>

- [`3a63d91`](https://github.com/zheller/flake8-quotes/commit/3a63d911a74b26530bcef980246b2c40c57e88a7) Release 2.1.0
- [`331d789`](https://github.com/zheller/flake8-quotes/commit/331d7896ea26d0d258d012c25e0d0b1b6e93210d) List the defined codes in the README ([#85](https://github-redirect.dependabot.com/zheller/flake8-quotes/issues/85))
- [`4afe69d`](https://github.com/zheller/flake8-quotes/commit/4afe69da02b89232cb71c57aafd384214a45a145) Release 2.0.1
- [`6374ed1`](https://github.com/zheller/flake8-quotes/commit/6374ed1cdacf2a337ad3b4987c70d29bc20acf65) Removed checking of escaped quotes for raw string literals ([#81](https://github-redirect.dependabot.com/zheller/flake8-quotes/issues/81))
- [`54bcccc`](https://github.com/zheller/flake8-quotes/commit/54bcccc3762239417f59b08b8dfcef0a94ef5216) Release 2.0.0
- [`aa2fd01`](https://github.com/zheller/flake8-quotes/commit/aa2fd0182e21046a0034526d8931978fc708ef04) Avoid Escaped Quotes ([#78](https://github-redirect.dependabot.com/zheller/flake8-quotes/issues/78))
- [`4dbc2ee`](https://github.com/zheller/flake8-quotes/commit/4dbc2eeb9e45d6193727e0dc6079b761bd673405) Merge pull request [#75](https://github-redirect.dependabot.com/zheller/flake8-quotes/issues/75) from kornicameister/improve_warning_documentation
- [`536207a`](https://github.com/zheller/flake8-quotes/commit/536207aa0e77bb715a89ab6b3011d9e132e98554) Add note about provided warning
- See full diff in [compare view](https://github.com/zheller/flake8-quotes/compare/1.0.0...2.1.0)
</details>
<br />

[![Dependabot compatibility score](https://api.dependabot.com/badges/compatibility_score?dependency-name=flake8-quotes&package-manager=pip&previous-version=1.0.0&new-version=2.1.0)](https://dependabot.com/compatibility-score.html?dependency-name=flake8-quotes&package-manager=pip&previous-version=1.0.0&new-version=2.1.0)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

**Note:** This repo was added to Dependabot recently, so you'll receive a maximum of 5 PRs for your first few update runs. Once an update run creates fewer than 5 PRs we'll remove that limit.

You can always request more updates by clicking `Bump now` in your [Dependabot dashboard](https://app.dependabot.com).

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language
- `@dependabot badge me` will comment on this PR with code to add a ""Dependabot enabled"" badge to your readme

Additionally, you can set the following in your Dependabot [dashboard](https://app.dependabot.com):
- Update frequency (including time of day and day of week)
- Pull request limits (per update run and/or open at any time)
- Out-of-range updates (receive only lockfile updates, if desired)
- Security updates (receive only security updates, if desired)

Finally, you can contact us by mentioning @dependabot.

</details>",dependabot-preview[bot],27856297,2019-10-01T10:40:22Z,CONTRIBUTOR,True,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,e92cc0eea328c9ad54d42cf80ec588dcd68deb87,"Bump flake8-quotes from 1.0.0 to 2.1.0

Bumps [flake8-quotes](https://github.com/zheller/flake8-quotes) from 1.0.0 to 2.1.0.
- [Release notes](https://github.com/zheller/flake8-quotes/releases)
- [Commits](https://github.com/zheller/flake8-quotes/compare/1.0.0...2.1.0)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>"
4,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/100,100,Update setuptools to 41.2.0,"
This PR updates [setuptools](https://pypi.org/project/setuptools) from **41.0.1** to **41.2.0**.



<details>
  <summary>Changelog</summary>
  
  
   ### 41.2.0
   ```
   -------

* 479: Remove some usage of the deprecated ``imp`` module.
* 1565: Changed html_sidebars from string to list of string as per
  https://www.sphinx-doc.org/en/master/changes.htmlid58
   ```
   
  
  
   ### 41.1.0
   ```
   -------

* 1697: Moved most of the constants from setup.py to setup.cfg
* 1749: Fixed issue with the PEP 517 backend where building a source distribution would fail if any tarball existed in the destination directory.
* 1750: Fixed an issue with PEP 517 backend where wheel builds would fail if the destination directory did not already exist.
* 1756: Forse metadata-version &gt;= 1.2. when project urls are present.
* 1769: Improve ``package_data`` check: ensure the dictionary values are lists/tuples of strings.
* 1788: Changed compatibility fallback logic for ``html.unescape`` to avoid accessing ``HTMLParser.unescape`` when not necessary. ``HTMLParser.unescape`` is deprecated and will be removed in Python 3.9.
* 1790: Added the file path to the error message when a ``UnicodeDecodeError`` occurs while reading a metadata file.
* 1776: Use license classifiers rather than the license field.
   ```
   
  
</details>


 

<details>
  <summary>Links</summary>
  
  - PyPI: https://pypi.org/project/setuptools
  - Changelog: https://pyup.io/changelogs/setuptools/
  - Repo: https://github.com/pypa/setuptools
</details>

",pyup-bot,16239342,2019-08-21T10:17:22Z,COLLABORATOR,True,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,dbdc5c77379cd695e08154014e5612feb5f659d1,Update setuptools from 41.0.1 to 41.2.0
5,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/100,100,Update setuptools to 41.2.0,"
This PR updates [setuptools](https://pypi.org/project/setuptools) from **41.0.1** to **41.2.0**.



<details>
  <summary>Changelog</summary>
  
  
   ### 41.2.0
   ```
   -------

* 479: Remove some usage of the deprecated ``imp`` module.
* 1565: Changed html_sidebars from string to list of string as per
  https://www.sphinx-doc.org/en/master/changes.htmlid58
   ```
   
  
  
   ### 41.1.0
   ```
   -------

* 1697: Moved most of the constants from setup.py to setup.cfg
* 1749: Fixed issue with the PEP 517 backend where building a source distribution would fail if any tarball existed in the destination directory.
* 1750: Fixed an issue with PEP 517 backend where wheel builds would fail if the destination directory did not already exist.
* 1756: Forse metadata-version &gt;= 1.2. when project urls are present.
* 1769: Improve ``package_data`` check: ensure the dictionary values are lists/tuples of strings.
* 1788: Changed compatibility fallback logic for ``html.unescape`` to avoid accessing ``HTMLParser.unescape`` when not necessary. ``HTMLParser.unescape`` is deprecated and will be removed in Python 3.9.
* 1790: Added the file path to the error message when a ``UnicodeDecodeError`` occurs while reading a metadata file.
* 1776: Use license classifiers rather than the license field.
   ```
   
  
</details>


 

<details>
  <summary>Links</summary>
  
  - PyPI: https://pypi.org/project/setuptools
  - Changelog: https://pyup.io/changelogs/setuptools/
  - Repo: https://github.com/pypa/setuptools
</details>

",pyup-bot,16239342,2019-08-21T10:17:22Z,COLLABORATOR,True,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,66cab55a3743661acce680ae4f57bff1e353b99d,Merge branch 'master' into pyup-update-setuptools-41.0.1-to-41.2.0
6,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/99,99,Update wheel to 0.33.6,"
This PR updates [wheel](https://pypi.org/project/wheel) from **0.33.4** to **0.33.6**.



<details>
  <summary>Changelog</summary>
  
  
   ### 0.33.6
   ```
   - Fixed regression from 0.33.5 that broke building binary wheels against the
  limited ABI
- Fixed egg2wheel compatibility with the future release of Python 3.10
  (PR by Anthony Sottile)
   ```
   
  
  
   ### 0.33.5
   ```
   - Don&#39;t add the ``m`` ABI flag to wheel names on Python 3.8 (PR by rdb)
- Updated ``MANIFEST.in`` to include many previously omitted files in the sdist
   ```
   
  
</details>


 

<details>
  <summary>Links</summary>
  
  - PyPI: https://pypi.org/project/wheel
  - Changelog: https://pyup.io/changelogs/wheel/
  - Repo: https://github.com/pypa/wheel
</details>

",pyup-bot,16239342,2019-08-18T17:27:11Z,COLLABORATOR,True,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,c9da645c66fbdb39445c1be78c7b85a8220a384e,Update wheel from 0.33.4 to 0.33.6
7,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/98,98,Update wheel to 0.33.5,"
This PR updates [wheel](https://pypi.org/project/wheel) from **0.33.4** to **0.33.5**.



<details>
  <summary>Changelog</summary>
  
  
   ### 0.33.5
   ```
   - Don&#39;t add the ``m`` ABI flag to wheel names on Python 3.8 (PR by rdb)
- Updated ``MANIFEST.in`` to include many previously omitted files in the sdist
   ```
   
  
</details>


 

<details>
  <summary>Links</summary>
  
  - PyPI: https://pypi.org/project/wheel
  - Changelog: https://pyup.io/changelogs/wheel/
  - Repo: https://github.com/pypa/wheel
</details>

",pyup-bot,16239342,2019-08-18T00:42:09Z,COLLABORATOR,False,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,8fd7eb6a4991bb47f750c295c2efb1b1e2468476,Update wheel from 0.33.4 to 0.33.5
8,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/97,97,Update setuptools to 41.1.0,"
This PR updates [setuptools](https://pypi.org/project/setuptools) from **41.0.1** to **41.1.0**.



<details>
  <summary>Changelog</summary>
  
  
   ### 41.1.0
   ```
   -------

* 1697: Moved most of the constants from setup.py to setup.cfg
* 1749: Fixed issue with the PEP 517 backend where building a source distribution would fail if any tarball existed in the destination directory.
* 1750: Fixed an issue with PEP 517 backend where wheel builds would fail if the destination directory did not already exist.
* 1756: Forse metadata-version &gt;= 1.2. when project urls are present.
* 1769: Improve ``package_data`` check: ensure the dictionary values are lists/tuples of strings.
* 1788: Changed compatibility fallback logic for ``html.unescape`` to avoid accessing ``HTMLParser.unescape`` when not necessary. ``HTMLParser.unescape`` is deprecated and will be removed in Python 3.9.
* 1790: Added the file path to the error message when a ``UnicodeDecodeError`` occurs while reading a metadata file.
* 1776: Use license classifiers rather than the license field.
   ```
   
  
</details>


 

<details>
  <summary>Links</summary>
  
  - PyPI: https://pypi.org/project/setuptools
  - Changelog: https://pyup.io/changelogs/setuptools/
  - Repo: https://github.com/pypa/setuptools
</details>

",pyup-bot,16239342,2019-08-16T02:32:12Z,COLLABORATOR,False,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,2c2a27bff33cfd73d75c7ab36b32c19565c49a5a,Update setuptools from 41.0.1 to 41.1.0
9,https://api.github.com/repos/mozilla/firefox-code-coverage/pulls/96,96,Update setuptools to 41.1.0.post1,"
This PR updates [setuptools](https://pypi.org/project/setuptools) from **41.0.1** to **41.1.0.post1**.



<details>
  <summary>Changelog</summary>
  
  
   ### 41.1.0
   ```
   -------

* 1697: Moved most of the constants from setup.py to setup.cfg
* 1749: Fixed issue with the PEP 517 backend where building a source distribution would fail if any tarball existed in the destination directory.
* 1750: Fixed an issue with PEP 517 backend where wheel builds would fail if the destination directory did not already exist.
* 1756: Forse metadata-version &gt;= 1.2. when project urls are present.
* 1769: Improve ``package_data`` check: ensure the dictionary values are lists/tuples of strings.
* 1788: Changed compatibility fallback logic for ``html.unescape`` to avoid accessing ``HTMLParser.unescape`` when not necessary. ``HTMLParser.unescape`` is deprecated and will be removed in Python 3.9.
* 1790: Added the file path to the error message when a ``UnicodeDecodeError`` occurs while reading a metadata file.
* 1776: Use license classifiers rather than the license field.
   ```
   
  
</details>


 

<details>
  <summary>Links</summary>
  
  - PyPI: https://pypi.org/project/setuptools
  - Changelog: https://pyup.io/changelogs/setuptools/
  - Repo: https://github.com/pypa/setuptools
</details>

",pyup-bot,16239342,2019-08-15T02:01:10Z,COLLABORATOR,False,1,1,1,Transferred to https://github.com/mozilla/code-coverage,Python,095e9289fac442b48a23f6c4605949c3bad6a7ea,Update setuptools from 41.0.1 to 41.1.0.post1
