,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/firehug/pulls/110,110,Add Mozilla Code of Conduct,"Fixes #109

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-28T04:18:47Z,NONE,False,15,0,1,Persona-driven cross-platform hugs for the community,JavaScript,407fc743344369128b13197b75a73945a2b59959,"Add Mozilla Code of Conduct file

Fixes #109.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/firehug/pulls/101,101,Correct spelling error,,hoosteeno,94519,2013-10-04T14:01:32Z,CONTRIBUTOR,True,1,1,1,Persona-driven cross-platform hugs for the community,JavaScript,742ce3cf52196a1cb5c8d3b20aa608edaea2aab2,Correct spelling error
2,https://api.github.com/repos/mozilla/firehug/pulls/96,96,Add help page,"We are sure to have people who can't login or otherwise have trouble. We should give them a way to connect with a person who might be able to help.
",hoosteeno,94519,2013-10-03T17:15:45Z,CONTRIBUTOR,True,45,0,3,Persona-driven cross-platform hugs for the community,JavaScript,438a57199e3ef779065099fd991f71e26a2b9d6c,Add help page
3,https://api.github.com/repos/mozilla/firehug/pulls/95,95,added indexeddb support,,operatorjen,83059,2013-10-03T17:08:36Z,MEMBER,True,214,7,4,Persona-driven cross-platform hugs for the community,JavaScript,4cff2a3da4ce6808f2ea8439cd7952ee2935d571,added indexeddb support
4,https://api.github.com/repos/mozilla/firehug/pulls/89,89,adding newrelic stuff for IT,,tinnightcap,2487846,2013-10-02T19:05:13Z,CONTRIBUTOR,True,5,1,2,Persona-driven cross-platform hugs for the community,JavaScript,764fd5120613aac6b4732f9d20010353e3f269af,adding newrelic stuff for IT
5,https://api.github.com/repos/mozilla/firehug/pulls/89,89,adding newrelic stuff for IT,,tinnightcap,2487846,2013-10-02T19:05:13Z,CONTRIBUTOR,True,5,1,2,Persona-driven cross-platform hugs for the community,JavaScript,689bded7b60956ac7516a72c5a7d8462e33d709c,fix typo
6,https://api.github.com/repos/mozilla/firehug/pulls/80,80,"Dialog page ready, testable with random values","Day-to-group algorithm has to be tested thoroughly (return a mocked up `day` and dialog group list from server?) and a second pair of eyes should verify that group theme/colors are unique for 40 dialog groups.

@ednapiranha r?

Pardon the typography cleanup.
",digitarald,8599,2013-09-30T23:59:47Z,CONTRIBUTOR,True,144,30,4,Persona-driven cross-platform hugs for the community,JavaScript,141a3a396400029b37b238de71a1f588b05b8831,"Dialog page ready, testable with random values. Day-to-group algorithm has to be tested thoroughly."
7,https://api.github.com/repos/mozilla/firehug/pulls/77,77,added csp support,,operatorjen,83059,2013-09-30T21:33:22Z,MEMBER,True,10,8,3,Persona-driven cross-platform hugs for the community,JavaScript,ffadd7d5447caf93fb4a6bbbee7080a90980cba1,added csp support
8,https://api.github.com/repos/mozilla/firehug/pulls/55,55,fixed scope of location bug,,operatorjen,83059,2013-09-26T19:31:18Z,MEMBER,True,30,27,1,Persona-driven cross-platform hugs for the community,JavaScript,e123b75b6c0916af076a3b042565d3ce21b7ae33,fixed scope of location bug
9,https://api.github.com/repos/mozilla/firehug/pulls/44,44,return day based on timezone,,operatorjen,83059,2013-09-26T18:01:31Z,MEMBER,True,25,4,2,Persona-driven cross-platform hugs for the community,JavaScript,5666af3dd85ae169c1306a683f879f328411c855,return day based on timezone
10,https://api.github.com/repos/mozilla/firehug/pulls/41,41,added location switcher,,operatorjen,83059,2013-09-26T16:18:38Z,MEMBER,True,78,5,3,Persona-driven cross-platform hugs for the community,JavaScript,9db865b6662364abfad86e8866fc4182ec972baf,added location switcher
11,https://api.github.com/repos/mozilla/firehug/pulls/36,36,questions page,,operatorjen,83059,2013-09-25T23:08:37Z,MEMBER,True,238,41,13,Persona-driven cross-platform hugs for the community,JavaScript,a44aa54352f5ee5272470bdfc6801f6917dd254b,questions page
12,https://api.github.com/repos/mozilla/firehug/pulls/35,35,finished schedule layout,,operatorjen,83059,2013-09-25T20:31:32Z,MEMBER,True,176,16,7,Persona-driven cross-platform hugs for the community,JavaScript,5632e37aa598bff8d91a08526f37c6e24e61c790,finished schedule layout
13,https://api.github.com/repos/mozilla/firehug/pulls/34,34,"Adding back bootstrap 3.0, as 2.3 broke home menu and several other styles, while fixing some styles.","Sorry for touching up so many layout things. I didn't see a reason why we switched out bootstrap after seeing how many small things it breaks. Seems like everything is working as expected with 3.0 with small changes that also simplify code. Can you confirm, @ednapiranha?
- bootstrap.css is a custom build (fonts, colors, etc): http://getbootstrap.com/customize/?id=6582440
- Styled typeahead following the menu drop down
- Fixed @media queries to show background and splash screen
- Grid might need some adjustment since I removed the max-width on .container. We could also achieve that with a bootstrap custom build.
",digitarald,8599,2013-09-25T05:06:06Z,CONTRIBUTOR,True,1361,887,7,Persona-driven cross-platform hugs for the community,JavaScript,29b4e73eeb4fed4f34f16bc89abf73bcb7efdd57,"Adding back bootstrap 3.0, as 2.3 broke home menu and several other styles, while fixing some styles.

- bootstrap.css is a custom build (fonts, colors, etc): http://getbootstrap.com/customize/?id=6582440
- Styled typeahead following the menu drop down
- Fixed @media queries to show background and splash screen
- Grid might need some adjustment since I removed the max-width on .container. We could also achieve that with a bootstrap custom build."
14,https://api.github.com/repos/mozilla/firehug/pulls/33,33,"added font awesome, montserrat and schedule changes",,operatorjen,83059,2013-09-24T23:09:20Z,MEMBER,True,2860,1237,19,Persona-driven cross-platform hugs for the community,JavaScript,b9b89787ce01ddb56998a15a213bb5a343070dac,"added font awesome, montserrat and schedule changes"
15,https://api.github.com/repos/mozilla/firehug/pulls/27,27,autocomplete css fixups; added region/country to display,,operatorjen,83059,2013-09-23T22:33:40Z,MEMBER,True,82,11,5,Persona-driven cross-platform hugs for the community,JavaScript,6bbeac6d4b3800ae1c474e53f837f4b17264ca3b,autocomplete css fixups; added region/country to display
16,https://api.github.com/repos/mozilla/firehug/pulls/26,26,some more autocomplete fixes,,operatorjen,83059,2013-09-23T21:33:21Z,MEMBER,True,16,3,1,Persona-driven cross-platform hugs for the community,JavaScript,f7da8ad3f5247ed3c63f924fc5e11e36007a6150,some more autocomplete fixes
17,https://api.github.com/repos/mozilla/firehug/pulls/25,25,added autocomplete,,operatorjen,83059,2013-09-23T18:45:09Z,MEMBER,True,93,17,10,Persona-driven cross-platform hugs for the community,JavaScript,6660cab8f74879740c97074085748c29defeab5e,added autocomplete
18,https://api.github.com/repos/mozilla/firehug/pulls/24,24,"adding script to install nodejs 0.10, tweaks to stackato.yml to install ...","...newer node as system node and use node 0.6 runtime, which tricks it into using node 0.10
",solarce,9660,2013-09-20T22:42:42Z,CONTRIBUTOR,True,7,1,2,Persona-driven cross-platform hugs for the community,JavaScript,1905060cefe2e150ed029b5edd30dbbb637964ca,"adding script to install nodejs 0.10, tweaks to stackato.yml to install newer node as system node and use node 0.6 runtime, which tricks it into using node 0.10"
19,https://api.github.com/repos/mozilla/firehug/pulls/24,24,"adding script to install nodejs 0.10, tweaks to stackato.yml to install ...","...newer node as system node and use node 0.6 runtime, which tricks it into using node 0.10
",solarce,9660,2013-09-20T22:42:42Z,CONTRIBUTOR,True,7,1,2,Persona-driven cross-platform hugs for the community,JavaScript,e13e8fe6df422649d6c69aa8451e04f7893a2e6c,"adding script to install nodejs 0.10, tweaks to stackato.yml to install newer node as system node and use node 0.6 runtime, which tricks it into using node 0.10"
20,https://api.github.com/repos/mozilla/firehug/pulls/22,22,Toggle schedule days,,operatorjen,83059,2013-09-19T21:10:43Z,MEMBER,True,116,26,6,Persona-driven cross-platform hugs for the community,JavaScript,c6205bdc8fa4b5a41e60379a945c2c4be134b118,display schedule by day
21,https://api.github.com/repos/mozilla/firehug/pulls/22,22,Toggle schedule days,,operatorjen,83059,2013-09-19T21:10:43Z,MEMBER,True,116,26,6,Persona-driven cross-platform hugs for the community,JavaScript,b300c53d94b9d85838d0ab404f05036a753a4ccb,toggle schedule days
22,https://api.github.com/repos/mozilla/firehug/pulls/20,20,"Ready to rock staccato, with config and cron jobs.","- local.json config for stackato (ask @digitarald for it if you want to push your own)
- redis config in all files (might get consolidated)
- cron jobs scheduled when app starts
- async module for cron jobs, to simplify code and to exit correctly even on error

@ednapiranha r?
",digitarald,8599,2013-09-18T18:25:13Z,CONTRIBUTOR,True,209,136,7,Persona-driven cross-platform hugs for the community,JavaScript,b8b1afcfac7c75eb65c726dab72a109398e00361,"Ready to rock staccato, with config and cron jobs.

- local.json config for stackato (ask @digitarald for it if you want to push your own)
- redis config in all files (might get consolidated)
- cron jobs scheduled when app starts
- async module for cron jobs, to simplify code and to exit correctly even on error"
23,https://api.github.com/repos/mozilla/firehug/pulls/14,14,Sandstonify,"Base CSS is Bootstrap 3 with grid only. Fonts, images, type and config from sandstone theme.

@ednapiranha r?
",digitarald,8599,2013-09-16T20:30:11Z,CONTRIBUTOR,True,14215,7560,51,Persona-driven cross-platform hugs for the community,JavaScript,c9305abe07eaa2e32cd26d3ca8d0f30e31532011,Initial stab at sandstone theme with simple menu that has to be js-ified and splash screen.
24,https://api.github.com/repos/mozilla/firehug/pulls/14,14,Sandstonify,"Base CSS is Bootstrap 3 with grid only. Fonts, images, type and config from sandstone theme.

@ednapiranha r?
",digitarald,8599,2013-09-16T20:30:11Z,CONTRIBUTOR,True,14215,7560,51,Persona-driven cross-platform hugs for the community,JavaScript,40da8a5afc508c09bb1e0bfcff4eeee5055e78e7,Merge branch 'master' into bs-sandstonify
25,https://api.github.com/repos/mozilla/firehug/pulls/14,14,Sandstonify,"Base CSS is Bootstrap 3 with grid only. Fonts, images, type and config from sandstone theme.

@ednapiranha r?
",digitarald,8599,2013-09-16T20:30:11Z,CONTRIBUTOR,True,14215,7560,51,Persona-driven cross-platform hugs for the community,JavaScript,ed7148e30a3f2b4ccb051cd71f21ebbecdfd8a21,Removing dead files
26,https://api.github.com/repos/mozilla/firehug/pulls/12,12,add spreadsheet script,"note the following:
- can't use hmset/hgetall since this is not a simple object so we'll have to stringify it and parse it back to JSON after
",operatorjen,83059,2013-09-14T04:37:16Z,MEMBER,True,136,2,3,Persona-driven cross-platform hugs for the community,JavaScript,fd6808b9410afd0fd826b449e4110af8e74cdc16,add spreadsheet script
27,https://api.github.com/repos/mozilla/firehug/pulls/11,11,"All views in place, ready to roll content and design","- Angular app skeleton with stylus/bootstrap layout.
- Working Persona login, needs mozillians validation and return location/group
- Bootstrap design, needs to be either LESSified to use Sandstone or Sandstone gets STYLified [1](https://gist.github.com/cvan/5061790)

@ednapiranha r?
",digitarald,8599,2013-09-13T23:48:47Z,CONTRIBUTOR,True,8274,311,16,Persona-driven cross-platform hugs for the community,JavaScript,784db686994c67f5bda6c1599c64b2096571b06e,"Angular app skeleton with stylus/bootstrap layout, login needs to be finished"
28,https://api.github.com/repos/mozilla/firehug/pulls/11,11,"All views in place, ready to roll content and design","- Angular app skeleton with stylus/bootstrap layout.
- Working Persona login, needs mozillians validation and return location/group
- Bootstrap design, needs to be either LESSified to use Sandstone or Sandstone gets STYLified [1](https://gist.github.com/cvan/5061790)

@ednapiranha r?
",digitarald,8599,2013-09-13T23:48:47Z,CONTRIBUTOR,True,8274,311,16,Persona-driven cross-platform hugs for the community,JavaScript,144043fe1a047c8af3924a59dd35089fc1cc060b,"All views in place, ready to roll content and design.
Merge branch 'master' into angular-bootstrap"
29,https://api.github.com/repos/mozilla/firehug/pulls/10,10,validate persona user by email upon signin,"I also changed all the tabs to spaces on some of those lines :)

Behaviour in this login flow is the following:
1. If user exists in mozillians vouched list, they get to the logged in page
2. If user doesn't exist, then they get back the persona signin
",operatorjen,83059,2013-09-11T22:42:30Z,MEMBER,True,274,251,3,Persona-driven cross-platform hugs for the community,JavaScript,35281a259ce89e1997086f40a1f00445847d1ac8,validate persona user by email upon signin
30,https://api.github.com/repos/mozilla/firehug/pulls/8,8,get users from mozillians API via script,"Adding the call to get users from redis on app.js in a subsequent GH issue (not in this PR)
",operatorjen,83059,2013-09-10T16:21:53Z,MEMBER,False,96,1,4,Persona-driven cross-platform hugs for the community,JavaScript,1acde70b08c22ff682bc958c40d93f83bf788bcb,get users from mozillians API via script
31,https://api.github.com/repos/mozilla/firehug/pulls/5,5,added nconf and config refactoring,,operatorjen,83059,2013-09-05T22:19:04Z,MEMBER,True,33,32,6,Persona-driven cross-platform hugs for the community,JavaScript,663064487f838e7c4c85a75eeb807726c198e4c9,added nconf and config refactoring
32,https://api.github.com/repos/mozilla/firehug/pulls/1,1,add angular-mozllians client to firehug,"add bogus files for apikey, locationsMap, titles
copy over angularJS client into public/mozillians-client
add proxy server code into firehug top-level app.js
",wfwalker,812428,2013-09-05T15:16:09Z,CONTRIBUTOR,True,8284,0,22,Persona-driven cross-platform hugs for the community,JavaScript,e21ab7d79dd0a848a3f5c08770724d1c9418639b,"bring mozillians/angular client into firehug

copy angular-mozillians client folder into public/mozillians-client
add mozillians.org proxy server to firehug app.js
ignore the real apikey and real locationMap
provide bogus apikey and bogus locationMap"
33,https://api.github.com/repos/mozilla/firehug/pulls/1,1,add angular-mozllians client to firehug,"add bogus files for apikey, locationsMap, titles
copy over angularJS client into public/mozillians-client
add proxy server code into firehug top-level app.js
",wfwalker,812428,2013-09-05T15:16:09Z,CONTRIBUTOR,True,8284,0,22,Persona-driven cross-platform hugs for the community,JavaScript,7b11046c193feec095005dbf9844e225d524ad92,"bring mozillians/angular client into firehug

copy angular-mozillians client folder into public/mozillians-client
add mozillians.org proxy server to firehug app.js
ignore the real apikey and real locationMap
provide bogus apikey and bogus locationMap"
34,https://api.github.com/repos/mozilla/firehug/pulls/1,1,add angular-mozllians client to firehug,"add bogus files for apikey, locationsMap, titles
copy over angularJS client into public/mozillians-client
add proxy server code into firehug top-level app.js
",wfwalker,812428,2013-09-05T15:16:09Z,CONTRIBUTOR,True,8284,0,22,Persona-driven cross-platform hugs for the community,JavaScript,ba6d554ee1061beb761e30c47b31085329dc93a4,add titles-real.js to gitignore
35,https://api.github.com/repos/mozilla/firehug/pulls/1,1,add angular-mozllians client to firehug,"add bogus files for apikey, locationsMap, titles
copy over angularJS client into public/mozillians-client
add proxy server code into firehug top-level app.js
",wfwalker,812428,2013-09-05T15:16:09Z,CONTRIBUTOR,True,8284,0,22,Persona-driven cross-platform hugs for the community,JavaScript,9e340894f235f2e006bd352e2850f870ced9a3fa,fix script tags
36,https://api.github.com/repos/mozilla/firehug/pulls/1,1,add angular-mozllians client to firehug,"add bogus files for apikey, locationsMap, titles
copy over angularJS client into public/mozillians-client
add proxy server code into firehug top-level app.js
",wfwalker,812428,2013-09-05T15:16:09Z,CONTRIBUTOR,True,8284,0,22,Persona-driven cross-platform hugs for the community,JavaScript,3a704b81a62e5669b81ecbef25067744ce7761b2,don't check in node_modules
37,https://api.github.com/repos/mozilla/firehug/pulls/1,1,add angular-mozllians client to firehug,"add bogus files for apikey, locationsMap, titles
copy over angularJS client into public/mozillians-client
add proxy server code into firehug top-level app.js
",wfwalker,812428,2013-09-05T15:16:09Z,CONTRIBUTOR,True,8284,0,22,Persona-driven cross-platform hugs for the community,JavaScript,cfd9c14448f7b83d5b76558acf0374e201fe2d2e,fixed typo
