,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/498,498,chore(docs): Point readme at monorepo,@mozilla/fxa-devs - r?,shane-tomlinson,848085,2019-04-03T05:50:47Z,MEMBER,True,2,180,1,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,1bb2e1bba040fa3e2badab4a8a7dd9bd7e2eef65,chore(docs): Point readme at monorepo
1,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/497,497,Add Mozilla Code of Conduct,"Fixes #496


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-29T05:03:22Z,NONE,False,15,0,1,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,cb12bd77063969dae39844498cdf21074888b04b,"Add Mozilla Code of Conduct file

Fixes #496.

_(Message COC002)_"
2,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/495,495,Uplift Train 133 to master,,vladikoff,128755,2019-03-19T14:47:16Z,CONTRIBUTOR,True,631,114,12,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,1123e32805d4efbdc773eb73776b2e11cd97885d,feat(devices): Add ability to associate a device record with a refesh token.
3,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/495,495,Uplift Train 133 to master,,vladikoff,128755,2019-03-19T14:47:16Z,CONTRIBUTOR,True,631,114,12,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,c3aec801f57750cf79f19021ee1bd247b348c154,"Merge pull request #483 from mozilla/feature.devices2

feat(devices): Add ability to associate a device record with a refesh token"
4,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/495,495,Uplift Train 133 to master,,vladikoff,128755,2019-03-19T14:47:16Z,CONTRIBUTOR,True,631,114,12,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,9d335cfcb368fc84ed65daaf759bb7a6aeef1854,Release v1.133.1
5,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/495,495,Uplift Train 133 to master,,vladikoff,128755,2019-03-19T14:47:16Z,CONTRIBUTOR,True,631,114,12,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,69e3d4048d4eef65a1a5c76b9dd7f674bf87382b,"Merge pull request #494 from mozilla/train-133-1

Release v1.133.1"
6,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/494,494,Release v1.133.1,,vladikoff,128755,2019-03-19T14:30:19Z,CONTRIBUTOR,True,12,2,3,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,9d335cfcb368fc84ed65daaf759bb7a6aeef1854,Release v1.133.1
7,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/493,493,Merge train-133 into master,@mozilla/fxa-devs r?,philbooth,64367,2019-03-19T11:35:59Z,CONTRIBUTOR,True,63,57,3,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,f6297040c12309f8b46cbb721d882d9cb4c2a1ad,chore(package): update shrinkwrap
8,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/493,493,Merge train-133 into master,@mozilla/fxa-devs r?,philbooth,64367,2019-03-19T11:35:59Z,CONTRIBUTOR,True,63,57,3,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,169825948c7b7414f0294425e549929335d82afb,Release v1.133.0
9,https://api.github.com/repos/mozilla/fxa-auth-db-mysql/pulls/492,492,chore(devices): Add explicit deletes to replace `ON DELETE CASCADE`.,"Per https://github.com/mozilla/fxa-auth-db-mysql/pull/483/files#r265148343 this is a preparatory migration that should allow us to fix https://github.com/mozilla/fxa-auth-db-mysql/issues/485 without missing any deletes.

This will need to be deployed before #483 in order to get the desired affect.",rfk,34695,2019-03-14T05:34:01Z,MEMBER,True,113,7,4,DEPRECATED - Migrated to https://github.com/mozilla/fxa,JavaScript,75aba96bd74fb1fc359f0a24526cfaad4a6508a3,"chore(devices): Add explicit deletes to replace `ON DELETE CASCADE`.

This is a preparatory migration that will allow us to drop the FK
constraints on the device table without missing an deletions."
