,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/158,158,chore(docs): add MySQL version to documentation,"Fixes #110
",vladikoff,128755,2015-08-09T22:59:56Z,CONTRIBUTOR,True,3,1,1,database layer for Firefox Accounts server,JavaScript,ed29529d4b79c1be86d580a99c26d870aa0b104d,"chore(docs): add MySQL version to documentation

Fixes #110"
1,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/157,157,feat(db): store user agent and last-access time in sessionTokens,"Partially addresses https://github.com/mozilla/fxa-auth-server/issues/983.

Depends on:
- https://github.com/mozilla/fxa-auth-db-mysql/pull/65
- https://github.com/mozilla/fxa-auth-db-mem/pull/43
- https://github.com/mozilla/fxa-auth-server/pull/997

Adds the endpoint `POST /sessionToken/:id/update`.
",philbooth,64367,2015-07-27T17:08:26Z,CONTRIBUTOR,False,130,12,6,database layer for Firefox Accounts server,JavaScript,40962f1934fc25a1131db43f7629cbf1471ee070,feat(db): store user agent and last-access time in sessionTokens
2,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/156,156,chore(travis): Remove chilts,,chilts,3048,2015-07-16T23:40:50Z,CONTRIBUTOR,True,0,1,1,database layer for Firefox Accounts server,JavaScript,9734e57986a143bfdfe7db768d9bc218f4008f39,chore(travis): Remove chilts
3,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/155,155,fix(db): ensure that requests for bad paths are logged,"@chilts @rfk

Revised from #154, fixes #144, depends on https://github.com/mozilla/fxa-auth-db-mem/pull/39.

Improves on the previous PR in two ways:
1. Uses restify's `NotFound` event to catch all requests to unknown paths.
2. Uses the linked fx-auth-db-mem PR to test that the server emits the failure event as expected.

Any good?
",philbooth,64367,2015-07-09T12:08:22Z,CONTRIBUTOR,True,128,27,2,database layer for Firefox Accounts server,JavaScript,dd6d8e2325456f6266134793310343db47ce36f0,"fix(db): ensure that requests for bad paths are logged

Fixes #144"
4,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/154,154,"fix(db): ensure that requests for bad paths are logged, fixes #144","I made some assumptions here, so I have questions:
1. I've assumed that whatever is listening for the `'failure'` event is the thing that does the actual logging. Is that correct? Which repo is listening for that event? I tried grepping in a few but didn't find anything.
2. I've not used restify before but couldn't see a better way in the docs to do what I've done in `index.js`. The identical sequential calls to `get()`, `put()`, `post()`, `delete()` and `head()` are a bit smelly, is there any way to wildcard the HTTP verb in restify?
3. There's also an assumption in the general approach I've taken, I'm not sure if it's what you guys had in mind. Obviously I extracted the code in `handleError` to a named function for re-use, but I wasn't sure if that justified extracting the `resolve` handler to a named function too. Doing so would make the async call more uniform and improve readability I reckon, but it's not called from anywhere else so perhaps it's a bit OTT. What do you think?

@chilts @rfk: r?
",philbooth,64367,2015-07-06T10:07:30Z,CONTRIBUTOR,False,114,25,2,database layer for Firefox Accounts server,JavaScript,1c4c5538d055138e7572510b1752195b243df63a,"fix(db): ensure that requests for bad paths are logged, fixes #144"
5,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/153,153,feat(api): Test to check passwordChangeToken returns the account.emai…,"…l address
",chilts,3048,2015-07-01T22:32:11Z,CONTRIBUTOR,True,2,1,1,database layer for Firefox Accounts server,JavaScript,cfe03303e08ccf3f852a692dcdd788c30526386f,feat(api): Test to check passwordChangeToken returns the account.email address
6,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/152,152,chore(travis): Tell Travis to use #fxa-bots,,chilts,3048,2015-07-01T04:32:07Z,CONTRIBUTOR,True,1,1,1,database layer for Firefox Accounts server,JavaScript,5b7436f41fcd8b5a49b3b0fc006bc2c67c98a025,chore(travis): Tell Travis to use #fxa-bots
7,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/151,151,Propagate all error fields,"Fixes #150.

@chilts, was this what you had in mind or have I got the wrong end of the stick?
",philbooth,64367,2015-07-01T01:17:16Z,CONTRIBUTOR,True,12,2,2,database layer for Firefox Accounts server,JavaScript,fdf154b03216ce5642e248c7c1c779aea90afe80,"fix(db-api): propagate all error fields, fixes #151"
8,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/149,149,Remove more semi colons,,chilts,3048,2015-06-15T01:54:47Z,CONTRIBUTOR,True,45,54,11,database layer for Firefox Accounts server,JavaScript,8e2e06d5db6626d554bd3d105d9476cfecdb2fb9,chore(lint): Replace JSHint with ESLint
9,https://api.github.com/repos/mozilla/fxa-auth-db-server/pulls/149,149,Remove more semi colons,,chilts,3048,2015-06-15T01:54:47Z,CONTRIBUTOR,True,45,54,11,database layer for Firefox Accounts server,JavaScript,e075381e28a98688db046d55417288896eb8847f,chore(lint): Remove more semi-colons so eslint is happy
