,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/268,268,everything has moved to auth-server,"There's no reason to leave the code un-maintained, as someone can copy it, security vulnerabilties and all.

Only thing left is the README saying we've moved to the auth-server.",seanmonstar,51479,2017-04-26T18:10:29Z,MEMBER,True,1,15427,89,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,6fbc515b1fc2b5a5764cabf5abc2c79108fab8fe,everything has moved to auth-server
1,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/263,263,fix(mail): add from header for the new nodemailer,Fixes #262,vladikoff,128755,2017-02-21T17:11:17Z,CONTRIBUTOR,True,5,1,3,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,019eadf86519d52d00d4e5d7e491b42e67924721,"fix(mail): add from header for the new nodemailer

Fixes #262"
2,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/261,261,feat(sms): implement status check,"This is the auth mailer part of mozilla/fxa-auth-server#1646. It adds a method to check the balance of the nexmo account and indicate whether it's any good based on a threshold defined in config.

@mozilla/fxa-devs r?",philbooth,64367,2017-02-20T17:23:42Z,CONTRIBUTOR,False,90,4,2,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,d78a22742e91bcbb883e130cf7f98d381051ab2c,feat(sms): implement status check
3,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/259,259,feat(mailer): add support for sending SMS messages,"Related to mozilla/fxa-auth-server#1628. Replaces #254.

This is broadly the same as the previous PR. The main difference is that I didn't realise the auth server invokes the mailer in-process before, so some redundant server nonsense has been removed. For the same reason, the interface for the package needed changing to return the `sms` module. I opted to return an object `{ email, sms }` but am open to other suggestions if anyone finds that offensive.

With the elimination of my imaginary server boundary, it made sense to pull the config and phone number validation up to the auth server level so those are both removed. And with the config gone, the `send-sms` script has moved over there too.

All that means the code here should be a bit simpler than it was. I think it's ready for review now but note that **we don't want to merge this until the auth server changes are also ready to be merged**. The aforementioned interface change requires equivalent changes in the auth server. 

You can see those auth server changes in the [phil/issue-1628 branch](https://github.com/mozilla/fxa-auth-server/compare/master...phil/issue-1628). I just need to sort out the correct sender id for USA/Canada and wire in the flow events before it, too, is ready to be reviewed.

@mozilla/fxa-devs r?",philbooth,64367,2017-02-08T12:12:33Z,CONTRIBUTOR,True,990,17,9,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,dfaad39ecaf41c48d90c09dc1645f4603da7f992,feat(mailer): add support for sending SMS messages
4,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/258,258,fix(git): update husky to unbreak git hooks on ubuntu,,seanmonstar,51479,2017-02-08T00:43:14Z,MEMBER,True,67,4,2,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,829fc284af711a493b93effa1bbbc4daff202083,fix(git): update husky to unbreak git hooks on ubuntu
5,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/257,257,fix(config): change reminder poll for many servers,"@vbudhram r?

This change because all auth-servers will be polling and not just one.",vladikoff,128755,2017-02-08T00:15:49Z,CONTRIBUTOR,True,1,1,1,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,03f35d19a70ade772f88241e900e871262bdc91d,fix(config): change reminder poll for many servers
6,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/255,255,fix(reminders): update reminder logic to support latest db,"Connects to https://github.com/mozilla/fxa-auth-db-mysql/issues/196

Ref: https://github.com/mozilla/fxa-auth-db-mysql/pull/200",vladikoff,128755,2017-02-03T16:58:26Z,CONTRIBUTOR,False,5,3,1,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,8fe70e38f2bc3dd38d4a04b58e0f59a7838297c7,wip2
7,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/254,254,feat(mailer): add support for sending SMS messages,"Related to mozilla/fxa-auth-server#1628.

- [x] Define the API.
- [x] Include SMS messages in the auth mailer templates for l10n.
- [x] Implement phone number validation.
- [x] Unit tests.
- [x] Fix `Invalid Text Message` error from Nexmo.
- [x] Test out sending actual messages to the UK, the USA and Canada.
- [x] Export the sms interface for direct calling.
- [ ] Include the proper install link.
- [ ] Include the finalised message text.
- [ ] Include the finalised sender ids.

/cc @shane-tomlinson @vbudhram ",philbooth,64367,2017-02-01T19:10:17Z,CONTRIBUTOR,False,1053,29,11,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,0732b875d9792f1fb3e32284c4c0b3757ddb754e,feat(mailer): add support for sending SMS messages
8,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/252,252,chore(docs): update AUTHORS file,"updating authors, but also checking of l10n extract fail was caused by deps updates or something else: 

https://github.com/mozilla/fxa-auth-mailer/pull/251",vladikoff,128755,2017-01-27T14:47:48Z,CONTRIBUTOR,True,23,0,1,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,e68830764ba16d61395c1622035fd6896b1ae0c6,chore(docs): update AUTHORS file
9,https://api.github.com/repos/mozilla/fxa-auth-mailer/pulls/251,251,"fix(dependencies): update bluebird, nodemailer, convict, moment-timezone","Code changes were due to updates in bluebird, it no longer uses `cancellable`, but it's easy enough to just have a local variable track that.",seanmonstar,51479,2017-01-27T00:06:05Z,MEMBER,True,426,968,4,[⚠️ DEPRECATED ⚠️] Helper server for fxa-auth-server to send email. Use fxa-auth-server directly,,c46aa7e7de9e21a06a556d465c9ce7785483a6f3,"fix(dependencies): update bluebird, nodemailer, convict, moment-timezone"
