,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/77,77,chore(version): Add archive repo notes.,"This repo is no longer going to be developed since the code has landed in Firefox.

@mozilla/fxa-devs ?",vbudhram,1295288,2019-04-01T15:06:27Z,CONTRIBUTOR,True,3,0,1,Firefox Account browser web extension shield experiment,JavaScript,17b157ea3558e35a62c68a1ea56463ef61de1b17,chore(version): Add archive repo notes.
1,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/76,76,Add Mozilla Code of Conduct,"Fixes #75


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T07:06:37Z,CONTRIBUTOR,True,15,0,1,Firefox Account browser web extension shield experiment,JavaScript,14ce63c0e78e6b975fbb07e1c9bb2875d4c8c44d,"Add Mozilla Code of Conduct file

Fixes #75.

_(Message COC002)_"
2,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/73,73,Fix menu button click area and update test plan,"Fixes #72 
Fixes #71 

This updates our Test plan doc and makes the clickable area the `li` element.",vbudhram,1295288,2019-02-14T16:50:36Z,CONTRIBUTOR,True,10,10,6,Firefox Account browser web extension shield experiment,JavaScript,abdc8f937c5567c473397881ec9d177ef65dee4c,chore(docs): Fix survey links
3,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/70,70,chore(metrics): reenable telemetry for testing,"Spoke with QA and they wanted to enable this flag so that they can verify the telemetry data. I rebuilt the dist and bumped version numbers too.

@mozilla/fxa-devs r?",vbudhram,1295288,2019-02-14T14:52:10Z,CONTRIBUTOR,True,3,3,4,Firefox Account browser web extension shield experiment,JavaScript,580cf8510f4961bcc797703b712fac627b7a01f1,chore(metrics): reenable telemetry for testing
4,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/69,69,chore(version): create update dist,"Forgot to bump the dist and version, @mozilla/fxa-devs r?",vbudhram,1295288,2019-02-13T20:20:14Z,CONTRIBUTOR,True,2,2,3,Firefox Account browser web extension shield experiment,JavaScript,44218156d9bcabab0bedc4b2d291a9185154ede4,chore(version): create update dist
5,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/68,68,fix(metrics): correctly set `sendtab` when opening survey,"Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/66
Fixes #20 

This bug was introduced while supporting different entrypoint for the different variations in phase 2. It now correctly checks url and sets the local storage property if the `Send tab To Device` link was clicked.

I also took this opportunity to add the MLP to source files.

@philbooth r?",vbudhram,1295288,2019-02-13T14:19:50Z,CONTRIBUTOR,True,30,2,7,Firefox Account browser web extension shield experiment,JavaScript,7a4200550ef25cce8dc5bb4758d6d3418c8ec843,fix(metrics): correctly set `sendtab` when opening survey
6,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/68,68,fix(metrics): correctly set `sendtab` when opening survey,"Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/66
Fixes #20 

This bug was introduced while supporting different entrypoint for the different variations in phase 2. It now correctly checks url and sets the local storage property if the `Send tab To Device` link was clicked.

I also took this opportunity to add the MLP to source files.

@philbooth r?",vbudhram,1295288,2019-02-13T14:19:50Z,CONTRIBUTOR,True,30,2,7,Firefox Account browser web extension shield experiment,JavaScript,dcc3910ba58b0c9a2abb676b7e74402014a35f87,fix(legal): add MLP to source files
7,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/63,63,"feat(v2): update control, treatment, treatment variations","Prepping this PR from a conversation earlier with @irrationalagent. For phase 2, we wanted the control and treatment variations to be the same as phase 1. The only difference was to introduce `treatment2` which contained the `Send Tab to Device` link.

~~Holding off on merging this until @irrationalagent and @fireshiba confirm that is what they would like to do for phase 2.~~

Confirmed in slack that we are proceeding with this version. @mozilla/fxa-devs @irrationalagent r?

",vbudhram,1295288,2019-02-06T19:23:32Z,CONTRIBUTOR,True,96,41,6,Firefox Account browser web extension shield experiment,JavaScript,10c9d801115199127f92f7a27b4196228927c5fb,"feat(v2): update control, treatment, treatment variations"
8,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/62,62,feat(v2): emit login state on first run and update docs,"This PR updates our testing doc and fixes an issue with logging logged in state

* Archive phase 1 test plan, testplan.md points to phase 2 docs
* Ran `npm run-script docformat` which replaced `*` with `-`, meh..
* We will now set the `fxaState` on telemetry type start",vbudhram,1295288,2019-02-05T23:35:39Z,CONTRIBUTOR,True,434,161,9,Firefox Account browser web extension shield experiment,JavaScript,782f78f148d1efdbd6cca4d4cf8a23620de5d57c,feat(v2): update docs
9,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/61,61,feat(v2): update extension to V2,"This PR updates the web extension to support V2 requirements. Feature doc: https://docs.google.com/document/d/1fL5Gj7zUsrA-Tykc7DRKaxpDxr7jOxfw654PIkUPyP0/edit#

* Adds a `Sent tab to device` button that links to a blog post
* Adds updated survey links, appends `sendtab=1` if user clicked the link
* Control group is not shown the menu
* Treatment group is shown the menu

I also incorporated fixes to support running in Firefox Nightly, ref https://github.com/mozilla/shield-studies-addon-template/issues/94

Note that the testing and metrics docs will be updated in upcoming PR.",vbudhram,1295288,2019-02-05T16:00:10Z,CONTRIBUTOR,True,112,60,13,Firefox Account browser web extension shield experiment,JavaScript,db847ee5fbbcc36fc1c0b2d18299c31a75a52538,feat(v2): update extension to V2
10,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/59,59,fix(icon): update toolbar icon to match theme,"From https://searchfox.org/mozilla-central/source/layout/svg/SVGContextPaint.cpp#73, the application id must end with `@mozilla.org` to use a context filled avatar icon. Making this change, requires us to update the config values in our test plan.

Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/35

<img width=""188"" alt=""screen shot 2019-01-29 at 11 25 39 am"" src=""https://user-images.githubusercontent.com/1295288/51923281-a0308600-23b8-11e9-978a-d8e45ee4c887.png"">
",vbudhram,1295288,2019-01-29T16:26:07Z,CONTRIBUTOR,True,28,28,6,Firefox Account browser web extension shield experiment,JavaScript,df745cc96893bbbf8df635ec0f8f3377cc123476,fix(icon): update toolbar icon to match theme
11,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/58,58,chore(dist): rebuild dist,,vbudhram,1295288,2019-01-28T17:44:59Z,CONTRIBUTOR,True,1,1,3,Firefox Account browser web extension shield experiment,JavaScript,0534f183f75ea8fe135d1b40b578c8e37a848bc3,chore(dist): rebuild dist
12,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/56,56,fix(control): hide extension when new windows are opened and in control,Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/42,vbudhram,1295288,2019-01-25T20:59:05Z,CONTRIBUTOR,True,18,11,3,Firefox Account browser web extension shield experiment,JavaScript,4a424d7fe7f74724b9f5272da4d4767eda3a55e7,fix(control): hide extension when new windows are opened and in control
13,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/50,50,"chore(deps): qa fixes, updates to deps, docs and dist","This PR has updated testing documentation and updates shield-studies-util to 5.1.1. A surprising result from upgrading shield lib is that I am no longer able to reproduce https://github.com/mozilla/fxa-discoverability-shield-study/issues/34, https://github.com/mozilla/fxa-discoverability-shield-study/issues/33, https://github.com/mozilla/fxa-discoverability-shield-study/issues/32.

Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/34
Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/33
Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/32
Fixes #31 
Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/45
<img width=""346"" alt=""screen shot 2019-01-25 at 11 42 36 am"" src=""https://user-images.githubusercontent.com/1295288/51760196-e1aef180-2097-11e9-8e6c-d0cb608b7efb.png"">
",vbudhram,1295288,2019-01-25T15:58:07Z,CONTRIBUTOR,True,22,14,5,Firefox Account browser web extension shield experiment,JavaScript,3d1684cde5bfab83a0c967735ce856e962eb37a6,chore(deps): update doc and deps
14,https://api.github.com/repos/mozilla/fxa-discoverability-shield-study/pulls/50,50,"chore(deps): qa fixes, updates to deps, docs and dist","This PR has updated testing documentation and updates shield-studies-util to 5.1.1. A surprising result from upgrading shield lib is that I am no longer able to reproduce https://github.com/mozilla/fxa-discoverability-shield-study/issues/34, https://github.com/mozilla/fxa-discoverability-shield-study/issues/33, https://github.com/mozilla/fxa-discoverability-shield-study/issues/32.

Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/34
Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/33
Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/32
Fixes #31 
Fixes https://github.com/mozilla/fxa-discoverability-shield-study/issues/45
<img width=""346"" alt=""screen shot 2019-01-25 at 11 42 36 am"" src=""https://user-images.githubusercontent.com/1295288/51760196-e1aef180-2097-11e9-8e6c-d0cb608b7efb.png"">
",vbudhram,1295288,2019-01-25T15:58:07Z,CONTRIBUTOR,True,22,14,5,Firefox Account browser web extension shield experiment,JavaScript,d37b965eca16a69f7350d77af20b2862fc903f5c,fix(css): use ellipsis overflow for long emails
