,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/fxa-email-service/pulls/278,278,chore(readme): added forwarding link,,dannycoates,87619,2019-04-01T23:27:03Z,MEMBER,False,3,0,1,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,f3aa1292d2c1680da4ec7ea8c1f137af334f492e,chore(readme): added forwarding link
1,https://api.github.com/repos/mozilla/fxa-email-service/pulls/277,277,Add Mozilla Code of Conduct,"Fixes #276


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-30T06:53:37Z,NONE,False,15,0,1,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,0742dbaf2c4f394cb4f6537897e17877a4628ed5,"Add Mozilla Code of Conduct file

Fixes #276.

_(Message COC002)_"
2,https://api.github.com/repos/mozilla/fxa-email-service/pulls/275,275,Merge train-130 into master,@mozilla/fxa-devs r?,philbooth,64367,2019-02-12T07:40:03Z,CONTRIBUTOR,True,8,2,3,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,1a3ed5788a65ff7cf8f4ef505690f015430de208,release: 1.130.0
3,https://api.github.com/repos/mozilla/fxa-email-service/pulls/274,274,fix(api): use correct apostrophe character in email address regex,"Fixes #273.

Same underlying issue as mozilla/fxa-content-server#6702. Typing is hard.

@mozilla/fxa-devs r?",philbooth,64367,2019-02-11T18:04:13Z,CONTRIBUTOR,True,3,1,2,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,b16f52e97da5fd1665654abc0a952f9502853c2a,fix(api): use correct apostrophe character in email address regex
4,https://api.github.com/repos/mozilla/fxa-email-service/pulls/272,272,[WIP] feat(docker): docker copy build,,vladikoff,128755,2018-12-21T21:09:56Z,CONTRIBUTOR,False,22,36,4,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,1fec93d4ddef4fa3641180cdec58b53f83586351,wip docker refactor
5,https://api.github.com/repos/mozilla/fxa-email-service/pulls/268,268,Merge train-127 into master,@mozilla/fxa-devs r?,philbooth,64367,2018-12-12T14:44:42Z,CONTRIBUTOR,True,25,2,3,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,8a681898e946cbce667e585e625c3727d86d6cf7,release: 1.127.0
6,https://api.github.com/repos/mozilla/fxa-email-service/pulls/267,267,fix(scripts): ignore merge commits when generating changelog,"Fixes #252.

Sorry, I didn't tag this repo yesterday, been meaning to get this fixed first.

@mozilla/fxa-devs r?",philbooth,64367,2018-12-12T12:47:09Z,CONTRIBUTOR,True,3,0,1,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,489306b39802fe3bd53c7ea98969cabea04a3b38,fix(scripts): ignore merge commits when generating changelog
7,https://api.github.com/repos/mozilla/fxa-email-service/pulls/263,263,chore(docs): minor readme editorialisation,"Removes the link to the old feature doc, which contains outdated technical information. Also upgrades ""*some* FxA email traffic"" to ""*all* FxA email traffic"", because we're at 100% now.

@mozilla/fxa-devs r?",philbooth,64367,2018-12-07T15:14:44Z,CONTRIBUTOR,True,1,3,1,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,8c8e29a7accccf9ea7ca03fbe4c0da9f2e264043,chore(docs): minor readme editorialisation
8,https://api.github.com/repos/mozilla/fxa-email-service/pulls/262,262,feat(code): update to rust 2018,"This is just the result of running `cargo fix --edition` then `cargo fmt`. There's other changes we could make to be more idiomatically 2018 (like removing `extern crate` and explicitly `use`-ing macros), but this is a fair start.

@mozilla/fxa-devs r?",philbooth,64367,2018-12-06T20:36:11Z,CONTRIBUTOR,True,108,83,31,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,e77ea7a771f7e0b39f4b03d5962f1b2cd1d414d0,feat(code): update to rust 2018
9,https://api.github.com/repos/mozilla/fxa-email-service/pulls/261,261,feat(types): implement a serializable regex type,"Extraction from #258.

The configuration endpoint will have a regex property in the payload, which will also be written to Redis. Since `regex::Regex` doesn't provide implementations of `Deserialize` or `Serialize`, we must wrap it to implement them ourselves. This change does that by just serializing the string representation of the regex.

@mozilla/fxa-devs r?",philbooth,64367,2018-12-06T18:48:32Z,CONTRIBUTOR,True,62,0,3,DEPRECATED - Migrated to https://github.com/mozilla/fxa,Rust,83d46aecd6dcc4ce8b2291b1cab2172221b14368,feat(types): implement a serializable regex type
