,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/26,26,chore(travis): Tell Travis to use #fxa-bots,"Ref: https://github.com/mozilla/fxa/issues/9
",pdehaan,557895,2015-07-01T17:26:10Z,CONTRIBUTOR,True,1,1,1,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,52877baf1330c17d2f34617a25a927d7e662acc3,chore(travis): Tell Travis to use #fxa-bots
1,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/25,25,"chore(dependencies): Remove 'jws' dependency, and update some others.","Fixes #16.  @dannycoates r?
",rfk,34695,2015-06-17T07:11:28Z,MEMBER,True,5,6,2,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,0d1462f9576a5c0e9cce5af233e4bffb74d00cd9,"chore(dependencies): Remove 'jws' dependency, and update some others."
2,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/24,24,chore(build): Adding basic Grunt eslint and copyright tasks,"Fixes #15
",pdehaan,557895,2015-06-17T00:56:44Z,CONTRIBUTOR,True,110,7,21,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,8489290add8a002489fa381d92c929a9575a8c73,chore(build): Adding basic Grunt eslint and copyright tasks
3,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/23,23,Notify the IRC channel after Travis builds,,chilts,3048,2015-05-25T23:03:35Z,CONTRIBUTOR,True,7,0,1,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,8b128fea3b44b3877a36e412dabe73597f666296,Notify the IRC channel after Travis builds
4,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/22,22,Update license to spdx.org format,,chilts,3048,2015-05-25T22:56:54Z,CONTRIBUTOR,True,1,1,1,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,a63ec9a0b3c7c9210e78f6fd62aba7d19ec50beb,Update license to spdx.org format
5,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/21,21,save subscriptions to db,"And now subs have decent test coverage.

P.S. The builtin ttl in redis made that part super easy :)

r? @rfk 
",dannycoates,87619,2015-03-24T00:46:26Z,MEMBER,True,504,141,8,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,29fcf1f1ba0cd70c61d8923aef9f434894c3313b,save subscriptions to db
6,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/21,21,save subscriptions to db,"And now subs have decent test coverage.

P.S. The builtin ttl in redis made that part super easy :)

r? @rfk 
",dannycoates,87619,2015-03-24T00:46:26Z,MEMBER,True,504,141,8,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,57657849d0d8d18df884a4623a59a4f806a32397,added subs.notify
7,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/21,21,save subscriptions to db,"And now subs have decent test coverage.

P.S. The builtin ttl in redis made that part super easy :)

r? @rfk 
",dannycoates,87619,2015-03-24T00:46:26Z,MEMBER,True,504,141,8,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,f568fa00d33db46675a15a7bab96119bf788416b,fixed missing promise in redis append
8,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/20,20,allow json key files,"This will allow us to use the json key files from the auth-server directly

@rfk r?
",dannycoates,87619,2015-03-22T23:13:07Z,MEMBER,True,20,28,3,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,567623f1f9071c717da13faa552e227169913700,allow json key files
9,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/19,19,Redis,"An experimental redis backend. Not really meant to merge, just a demo of how easy it _might_ be to use redis.
",dannycoates,87619,2015-03-14T17:23:23Z,MEMBER,True,1219,298,22,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,5d810227b890ea4751a033fb3cbe7c0c0944b2ce,WIP on JWTs
10,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/19,19,Redis,"An experimental redis backend. Not really meant to merge, just a demo of how easy it _might_ be to use redis.
",dannycoates,87619,2015-03-14T17:23:23Z,MEMBER,True,1219,298,22,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,a5390c7fdafb706137bb616a5cb369102d95fb54,redis db experiment
11,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/19,19,Redis,"An experimental redis backend. Not really meant to merge, just a demo of how easy it _might_ be to use redis.
",dannycoates,87619,2015-03-14T17:23:23Z,MEMBER,True,1219,298,22,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,53269b7a04306db81302944bfffa0805b126f941,"rewrite

- added promises
- added redis
- added test code"
12,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/19,19,Redis,"An experimental redis backend. Not really meant to merge, just a demo of how easy it _might_ be to use redis.
",dannycoates,87619,2015-03-14T17:23:23Z,MEMBER,True,1219,298,22,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,686cba895240c69a94cf9a64da7d01ed51f63c9e,updated jwtool
13,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/19,19,Redis,"An experimental redis backend. Not really meant to merge, just a demo of how easy it _might_ be to use redis.
",dannycoates,87619,2015-03-14T17:23:23Z,MEMBER,True,1219,298,22,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,4e8e2abc0b1c989ccde4da3ef5e58d78d8b6ad95,updated jwtool
14,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/18,18,WIP on JWTs,"No tests yet, but this is where I'm headed...
",dannycoates,87619,2015-03-12T01:14:03Z,MEMBER,False,254,17,7,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,5d810227b890ea4751a033fb3cbe7c0c0944b2ce,WIP on JWTs
15,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/17,17,Adding Grunt tasks,"Currently only has 2.5 Grunt tasks:

| TASK | DESC |
| --- | --- |
| `grunt copyright` | Checks for MPL copyright headers. |
| `grunt jshint` | Runs JSHint against matching files (.jshintrc file copied from fxa-auth-server repo). |
| `grunt validate-shrinkwrap` | Checks npm-shrinkwrap.json file against the [nodesecurity.io](https://nodesecurity.io/advisories) database for vulnerable modules. |

Fixes #15 
",pdehaan,557895,2015-03-10T00:46:47Z,CONTRIBUTOR,False,1638,1,10,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,a73fc9cbcb87788d6f5dc0e8416040e0110e56fb,Adding Grunt tasks
16,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/14,14,Adding license and tweaking package.json,,pdehaan,557895,2015-03-09T20:34:50Z,CONTRIBUTOR,True,388,17,2,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,b656a71134050a1373ae3b458e2fb620a6424ee6,Adding license and tweaking package.json
17,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/13,13,added fxa-oauth,"I'm not sure what scope(s) we want to use...
",dannycoates,87619,2015-03-08T19:12:49Z,MEMBER,True,120,1,4,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,a029e4adf5df29df8afcd9d4920a5224e7af9460,added fxa-oauth
18,https://api.github.com/repos/mozilla/fxa-notification-server/pulls/12,12,Its a start,"This stubs in the API. No auth, JWTs, or persistence though.
",dannycoates,87619,2015-03-05T19:33:07Z,MEMBER,True,408,0,8,experimental pubsub notification hub for the Firefox Accounts ecosystem,JavaScript,adfe7519082db9c0554c9777f870d8e1a6f383ee,stubbed in api
