,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/87,87,Add MPL 2.0 license,"Not 100% sure if there are files covered by other licenses, etc., in here, but putting it up for discussion/review.",stephendonner,387249,2017-12-06T21:31:04Z,NONE,False,377,0,1,GitHub dashboard for Firefox Test Engineering,HTML,60fb395d40ae6375d7cd35d8a87bec1cc1abfe06,Add MPL 2.0 license
1,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/86,86,Remove use of GitHub read-only token,"I suspect this was added for rate-limiting, but we shouldn't expose tokens, even if they are read-only.",davehunt,122800,2017-12-04T10:28:51Z,MEMBER,True,2,3,2,GitHub dashboard for Firefox Test Engineering,HTML,186d51b4ccff4af30b17d2494c09419aea036e1f,Remove use of GitHub read-only token
2,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/85,85,Update list to active repos,@karlht / @mozilla/firefox-test-engineering r?,stephendonner,387249,2017-11-30T22:09:52Z,NONE,True,5,2,1,GitHub dashboard for Firefox Test Engineering,HTML,dd3641f6d19b74acf902126af77cf2f5d1483e5f,Update list to active repos
3,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/84,84,Remove dead Jenkins URL,@mozilla/firefox-test-engineering r?,stephendonner,387249,2017-09-13T20:44:21Z,NONE,True,0,3,1,GitHub dashboard for Firefox Test Engineering,HTML,ce4eb1aeae2ff5bd124df9c89adbf759cb174083,Remove dead Jenkins URL
4,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/83,83,Remove cruft; update others,@mozilla/firefox-test-engineering r?,stephendonner,387249,2017-09-13T20:25:37Z,NONE,True,1,10,1,GitHub dashboard for Firefox Test Engineering,HTML,eb658192f8c95d0eefb5d69a4938ea69ccb23b41,Remove cruft; update others
5,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/82,82,Fix Service Book URL,@mozilla/firefox-test-engineering r?,stephendonner,387249,2017-09-13T20:17:38Z,NONE,True,1,1,1,GitHub dashboard for Firefox Test Engineering,HTML,f9c0292ec90faa33c3b1b5da144eee8390dfe67c,Fix Service Book URL
6,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/80,80,added links to nav menu,"Addresses Issue #79 

I went ahead and added this to the current branch `gh-pages`, but I don't plan on making too many more changes to the base branch. 

The refactor is complete, and created a new branch from that, `ux-design`, to make it pretty 😉 

I know you guys are busy this week, just a heads up ☺️ ",kimberlythegeek,18633586,2016-12-09T18:19:06Z,NONE,True,2,0,1,GitHub dashboard for Firefox Test Engineering,HTML,6f4911d54089591ddaa3980ff102012f6283b327,added links to nav menu
7,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/78,78,Angular ify,"_Note: There are still style changes I'd like to make, but this branch is functionally on par with the current one. Default view of issues is now set to collapsed, and repos will not show if they contain no issues meeting the filter criteria._

__Notes on current code base:__
<a href=""http://docs.google.com/gview?url=https://github.com/mozilla/fxtest-dashboard/files/593192/fxtest-dashboard-angularify.pdf&embedded=true"">View on Google Docs</a>
[Download PDF](https://github.com/mozilla/fxtest-dashboard/files/593192/fxtest-dashboard-angularify.pdf)


_I welcome your feedback._

 _/kimberlythegeek_

___

# Notes on App Refactor

###### Rewrite App to use the ""Angular way""
###### Reduce Redundant Code
###### Improve Efficiency & Data Organization
###### Make Code More Modular & Reusable

## Contents

- [config.json](#configjson)
- [main.js](#mainjs)
  - [IIFE](#iife)
  - ['use strict'](#use-strict)
  - [Instantiation](#instantiation)
  - [Dependency Injection](#dependency-injection)
  - [DOM Manipulation](#dom-manipulation)
  - [jQuery](#jquery)
  - [$routeProvider](#routeprovider)
- [aggregator.js](#aggregatorjs)
- [Issues Addressed](#issues-addressed)
    - [#52](#issue-52)
    - [#60](#issue-60)
- [Mozilla Style Guides](#mozilla-style-guides)

___

# config.json

```
{
  ""repos"": [
    ""https://github.com/mozilla/Addon-Tests"",
    ""https://github.com/mozilla/bidpom"",
    ""https://github.com/mozilla/fxapom"",
    ""https://github.com/mozilla/fxtestbot"",
    ""https://github.com/mozilla/hello-tests"",
    ""https://github.com/mozilla/moz-grid-config"",
    ""https://github.com/mozilla/mozillians-tests"",

    .....

  ],
  ""api_token"": ""692aadd2c9789a337c4d3544787f101ad8c35bc7""
}
```

Rather than an array of URLs, I restructed the `repos` array to contain Object Literals.
Including `https://github.com/` in every entry is redundant, becuase it will always be the same.

This also adds the redundant task of extracting the `owner` and `name` of the repository from each entry.

The new structure is as follows:

```
{
  ""repos"": [
      {
          ""owner"": ""mozilla"",
          ""name"": ""Addon-Tests""
      },
      {
          ""owner"": ""mozilla"",
          ""name"": ""bidpom""
      },
      {
          ""owner"": ""mozilla"",
          ""name"": ""fxapom""
      },
      {
          ""owner"": ""mozilla"",
          ""name"": ""fxtest-dashboard""
      },

      .....

      ],
      ""api_token"": ""692aadd2c9789a337c4d3544787f101ad8c35bc7""
}
```

Within the FeedController, the `""repos""` array also becomes the data structure to hold the array of issues for each repository, so each repo object also contains its own issues. The original app contatined two separate arrays.

The `issues` array  is _only_ added to each `repo` object _if open issues exist_.

___

# main.js

### IIFE
Wrapping the code in an [IIFE](https://en.wikipedia.org/wiki/Immediately-invoked_function_expression)
`()();` prevents declared variables and functions from overflowing out of the scope.

### 'use strict'
Specifying `'use strict';` will throw errors that will otherwise have been ignored.


### ""Modularized""
I moved all module artifacts&#8212;controllers, directives, services, etc.&#8212;into separate files.
This both improves organization, and improves code reusability.

All module artifact files are found in `src/dashboard/`, following the pattern of `[name].controller.js`, `[name].filter.js`, `[name].template.html`, etc.

### Dependency Injection
The app is currently lacking dependency injection on both controllers&#8212;
`FeedController.$inject = ['$scope', 'GitHubIssueFeedService']` which protects the code from minification.

### DOM Manipulation

Throughout the app, there are several places where the code is directly manipulating the DOM, as with jQuery.
Being an [MVVM Framework](https://en.wikipedia.org/wiki/Model%E2%80%93view%E2%80%93viewmodel), this is not
recommended, as this can be done dynamically with AngularJS.

### jQuery

Much of the logic in the app is done via jQuery, not Angular. There are much simpler and more efficent
ways to implement the functionality using controllers, services, directives, etc.

### $routeProvider

Using `$routeProvider` (main.js line 15) is unnecessary for this app. Instead of
having two separate pages for Issues and Pull Requests, (since pull requests are issues),
you can use the same template and filter for pull requests when viewing the Pull Requests Page.

### Redundant Code
There are many places in the app where redundant code is used.

- IssuesController & PullRequestsController
  - These controllers are virtually the same, except the latter filters the data down to just pull requests.
  - The logic of showing only pull requests can be done using Angular filters and `ng-if` statements.
  - The controllers also set up redundant data structures, when all of the data
  can be accessed within the objects retrieved from the API


- Within the Controllers, there is a `forEach` loop (lines 65 & 165) that sets up
the display properties (should issue/repository be shown or not?). This can be done
automatically and dynamically with AngularJS.

- Line 85: `$scope.toggleRepo` is a function to show/hide repository when arrow
is clicked. Can be done using Angular's `ng-click` and `ng-show`.

- Line 89: `$scope.showHideIssues` is a function that loops through all of the data
every time something changes to determine whether or not it should be shown. All
it is unnecessary, the logic can be implemented using Angular filters and directives.

### Custom Directives

I have created several custom directives for blocks of code that are reused, i.e. `<github-repository>`
 and `<filter-list>`. Directives are comprised of a declaration file `[name].directive.js`, and a template file `[name].template.html`.

### Custom Service

I creatd the `issueFeed` service to handle JSON calls, passing the data to the `FeedController`.
___

# aggregator.js

This file handles most of the logic. All of the code in this file can be
incorporated into main.js within controllers, services, filters, etc. It makes
the API calls, and declares the data structures for the repositories and issues.

It is also guilty of using jQuery for almost all of the logic. Everything in
I have broken down into functions within GitHubIssueFeedService and FeedController.

Instead of using jQuery's getJSON method, we can utilize Angular's `$http` service.
This also eliminates the need for the paramaters in our API URL, as the $http service
can take `params: {}` and parse them appropriately.
___

# Issues Addressed

### Issue #52

While creating filter functionality, I decided to also address [Issue #52](https://github.com/mozilla/fxtest-dashboard/issues/52) to avoid rewriting the filters later.

Is Assigned filter is now a checkbox. Uncheck All links have been added.

### Issue #60

Also addressing this issue to avoid later rewrite. Labels are now pulled from the found open issues  [Issue #60](https://github.com/mozilla/fxtest-dashboard/issues/60)

___

# Mozilla Style Guides


I have begun editing all of the CSS, HTML, and JS to follow Mozilla's
[style guides](http://mozweb.readthedocs.io/en/latest/reference/index.html).

I also add comments next to closing tags in HTML, as a preference, to make it
easier on both myself and anyone else who may read the code after me.
",kimberlythegeek,18633586,2016-12-02T06:11:06Z,NONE,False,1001,866,39,GitHub dashboard for Firefox Test Engineering,HTML,400e4f590b4ba5db43d52664afe948867428e46a,changed array of urls to array of object literals
8,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/78,78,Angular ify,"_Note: There are still style changes I'd like to make, but this branch is functionally on par with the current one. Default view of issues is now set to collapsed, and repos will not show if they contain no issues meeting the filter criteria._

__Notes on current code base:__
<a href=""http://docs.google.com/gview?url=https://github.com/mozilla/fxtest-dashboard/files/593192/fxtest-dashboard-angularify.pdf&embedded=true"">View on Google Docs</a>
[Download PDF](https://github.com/mozilla/fxtest-dashboard/files/593192/fxtest-dashboard-angularify.pdf)


_I welcome your feedback._

 _/kimberlythegeek_

___

# Notes on App Refactor

###### Rewrite App to use the ""Angular way""
###### Reduce Redundant Code
###### Improve Efficiency & Data Organization
###### Make Code More Modular & Reusable

## Contents

- [config.json](#configjson)
- [main.js](#mainjs)
  - [IIFE](#iife)
  - ['use strict'](#use-strict)
  - [Instantiation](#instantiation)
  - [Dependency Injection](#dependency-injection)
  - [DOM Manipulation](#dom-manipulation)
  - [jQuery](#jquery)
  - [$routeProvider](#routeprovider)
- [aggregator.js](#aggregatorjs)
- [Issues Addressed](#issues-addressed)
    - [#52](#issue-52)
    - [#60](#issue-60)
- [Mozilla Style Guides](#mozilla-style-guides)

___

# config.json

```
{
  ""repos"": [
    ""https://github.com/mozilla/Addon-Tests"",
    ""https://github.com/mozilla/bidpom"",
    ""https://github.com/mozilla/fxapom"",
    ""https://github.com/mozilla/fxtestbot"",
    ""https://github.com/mozilla/hello-tests"",
    ""https://github.com/mozilla/moz-grid-config"",
    ""https://github.com/mozilla/mozillians-tests"",

    .....

  ],
  ""api_token"": ""692aadd2c9789a337c4d3544787f101ad8c35bc7""
}
```

Rather than an array of URLs, I restructed the `repos` array to contain Object Literals.
Including `https://github.com/` in every entry is redundant, becuase it will always be the same.

This also adds the redundant task of extracting the `owner` and `name` of the repository from each entry.

The new structure is as follows:

```
{
  ""repos"": [
      {
          ""owner"": ""mozilla"",
          ""name"": ""Addon-Tests""
      },
      {
          ""owner"": ""mozilla"",
          ""name"": ""bidpom""
      },
      {
          ""owner"": ""mozilla"",
          ""name"": ""fxapom""
      },
      {
          ""owner"": ""mozilla"",
          ""name"": ""fxtest-dashboard""
      },

      .....

      ],
      ""api_token"": ""692aadd2c9789a337c4d3544787f101ad8c35bc7""
}
```

Within the FeedController, the `""repos""` array also becomes the data structure to hold the array of issues for each repository, so each repo object also contains its own issues. The original app contatined two separate arrays.

The `issues` array  is _only_ added to each `repo` object _if open issues exist_.

___

# main.js

### IIFE
Wrapping the code in an [IIFE](https://en.wikipedia.org/wiki/Immediately-invoked_function_expression)
`()();` prevents declared variables and functions from overflowing out of the scope.

### 'use strict'
Specifying `'use strict';` will throw errors that will otherwise have been ignored.


### ""Modularized""
I moved all module artifacts&#8212;controllers, directives, services, etc.&#8212;into separate files.
This both improves organization, and improves code reusability.

All module artifact files are found in `src/dashboard/`, following the pattern of `[name].controller.js`, `[name].filter.js`, `[name].template.html`, etc.

### Dependency Injection
The app is currently lacking dependency injection on both controllers&#8212;
`FeedController.$inject = ['$scope', 'GitHubIssueFeedService']` which protects the code from minification.

### DOM Manipulation

Throughout the app, there are several places where the code is directly manipulating the DOM, as with jQuery.
Being an [MVVM Framework](https://en.wikipedia.org/wiki/Model%E2%80%93view%E2%80%93viewmodel), this is not
recommended, as this can be done dynamically with AngularJS.

### jQuery

Much of the logic in the app is done via jQuery, not Angular. There are much simpler and more efficent
ways to implement the functionality using controllers, services, directives, etc.

### $routeProvider

Using `$routeProvider` (main.js line 15) is unnecessary for this app. Instead of
having two separate pages for Issues and Pull Requests, (since pull requests are issues),
you can use the same template and filter for pull requests when viewing the Pull Requests Page.

### Redundant Code
There are many places in the app where redundant code is used.

- IssuesController & PullRequestsController
  - These controllers are virtually the same, except the latter filters the data down to just pull requests.
  - The logic of showing only pull requests can be done using Angular filters and `ng-if` statements.
  - The controllers also set up redundant data structures, when all of the data
  can be accessed within the objects retrieved from the API


- Within the Controllers, there is a `forEach` loop (lines 65 & 165) that sets up
the display properties (should issue/repository be shown or not?). This can be done
automatically and dynamically with AngularJS.

- Line 85: `$scope.toggleRepo` is a function to show/hide repository when arrow
is clicked. Can be done using Angular's `ng-click` and `ng-show`.

- Line 89: `$scope.showHideIssues` is a function that loops through all of the data
every time something changes to determine whether or not it should be shown. All
it is unnecessary, the logic can be implemented using Angular filters and directives.

### Custom Directives

I have created several custom directives for blocks of code that are reused, i.e. `<github-repository>`
 and `<filter-list>`. Directives are comprised of a declaration file `[name].directive.js`, and a template file `[name].template.html`.

### Custom Service

I creatd the `issueFeed` service to handle JSON calls, passing the data to the `FeedController`.
___

# aggregator.js

This file handles most of the logic. All of the code in this file can be
incorporated into main.js within controllers, services, filters, etc. It makes
the API calls, and declares the data structures for the repositories and issues.

It is also guilty of using jQuery for almost all of the logic. Everything in
I have broken down into functions within GitHubIssueFeedService and FeedController.

Instead of using jQuery's getJSON method, we can utilize Angular's `$http` service.
This also eliminates the need for the paramaters in our API URL, as the $http service
can take `params: {}` and parse them appropriately.
___

# Issues Addressed

### Issue #52

While creating filter functionality, I decided to also address [Issue #52](https://github.com/mozilla/fxtest-dashboard/issues/52) to avoid rewriting the filters later.

Is Assigned filter is now a checkbox. Uncheck All links have been added.

### Issue #60

Also addressing this issue to avoid later rewrite. Labels are now pulled from the found open issues  [Issue #60](https://github.com/mozilla/fxtest-dashboard/issues/60)

___

# Mozilla Style Guides


I have begun editing all of the CSS, HTML, and JS to follow Mozilla's
[style guides](http://mozweb.readthedocs.io/en/latest/reference/index.html).

I also add comments next to closing tags in HTML, as a preference, to make it
easier on both myself and anyone else who may read the code after me.
",kimberlythegeek,18633586,2016-12-02T06:11:06Z,NONE,False,1001,866,39,GitHub dashboard for Firefox Test Engineering,HTML,361ed2ae57b162acad3435d3102ca351a00804b8,rewriting main.js to use 'the angular way'
9,https://api.github.com/repos/mozilla/fxtest-dashboard/pulls/78,78,Angular ify,"_Note: There are still style changes I'd like to make, but this branch is functionally on par with the current one. Default view of issues is now set to collapsed, and repos will not show if they contain no issues meeting the filter criteria._

__Notes on current code base:__
<a href=""http://docs.google.com/gview?url=https://github.com/mozilla/fxtest-dashboard/files/593192/fxtest-dashboard-angularify.pdf&embedded=true"">View on Google Docs</a>
[Download PDF](https://github.com/mozilla/fxtest-dashboard/files/593192/fxtest-dashboard-angularify.pdf)


_I welcome your feedback._

 _/kimberlythegeek_

___

# Notes on App Refactor

###### Rewrite App to use the ""Angular way""
###### Reduce Redundant Code
###### Improve Efficiency & Data Organization
###### Make Code More Modular & Reusable

## Contents

- [config.json](#configjson)
- [main.js](#mainjs)
  - [IIFE](#iife)
  - ['use strict'](#use-strict)
  - [Instantiation](#instantiation)
  - [Dependency Injection](#dependency-injection)
  - [DOM Manipulation](#dom-manipulation)
  - [jQuery](#jquery)
  - [$routeProvider](#routeprovider)
- [aggregator.js](#aggregatorjs)
- [Issues Addressed](#issues-addressed)
    - [#52](#issue-52)
    - [#60](#issue-60)
- [Mozilla Style Guides](#mozilla-style-guides)

___

# config.json

```
{
  ""repos"": [
    ""https://github.com/mozilla/Addon-Tests"",
    ""https://github.com/mozilla/bidpom"",
    ""https://github.com/mozilla/fxapom"",
    ""https://github.com/mozilla/fxtestbot"",
    ""https://github.com/mozilla/hello-tests"",
    ""https://github.com/mozilla/moz-grid-config"",
    ""https://github.com/mozilla/mozillians-tests"",

    .....

  ],
  ""api_token"": ""692aadd2c9789a337c4d3544787f101ad8c35bc7""
}
```

Rather than an array of URLs, I restructed the `repos` array to contain Object Literals.
Including `https://github.com/` in every entry is redundant, becuase it will always be the same.

This also adds the redundant task of extracting the `owner` and `name` of the repository from each entry.

The new structure is as follows:

```
{
  ""repos"": [
      {
          ""owner"": ""mozilla"",
          ""name"": ""Addon-Tests""
      },
      {
          ""owner"": ""mozilla"",
          ""name"": ""bidpom""
      },
      {
          ""owner"": ""mozilla"",
          ""name"": ""fxapom""
      },
      {
          ""owner"": ""mozilla"",
          ""name"": ""fxtest-dashboard""
      },

      .....

      ],
      ""api_token"": ""692aadd2c9789a337c4d3544787f101ad8c35bc7""
}
```

Within the FeedController, the `""repos""` array also becomes the data structure to hold the array of issues for each repository, so each repo object also contains its own issues. The original app contatined two separate arrays.

The `issues` array  is _only_ added to each `repo` object _if open issues exist_.

___

# main.js

### IIFE
Wrapping the code in an [IIFE](https://en.wikipedia.org/wiki/Immediately-invoked_function_expression)
`()();` prevents declared variables and functions from overflowing out of the scope.

### 'use strict'
Specifying `'use strict';` will throw errors that will otherwise have been ignored.


### ""Modularized""
I moved all module artifacts&#8212;controllers, directives, services, etc.&#8212;into separate files.
This both improves organization, and improves code reusability.

All module artifact files are found in `src/dashboard/`, following the pattern of `[name].controller.js`, `[name].filter.js`, `[name].template.html`, etc.

### Dependency Injection
The app is currently lacking dependency injection on both controllers&#8212;
`FeedController.$inject = ['$scope', 'GitHubIssueFeedService']` which protects the code from minification.

### DOM Manipulation

Throughout the app, there are several places where the code is directly manipulating the DOM, as with jQuery.
Being an [MVVM Framework](https://en.wikipedia.org/wiki/Model%E2%80%93view%E2%80%93viewmodel), this is not
recommended, as this can be done dynamically with AngularJS.

### jQuery

Much of the logic in the app is done via jQuery, not Angular. There are much simpler and more efficent
ways to implement the functionality using controllers, services, directives, etc.

### $routeProvider

Using `$routeProvider` (main.js line 15) is unnecessary for this app. Instead of
having two separate pages for Issues and Pull Requests, (since pull requests are issues),
you can use the same template and filter for pull requests when viewing the Pull Requests Page.

### Redundant Code
There are many places in the app where redundant code is used.

- IssuesController & PullRequestsController
  - These controllers are virtually the same, except the latter filters the data down to just pull requests.
  - The logic of showing only pull requests can be done using Angular filters and `ng-if` statements.
  - The controllers also set up redundant data structures, when all of the data
  can be accessed within the objects retrieved from the API


- Within the Controllers, there is a `forEach` loop (lines 65 & 165) that sets up
the display properties (should issue/repository be shown or not?). This can be done
automatically and dynamically with AngularJS.

- Line 85: `$scope.toggleRepo` is a function to show/hide repository when arrow
is clicked. Can be done using Angular's `ng-click` and `ng-show`.

- Line 89: `$scope.showHideIssues` is a function that loops through all of the data
every time something changes to determine whether or not it should be shown. All
it is unnecessary, the logic can be implemented using Angular filters and directives.

### Custom Directives

I have created several custom directives for blocks of code that are reused, i.e. `<github-repository>`
 and `<filter-list>`. Directives are comprised of a declaration file `[name].directive.js`, and a template file `[name].template.html`.

### Custom Service

I creatd the `issueFeed` service to handle JSON calls, passing the data to the `FeedController`.
___

# aggregator.js

This file handles most of the logic. All of the code in this file can be
incorporated into main.js within controllers, services, filters, etc. It makes
the API calls, and declares the data structures for the repositories and issues.

It is also guilty of using jQuery for almost all of the logic. Everything in
I have broken down into functions within GitHubIssueFeedService and FeedController.

Instead of using jQuery's getJSON method, we can utilize Angular's `$http` service.
This also eliminates the need for the paramaters in our API URL, as the $http service
can take `params: {}` and parse them appropriately.
___

# Issues Addressed

### Issue #52

While creating filter functionality, I decided to also address [Issue #52](https://github.com/mozilla/fxtest-dashboard/issues/52) to avoid rewriting the filters later.

Is Assigned filter is now a checkbox. Uncheck All links have been added.

### Issue #60

Also addressing this issue to avoid later rewrite. Labels are now pulled from the found open issues  [Issue #60](https://github.com/mozilla/fxtest-dashboard/issues/60)

___

# Mozilla Style Guides


I have begun editing all of the CSS, HTML, and JS to follow Mozilla's
[style guides](http://mozweb.readthedocs.io/en/latest/reference/index.html).

I also add comments next to closing tags in HTML, as a preference, to make it
easier on both myself and anyone else who may read the code after me.
",kimberlythegeek,18633586,2016-12-02T06:11:06Z,NONE,False,1001,866,39,GitHub dashboard for Firefox Test Engineering,HTML,1f95361283a0cb11458b5cbb177ac2a9cf142a74,"instatiated custom directives for repos, issues, and pull requests"
