,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/geodude/pulls/9,9,fabfile: update to include jenkins deploy targets.,"r? @oremj 
",jasonthomas,910992,2015-01-29T17:32:05Z,MEMBER,True,26,0,1,Geolocation via IP address using Maxmind location databases.,Python,1e1d5d31b46cd2410ea5d6a3291407e3957460f2,fabfile: update to include jenkins deploy targets.
1,https://api.github.com/repos/mozilla/geodude/pulls/8,8,Update NewRelic.,"- Removed custom newrelic.ini to avoid mixups with WebOps configuration
- Read config from NEWRELIC_PYTHON_INI_FILE
",glogiotatidis,584352,2015-01-15T12:14:15Z,CONTRIBUTOR,True,2,213,2,Geolocation via IP address using Maxmind location databases.,Python,381972f31417520eaa537c48cdcf3d3bd6736f68,"Update NewRelic.

- Removed custom newrelic.ini to avoid mixups with WebOps configuration
- Read config from NEWRELIC_PYTHON_INI_FILE"
2,https://api.github.com/repos/mozilla/geodude/pulls/7,7,Add NewRelic.,,glogiotatidis,584352,2015-01-09T10:32:55Z,CONTRIBUTOR,True,230,0,4,Geolocation via IP address using Maxmind location databases.,Python,d552e2be39c3b7240dbfa1986881d00be1fbf798,Add NewRelic.
3,https://api.github.com/repos/mozilla/geodude/pulls/6,6,make service.wsgi work with mod_wsgi,"Not entirely sure how well this works on uwsgi or gunicorn, but I think it should be safe... everything being added is just things that help to find the ""geodude"" module if the environment can't by itself.

This makes it possible to run this in a virtualenv using Apache/mod_wsgi.
",superawesome,1141442,2014-10-10T21:38:13Z,NONE,False,6,0,1,Geolocation via IP address using Maxmind location databases.,Python,016f5971627543acbda43623b8992d28c146d2ff,"make service.wsgi work with mod_wsgi

Not entirely sure how well this works on uwsgi or gunicorn, but I think it should be safe... everything being added is just things that help to find the ""geodude"" module if the environment can't by itself.

This makes it possible to run this in a virtualenv using Apache/mod_wsgi."
4,https://api.github.com/repos/mozilla/geodude/pulls/5,5,Update wsgi file name and move into wsgi directory.,"r? @oremj
",jasonthomas,910992,2014-05-27T13:51:45Z,MEMBER,True,1,0,3,Geolocation via IP address using Maxmind location databases.,Python,2537fda868704eb7b59aeae9645e1f1e76b80290,Update wsgi file name and move into wsgi directory.
5,https://api.github.com/repos/mozilla/geodude/pulls/4,4,add maxminddb support (bug 984606),"also reorganized the code to test with less mocks.
",washort,947487,2014-03-19T21:31:00Z,CONTRIBUTOR,True,165,98,7,Geolocation via IP address using Maxmind location databases.,Python,034f29d0c1681c2787fd343e22c8eb3f2b29aa00,add maxminddb support (bug 984606)
6,https://api.github.com/repos/mozilla/geodude/pulls/3,3,"Added commander for update/deploy, updates to prod requirements",,jasonthomas,910992,2013-04-02T16:50:06Z,MEMBER,True,113,1,3,Geolocation via IP address using Maxmind location databases.,Python,e8168b24df1886774cd4460d68b439f723a5566a,Add commander support so that we can push via chief
7,https://api.github.com/repos/mozilla/geodude/pulls/3,3,"Added commander for update/deploy, updates to prod requirements",,jasonthomas,910992,2013-04-02T16:50:06Z,MEMBER,True,113,1,3,Geolocation via IP address using Maxmind location databases.,Python,26a983a2c7ee587b44f6ba471d1dc3bcb631e52d,Add gunicorn to prod requirements
8,https://api.github.com/repos/mozilla/geodude/pulls/3,3,"Added commander for update/deploy, updates to prod requirements",,jasonthomas,910992,2013-04-02T16:50:06Z,MEMBER,True,113,1,3,Geolocation via IP address using Maxmind location databases.,Python,9ad9392e4bab4e7474c6ef17cfd4fcd3ce0dad17,Do not write git rev info to media/git-rev.txt
9,https://api.github.com/repos/mozilla/geodude/pulls/3,3,"Added commander for update/deploy, updates to prod requirements",,jasonthomas,910992,2013-04-02T16:50:06Z,MEMBER,True,113,1,3,Geolocation via IP address using Maxmind location databases.,Python,fd837ae5fbad48637c6d243d89e8200264f6398f,Remove update_geodb task
