,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/13,13,chore(deps): bump yargs-parser from 13.1.1 to 13.1.2,"Bumps [yargs-parser](https://github.com/yargs/yargs-parser) from 13.1.1 to 13.1.2.
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""https://github.com/yargs/yargs-parser/blob/master/docs/CHANGELOG-full.md"">yargs-parser's changelog</a>.</em></p>
<blockquote>
<h2><a href=""https://github.com/yargs/yargs-parser/compare/v14.0.0...v15.0.0"">15.0.0</a> (2019-10-07)</h2>
<h3>Features</h3>
<ul>
<li>rework <code>collect-unknown-options</code> into <code>unknown-options-as-args</code>, providing more comprehensive functionality (<a href=""https://github.com/yargs/yargs-parser/commit/ef771ca"">ef771ca</a>)</li>
</ul>
<h3>BREAKING CHANGES</h3>
<ul>
<li>rework <code>collect-unknown-options</code> into <code>unknown-options-as-args</code>, providing more comprehensive functionality</li>
</ul>
<h2><a href=""https://github.com/yargs/yargs-parser/compare/v13.1.1...v14.0.0"">14.0.0</a> (2019-09-06)</h2>
<h3>Bug Fixes</h3>
<ul>
<li>boolean arrays with default values (<a href=""https://github-redirect.dependabot.com/yargs/yargs-parser/issues/185"">#185</a>) (<a href=""https://github.com/yargs/yargs-parser/commit/7d42572"">7d42572</a>)</li>
<li>boolean now behaves the same as other array types (<a href=""https://github-redirect.dependabot.com/yargs/yargs-parser/issues/184"">#184</a>) (<a href=""https://github.com/yargs/yargs-parser/commit/17ca3bd"">17ca3bd</a>)</li>
<li>eatNargs() for 'opt.narg === 0' and boolean typed options (<a href=""https://github-redirect.dependabot.com/yargs/yargs-parser/issues/188"">#188</a>) (<a href=""https://github.com/yargs/yargs-parser/commit/c5a1db0"">c5a1db0</a>)</li>
<li>maybeCoerceNumber now takes precedence over coerce return value (<a href=""https://github-redirect.dependabot.com/yargs/yargs-parser/issues/182"">#182</a>) (<a href=""https://github.com/yargs/yargs-parser/commit/2f26436"">2f26436</a>)</li>
<li>take into account aliases when appending arrays from config object (<a href=""https://github-redirect.dependabot.com/yargs/yargs-parser/issues/199"">#199</a>) (<a href=""https://github.com/yargs/yargs-parser/commit/f8a2d3f"">f8a2d3f</a>)</li>
</ul>
<h3>Features</h3>
<ul>
<li>add configuration option to &quot;collect-unknown-options&quot; (<a href=""https://github-redirect.dependabot.com/yargs/yargs-parser/issues/181"">#181</a>) (<a href=""https://github.com/yargs/yargs-parser/commit/7909cc4"">7909cc4</a>)</li>
<li>maybeCoerceNumber() now takes into account arrays (<a href=""https://github-redirect.dependabot.com/yargs/yargs-parser/issues/187"">#187</a>) (<a href=""https://github.com/yargs/yargs-parser/commit/31c204b"">31c204b</a>)</li>
</ul>
<h3>BREAKING CHANGES</h3>
<ul>
<li>unless &quot;parse-numbers&quot; is set to &quot;false&quot;, arrays of numeric strings are now parsed as numbers, rather than strings.</li>
<li>we have dropped the broken &quot;defaulted&quot; functionality; we would like to revisit adding this in the future.</li>
<li>maybeCoerceNumber now takes precedence over coerce return value (<a href=""https://github-redirect.dependabot.com/yargs/yargs-parser/issues/182"">#182</a>)</li>
</ul>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li>See full diff in <a href=""https://github.com/yargs/yargs-parser/commits"">compare view</a></li>
</ul>
</details>
<details>
<summary>Maintainer changes</summary>
<p>This version was pushed to npm by <a href=""https://www.npmjs.com/~oss-bot"">oss-bot</a>, a new releaser for yargs-parser since your current version.</p>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=yargs-parser&package-manager=npm_and_yarn&previous-version=13.1.1&new-version=13.1.2)](https://docs.github.com/en/github/managing-security-vulnerabilities/configuring-github-dependabot-security-updates)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/mozilla/grunt-l10n-lint/network/alerts).

</details>",dependabot[bot],49699333,2020-09-11T22:28:22Z,CONTRIBUTOR,True,9,11,1,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,31f72ecd39ba03ae9939139e6ec52070b792d64c,"chore(deps): bump yargs-parser from 13.1.1 to 13.1.2

Bumps [yargs-parser](https://github.com/yargs/yargs-parser) from 13.1.1 to 13.1.2.
- [Release notes](https://github.com/yargs/yargs-parser/releases)
- [Changelog](https://github.com/yargs/yargs-parser/blob/master/docs/CHANGELOG-full.md)
- [Commits](https://github.com/yargs/yargs-parser/commits)

Signed-off-by: dependabot[bot] <support@github.com>"
1,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/12,12,chore(deps): bump handlebars from 4.5.1 to 4.7.6,"Bumps [handlebars](https://github.com/wycats/handlebars.js) from 4.5.1 to 4.7.6.
<details>
<summary>Changelog</summary>
<p><em>Sourced from <a href=""https://github.com/handlebars-lang/handlebars.js/blob/master/release-notes.md"">handlebars's changelog</a>.</em></p>
<blockquote>
<h2>v4.7.6 - April 3rd, 2020</h2>
<p>Chore/Housekeeping:</p>
<ul>
<li><a href=""https://github-redirect.dependabot.com/wycats/handlebars.js/issues/1672"">#1672</a> - Switch cmd parser to latest minimist (<a href=""https://api.github.com/users/dougwilson"">@dougwilson</a></li>
</ul>
<p>Compatibility notes:</p>
<ul>
<li>Restored Node.js compatibility</li>
</ul>
<p><a href=""https://github.com/wycats/handlebars.js/compare/v4.7.5...v4.7.6"">Commits</a></p>
<h2>v4.7.5 - April 2nd, 2020</h2>
<p>Chore/Housekeeping:</p>
<ul>
<li><del>Node.js version support has been changed to v6+</del> Reverted in 4.7.6</li>
</ul>
<p>Compatibility notes:</p>
<ul>
<li><del>Node.js &lt; v6 is no longer supported</del> Reverted in 4.7.6</li>
</ul>
<p><a href=""https://github.com/wycats/handlebars.js/compare/v4.7.4...v4.7.5"">Commits</a></p>
<h2>v4.7.4 - April 1st, 2020</h2>
<p>Chore/Housekeeping:</p>
<ul>
<li><a href=""https://github-redirect.dependabot.com/wycats/handlebars.js/issues/1666"">#1666</a> - Replaced minimist with yargs for handlebars CLI (<a href=""https://api.github.com/users/aorinevo"">@aorinevo</a>, <a href=""https://api.github.com/users/AviVahl"">@AviVahl</a> &amp; <a href=""https://api.github.com/users/fabb"">@fabb</a>)</li>
</ul>
<p>Compatibility notes:</p>
<ul>
<li>No incompatibilities are to be expected</li>
</ul>
<p><a href=""https://github.com/wycats/handlebars.js/compare/v4.7.3...v4.7.4"">Commits</a></p>
<h2>v4.7.3 - February 5th, 2020</h2>
<p>Chore/Housekeeping:</p>
<ul>
<li><a href=""https://github-redirect.dependabot.com/wycats/handlebars.js/issues/1644"">#1644</a> - Download links to aws broken on handlebarsjs.com - access denied (<a href=""https://api.github.com/users/Tea56"">@Tea56</a>)</li>
<li>Fix spelling and punctuation in changelog - d78cc73</li>
</ul>
<p>Bugfixes:</p>
<ul>
<li>Add Type Definition for Handlebars.VERSION, Fixes <a href=""https://github-redirect.dependabot.com/wycats/handlebars.js/issues/1647"">#1647</a> - 4de51fe</li>
<li>Include Type Definition for runtime.js in Package - a32d05f</li>
</ul>
<p>Compatibility notes:</p>
<!-- raw HTML omitted -->
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/e6ad93ea01bcde1f8ddaa4b4ebe572dd616abfaa""><code>e6ad93e</code></a> v4.7.6</li>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/2bf4fc6fd3ae3d8f076d628653f284d85faebeb4""><code>2bf4fc6</code></a> Update release notes</li>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/b64202bc9197307bd785a58693e3820eb9bb41a8""><code>b64202b</code></a> Update release-notes.md</li>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/c2f1e6203178918569f085e12afdb762cae17fb0""><code>c2f1e62</code></a> Switch cmd parser to latest minimist</li>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/08e9a11a34c3ad8387a0b85b1334f97cab85191a""><code>08e9a11</code></a> Revert &quot;chore: set Node.js compatibility to v6+&quot;</li>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/1fd2edee2a12fb228061fcde807905c6b14339c4""><code>1fd2ede</code></a> v4.7.5</li>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/3c9c2f5cf29cf10f54d5fe4daca6b24b65f0adcf""><code>3c9c2f5</code></a> Update release notes</li>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/16487a088e13f4d52c6fd6610b9ec71c4a51be8a""><code>16487a0</code></a> chore: downgrade yargs to v14</li>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/309d2b49a11628d2a8f052c5587e7459968cd705""><code>309d2b4</code></a> chore: set Node.js compatibility to v6+</li>
<li><a href=""https://github.com/handlebars-lang/handlebars.js/commit/645ac73844918668f9a2f41e49b7cb18ce5abf36""><code>645ac73</code></a> test: fix integration tests</li>
<li>Additional commits viewable in <a href=""https://github.com/wycats/handlebars.js/compare/v4.5.1...v4.7.6"">compare view</a></li>
</ul>
</details>
<details>
<summary>Maintainer changes</summary>
<p>This version was pushed to npm by <a href=""https://www.npmjs.com/~erisds"">erisds</a>, a new releaser for handlebars since your current version.</p>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=handlebars&package-manager=npm_and_yarn&previous-version=4.5.1&new-version=4.7.6)](https://docs.github.com/en/github/managing-security-vulnerabilities/configuring-github-dependabot-security-updates)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/mozilla/grunt-l10n-lint/network/alerts).

</details>",dependabot[bot],49699333,2020-09-10T01:16:48Z,CONTRIBUTOR,False,20,29,1,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,09a5eb0a1eb3eefa177e79a4bef90b11c436ed74,"chore(deps): bump handlebars from 4.5.1 to 4.7.6

Bumps [handlebars](https://github.com/wycats/handlebars.js) from 4.5.1 to 4.7.6.
- [Release notes](https://github.com/wycats/handlebars.js/releases)
- [Changelog](https://github.com/handlebars-lang/handlebars.js/blob/master/release-notes.md)
- [Commits](https://github.com/wycats/handlebars.js/compare/v4.5.1...v4.7.6)

Signed-off-by: dependabot[bot] <support@github.com>"
2,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/11,11,chore(deps): bump lodash from 4.17.15 to 4.17.19,"Bumps [lodash](https://github.com/lodash/lodash) from 4.17.15 to 4.17.19.
<details>
<summary>Release notes</summary>
<p><em>Sourced from <a href=""https://github.com/lodash/lodash/releases"">lodash's releases</a>.</em></p>
<blockquote>
<h2>4.17.16</h2>
</blockquote>
</details>
<details>
<summary>Commits</summary>
<ul>
<li><a href=""https://github.com/lodash/lodash/commit/d7fbc52ee0466a6d248f047b5d5c3e6d1e099056""><code>d7fbc52</code></a> Bump to v4.17.19</li>
<li><a href=""https://github.com/lodash/lodash/commit/2e1c0f22f425e9c013815b2cd7c2ebd51f49a8d6""><code>2e1c0f2</code></a> Add npm-package</li>
<li><a href=""https://github.com/lodash/lodash/commit/1b6c282299f4e0271f932b466c67f0f822aa308e""><code>1b6c282</code></a> Bump to v4.17.18</li>
<li><a href=""https://github.com/lodash/lodash/commit/a370ac81408de2da77a82b3c4b61a01a3b9c2fac""><code>a370ac8</code></a> Bump to v4.17.17</li>
<li><a href=""https://github.com/lodash/lodash/commit/1144918f3578a84fcc4986da9b806e63a6175cbb""><code>1144918</code></a> Rebuild lodash and docs</li>
<li><a href=""https://github.com/lodash/lodash/commit/3a3b0fd339c2109563f7e8167dc95265ed82ef3e""><code>3a3b0fd</code></a> Bump to v4.17.16</li>
<li><a href=""https://github.com/lodash/lodash/commit/c84fe82760fb2d3e03a63379b297a1cc1a2fce12""><code>c84fe82</code></a> fix(zipObjectDeep): prototype pollution (<a href=""https://github-redirect.dependabot.com/lodash/lodash/issues/4759"">#4759</a>)</li>
<li><a href=""https://github.com/lodash/lodash/commit/e7b28ea6cb17b4ca021e7c9d66218c8c89782f32""><code>e7b28ea</code></a> Sanitize sourceURL so it cannot affect evaled code (<a href=""https://github-redirect.dependabot.com/lodash/lodash/issues/4518"">#4518</a>)</li>
<li><a href=""https://github.com/lodash/lodash/commit/0cec225778d4ac26c2bac95031ecc92a94f08bbb""><code>0cec225</code></a> Fix lodash.isEqual for circular references (<a href=""https://github-redirect.dependabot.com/lodash/lodash/issues/4320"">#4320</a>) (<a href=""https://github-redirect.dependabot.com/lodash/lodash/issues/4515"">#4515</a>)</li>
<li><a href=""https://github.com/lodash/lodash/commit/94c3a8133cb4fcdb50db72b4fd14dd884b195cd5""><code>94c3a81</code></a> Document matches* shorthands for over* methods (<a href=""https://github-redirect.dependabot.com/lodash/lodash/issues/4510"">#4510</a>) (<a href=""https://github-redirect.dependabot.com/lodash/lodash/issues/4514"">#4514</a>)</li>
<li>Additional commits viewable in <a href=""https://github.com/lodash/lodash/compare/4.17.15...4.17.19"">compare view</a></li>
</ul>
</details>
<details>
<summary>Maintainer changes</summary>
<p>This version was pushed to npm by <a href=""https://www.npmjs.com/~mathias"">mathias</a>, a new releaser for lodash since your current version.</p>
</details>
<br />


[![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=lodash&package-manager=npm_and_yarn&previous-version=4.17.15&new-version=4.17.19)](https://help.github.com/articles/configuring-automated-security-fixes)

Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.

[//]: # (dependabot-automerge-start)
[//]: # (dependabot-automerge-end)

---

<details>
<summary>Dependabot commands and options</summary>
<br />

You can trigger Dependabot actions by commenting on this PR:
- `@dependabot rebase` will rebase this PR
- `@dependabot recreate` will recreate this PR, overwriting any edits that have been made to it
- `@dependabot merge` will merge this PR after your CI passes on it
- `@dependabot squash and merge` will squash and merge this PR after your CI passes on it
- `@dependabot cancel merge` will cancel a previously requested merge and block automerging
- `@dependabot reopen` will reopen this PR if it is closed
- `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually
- `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself)
- `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)
- `@dependabot use these labels` will set the current labels as the default for future PRs for this repo and language
- `@dependabot use these reviewers` will set the current reviewers as the default for future PRs for this repo and language
- `@dependabot use these assignees` will set the current assignees as the default for future PRs for this repo and language
- `@dependabot use this milestone` will set the current milestone as the default for future PRs for this repo and language

You can disable automated security fix PRs for this repo from the [Security Alerts page](https://github.com/mozilla/grunt-l10n-lint/network/alerts).

</details>",dependabot[bot],49699333,2020-07-18T18:55:29Z,CONTRIBUTOR,True,3,3,1,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,dadfd3324a7566723399649637e70d99a671e30c,"chore(deps): bump lodash from 4.17.15 to 4.17.19

Bumps [lodash](https://github.com/lodash/lodash) from 4.17.15 to 4.17.19.
- [Release notes](https://github.com/lodash/lodash/releases)
- [Commits](https://github.com/lodash/lodash/compare/4.17.15...4.17.19)

Signed-off-by: dependabot[bot] <support@github.com>"
3,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/10,10,chore(release): 0.0.3,,shane-tomlinson,848085,2019-11-11T19:21:18Z,MEMBER,True,6,2,3,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,365ef11b49aac27d4cff0d30254852517f1d5293,chore(release): 0.0.3
4,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/9,9,fix(lint): Fix self closing tags,"Self closing tags do not cause `onclosetag` to be called,
which caused those tags to be considered still open when
the string terminates.

For self closing tags, manually call onclosetag to ensure
the element is popped off the stack and the tests complete
as expected.

fixes #7

@mozilla/fxa-core - r?",shane-tomlinson,848085,2019-11-11T17:43:55Z,MEMBER,True,3850,218,13,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,c705597a6b808873d0307f6a77af772199e8b192,"chore(deps): Update dependencies

Also replace npm-shrinkwrap.json with package-lock.json,
as well as ditch JSCS since we have eslint."
5,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/9,9,fix(lint): Fix self closing tags,"Self closing tags do not cause `onclosetag` to be called,
which caused those tags to be considered still open when
the string terminates.

For self closing tags, manually call onclosetag to ensure
the element is popped off the stack and the tests complete
as expected.

fixes #7

@mozilla/fxa-core - r?",shane-tomlinson,848085,2019-11-11T17:43:55Z,MEMBER,True,3850,218,13,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,a6aaec2d92fc124a87aa5bb5a248e5268b66f61d,"fix(lint): Fix self closing tags

Self closing tags to not cause `onclosetag` to be called,
which caused those tags to be considered still open when
the string terminates.

For self closing tags, manually call onclosetag to ensure
the element is popped off the stack and the tests complete
as expected.

fixes #7"
6,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/9,9,fix(lint): Fix self closing tags,"Self closing tags do not cause `onclosetag` to be called,
which caused those tags to be considered still open when
the string terminates.

For self closing tags, manually call onclosetag to ensure
the element is popped off the stack and the tests complete
as expected.

fixes #7

@mozilla/fxa-core - r?",shane-tomlinson,848085,2019-11-11T17:43:55Z,MEMBER,True,3850,218,13,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,4d7fbd4508e5a3280adeebdc735e7ec3fa7b64f5,chore(l10n): Method renaming for clarity
7,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/8,8,chore(deps): Update dependencies,"Also replace npm-shrinkwrap.json with package-lock.json,
as well as ditch JSCS since we have eslint.

@mozilla/fxa-core - r?",shane-tomlinson,848085,2019-11-11T16:47:23Z,MEMBER,True,3739,172,8,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,c705597a6b808873d0307f6a77af772199e8b192,"chore(deps): Update dependencies

Also replace npm-shrinkwrap.json with package-lock.json,
as well as ditch JSCS since we have eslint."
8,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/6,6,Add Mozilla Code of Conduct,"Fixes #5


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-29T21:51:18Z,CONTRIBUTOR,True,15,0,1,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,aff5ad3a3565daa4090c9b114e09ac0dbe70478c,"Add Mozilla Code of Conduct file

Fixes #5.

_(Message COC002)_"
9,https://api.github.com/repos/mozilla/grunt-l10n-lint/pulls/3,3,fix(lint): Ensure proper nesting of open/close tag brackets.,"`> <` is now considered bad HTML.

fixes #2 

@rfk - r?
",shane-tomlinson,848085,2015-09-21T22:36:51Z,MEMBER,True,56,27,2,A grunt task to check l10n .po files for unexpected/malformed HTML.,JavaScript,773f1fa2557cc5daeae39f5d5f81fc302adf0e9f,"fix(lint): Ensure proper nesting of open/close tag brackets.

`> <` is now considered bad HTML.

fixes #2"
