,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/identity-ops/pulls/173,173,loop to get all the stacks (limited to 120 on each pass),"Yo @gene1wood, can you r=?
",jrgm,758162,2015-01-29T03:53:09Z,CONTRIBUTOR,True,11,3,2,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,6521e698ff10218340bbec31efe840a7d77f8435,loop to get all the stacks (limited to 120 on each pass)
1,https://api.github.com/repos/mozilla/identity-ops/pulls/173,173,loop to get all the stacks (limited to 120 on each pass),"Yo @gene1wood, can you r=?
",jrgm,758162,2015-01-29T03:53:09Z,CONTRIBUTOR,True,11,3,2,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,4c49eafcaf126842c646b92e29bb2f09e40678c9,"loop to get all the stacks, and a performance tweak"
2,https://api.github.com/repos/mozilla/identity-ops/pulls/165,165,bid pentaho is dead. purging pentaho from persona webheads.,"EDIT: topic changed from `bid metrics is dead. purging metrics from persona webheads.` to `bid pentaho is dead. purging pentaho from persona webheads.`
",relud,433717,2014-07-18T00:12:51Z,CONTRIBUTOR,True,42,8666,26,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,c83c39112621ad4551c3df8acd232698eef5ec6e,bid metrics is dead. purging metrics from persona webheads.
3,https://api.github.com/repos/mozilla/identity-ops/pulls/165,165,bid pentaho is dead. purging pentaho from persona webheads.,"EDIT: topic changed from `bid metrics is dead. purging metrics from persona webheads.` to `bid pentaho is dead. purging pentaho from persona webheads.`
",relud,433717,2014-07-18T00:12:51Z,CONTRIBUTOR,True,42,8666,26,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,9d48f3fabc178b8778fc7a2be3d81699831231d4,remove metrics cookbook
4,https://api.github.com/repos/mozilla/identity-ops/pulls/165,165,bid pentaho is dead. purging pentaho from persona webheads.,"EDIT: topic changed from `bid metrics is dead. purging metrics from persona webheads.` to `bid pentaho is dead. purging pentaho from persona webheads.`
",relud,433717,2014-07-18T00:12:51Z,CONTRIBUTOR,True,42,8666,26,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,e92ffa62fff09b2f4c373e7030533a1d850e6de1,be less specific with the persona logrotate job
5,https://api.github.com/repos/mozilla/identity-ops/pulls/165,165,bid pentaho is dead. purging pentaho from persona webheads.,"EDIT: topic changed from `bid metrics is dead. purging metrics from persona webheads.` to `bid pentaho is dead. purging pentaho from persona webheads.`
",relud,433717,2014-07-18T00:12:51Z,CONTRIBUTOR,True,42,8666,26,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,c31ff8c4b5364b1f545dae08d3030bd8484bf0fd,remove pentaho docs
6,https://api.github.com/repos/mozilla/identity-ops/pulls/163,163,fix persona-db monitor.rb recipe to properly include persona-common::monitor,"@gene1wood  does this seem right to you? this monitor recipe was failing before, but it seems to work with this change.
",relud,433717,2014-07-09T00:14:40Z,CONTRIBUTOR,True,2,0,1,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,7955ca620513386c4cbd9627387c34192c432c32,fix persona-db monitor.rb recipe to properly include persona-common::monitor
7,https://api.github.com/repos/mozilla/identity-ops/pulls/161,161,Enabling relay_log_purge,"so that MySQL purges old relay bin logs saving disk space.

We had 36GB of `mysqld-relay-bin.*` logs that were removed when this option was enabled (which had been filling our 50GB disks).

I want to get the db teams input on this.
",gene1wood,1134034,2014-06-26T10:23:58Z,MEMBER,True,1,1,1,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,6ba5b4ac413376873a05ac4582c7f859c66015f1,Enabling relay_log_purge so that MySQL purges old relay bin logs saving disk space
8,https://api.github.com/repos/mozilla/identity-ops/pulls/159,159,bump stack_control version to 1.0.1-1,,relud,433717,2014-06-20T18:45:44Z,CONTRIBUTOR,True,1,1,1,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,3a21278204f8c8916cfa2738ce15e352a3e6c73f,bump stack_control version to 1.0.1-1
9,https://api.github.com/repos/mozilla/identity-ops/pulls/157,157,"reduce stack size, to match 06/19 stack reduction change window","r? @gene1wood 
",relud,433717,2014-06-20T16:48:11Z,CONTRIBUTOR,True,10,10,2,Tools and Chef cookbooks used by Mozilla Services Operations to provision and manage Persona,Python,bbb64cc6e46d936d9e9c2e4e7b3c16c240bcbbf2,"reduce stack size, to match 06/19 stack reduction change window"
