,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/146,146,"Update references to EIS, infosec and the associated Bugzilla product","With the 2020 reorganization of security teams, there is no long an
Enterprise Information Security (EIS) / Infosec team. These responsibilities
now lie with the Security Assurance team and the Security Operations team (secops)",gene1wood,1134034,2021-03-12T23:00:49Z,MEMBER,True,18,25,12,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,71f588ab5d9f294afca4b7c4b7098b1cd3a360ce,"Update references to EIS, infosec and the associated Bugzilla product

With the 2020 reorganization of security teams, there is no long an
Enterprise Information Security (EIS) / Infosec team. These responsibilities
now lie with the Security Assurance team and the Security Operations team (secops)"
1,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/146,146,"Update references to EIS, infosec and the associated Bugzilla product","With the 2020 reorganization of security teams, there is no long an
Enterprise Information Security (EIS) / Infosec team. These responsibilities
now lie with the Security Assurance team and the Security Operations team (secops)",gene1wood,1134034,2021-03-12T23:00:49Z,MEMBER,True,18,25,12,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,024c1bd9d064c362ead0903ccdcf5d955ee6f3d8,Remove guidance on reporting security incidents
2,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/145,145,Augment the OpenSSH documentation on PAM and Duo,,gene1wood,1134034,2021-03-12T22:37:37Z,MEMBER,True,20,0,1,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,b2e85bd4d88268c6b5c88e89f8ad12f28b49f8a3,Augment the OpenSSH documentation on PAM and Duo
3,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/144,144,Add source SVG for OIDC sequence diagram,,gene1wood,1134034,2021-03-12T22:37:24Z,MEMBER,True,1,0,1,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,d12536821159d188212111d5687c5342639aee1e,Add source SVG for OIDC sequence diagram
4,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/143,143,Add a direct link to the RRA template,,gene1wood,1134034,2021-02-06T00:13:43Z,MEMBER,True,3,2,1,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,c96f4f9716c3a494a539ad8cb6fb3ed9f3ee09f1,Add a direct link to the RRA template
5,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/142,142,Fix broken link in openssh.md,"Fix broken link to ""Key management Guidelines"" in the OpenSSH server modern configuration section.",JEAlbr,25734354,2020-12-03T13:02:44Z,NONE,False,1,1,1,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,e2f9fa3c31fbf9b758e9133aa49cd6c52194fc2f,"Fix broken link in openssh.md

Fix broken link to ""Key management Guidelines"" in the OpenSSH server modern configuration section."
6,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/141,141,Update RRA document link to create a copy in the right folder,,gene1wood,1134034,2020-10-30T16:06:14Z,MEMBER,True,1,1,1,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,ace57e9c8d429476dcb47fbf3a3100d075ad8581,Update RRA document link to create a copy in the right folder
7,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/140,140,Remove members section,,claudijd,794283,2020-10-07T17:54:33Z,MEMBER,True,1,12,1,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,48848d92c2dee3ba944c0002a69fce85e46f7b56,Remove members section
8,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/138,138,"Revert ""Updating key_management link""",Reverts mozilla/infosec.mozilla.org#136,gene1wood,1134034,2020-08-26T03:37:09Z,MEMBER,True,1,1,1,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,4c3b12ab25e3f69c5472b9f9cd520d646afbaddb,"Revert ""Updating key_management link"""
9,https://api.github.com/repos/mozilla/infosec.mozilla.org/pulls/136,136,Updating key_management link,key_management.md is broken linking to https://infosec.mozilla.org/infosec.mozilla.org/guidelines/key_management.html.,FelixHeal,29487468,2020-07-23T22:05:00Z,CONTRIBUTOR,True,1,1,1,"Guidelines, principles published on https://infosec.mozilla.org",JavaScript,7562e79274f7343f7adda342b7c6fe010c3f8965,"Updating key_management link

key_management.md is broken linking to https://infosec.mozilla.org/infosec.mozilla.org/guidelines/key_management.html."
