,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/kuma-lib/pulls/53,53,Fix bug 1053849: Upgrade Django to 1.4.14.,,ubernostrum,12384,2014-08-20T22:39:49Z,CONTRIBUTOR,True,1,1,1,Vendor library for Kuma,Python,524a0eed267dbfb5d8c56dc1b246558b490b4c9d,Fix bug 1053849: Upgrade Django to 1.4.14.
1,https://api.github.com/repos/mozilla/kuma-lib/pulls/52,52,Fix bug 1053849: Upgrade Django to 1.4.14.,,ubernostrum,12384,2014-08-20T21:21:06Z,CONTRIBUTOR,False,1,1,1,Vendor library for Kuma,Python,524a0eed267dbfb5d8c56dc1b246558b490b4c9d,Fix bug 1053849: Upgrade Django to 1.4.14.
2,https://api.github.com/repos/mozilla/kuma-lib/pulls/51,51,Switched to the official django-allauth 0.18.0 release.,,jezdez,1610,2014-08-15T10:46:01Z,MEMBER,True,2,2,2,Vendor library for Kuma,Python,564954ad7f570d5b7ec1887867dcfd6bb0b0679e,Switched to the official django-allauth 0.18.0 release.
3,https://api.github.com/repos/mozilla/kuma-lib/pulls/50,50,Switched to the official django-allauth 0.18.0 release.,,jezdez,1610,2014-08-15T10:43:14Z,MEMBER,False,2,2,2,Vendor library for Kuma,Python,564954ad7f570d5b7ec1887867dcfd6bb0b0679e,Switched to the official django-allauth 0.18.0 release.
4,https://api.github.com/repos/mozilla/kuma-lib/pulls/49,49,Allauth persona audience fix,,jezdez,1610,2014-08-08T23:35:33Z,MEMBER,True,2,2,2,Vendor library for Kuma,Python,1c0b8d41c49bdefcdcc83cfcd754e06507d31da0,Use allauth version that has the Persona audience patch applied.
5,https://api.github.com/repos/mozilla/kuma-lib/pulls/49,49,Allauth persona audience fix,,jezdez,1610,2014-08-08T23:35:33Z,MEMBER,True,2,2,2,Vendor library for Kuma,Python,697abc184f98610dcab1bb9cca584f4d6f38bdc4,Merge branch 'master' into allauth-persona-audience
6,https://api.github.com/repos/mozilla/kuma-lib/pulls/49,49,Allauth persona audience fix,,jezdez,1610,2014-08-08T23:35:33Z,MEMBER,True,2,2,2,Vendor library for Kuma,Python,6d71ea5a7deca7e353932f040254a04e246b863d,Updated allauth again.
7,https://api.github.com/repos/mozilla/kuma-lib/pulls/48,48,bug 1029071 - add polib,,jezdez,1610,2014-08-08T23:21:47Z,MEMBER,True,1817,0,1,Vendor library for Kuma,Python,3537c5f87cb84f682e8e82e9e3cf583bf69921a3,bug 1029071 - add polib
8,https://api.github.com/repos/mozilla/kuma-lib/pulls/47,47,allauth dependencies,"Added django-allauth 0.17.0, requests-oauthlib 0.4.1, python-openid 2.2.5 and oauthlib 0.6.3. Also update requests to 2.3.0.
",jezdez,1610,2014-07-04T16:53:47Z,MEMBER,True,21,1,7,Vendor library for Kuma,Python,62756492f7b4f23b9202f024fd31be5955440bca,"Added django-allauth 0.17.0, requests-oauthlib 0.4.1, python-openid 2.2.5 and oauthlib 0.6.3. Also update requests to 2.3.0."
9,https://api.github.com/repos/mozilla/kuma-lib/pulls/46,46,"Added django-allauth 0.17.0, requests-oauthlib 0.4.1, python-openid 2.2.5 and oauthlib 0.6.3. Also update requests to 2.3.0.",,jezdez,1610,2014-07-04T16:52:20Z,MEMBER,False,21,1,7,Vendor library for Kuma,Python,62756492f7b4f23b9202f024fd31be5955440bca,"Added django-allauth 0.17.0, requests-oauthlib 0.4.1, python-openid 2.2.5 and oauthlib 0.6.3. Also update requests to 2.3.0."
10,https://api.github.com/repos/mozilla/kuma-lib/pulls/45,45,Updated feedparser to 5.1.3 to fix unicode decoding errors.,,jezdez,1610,2014-05-26T13:26:28Z,MEMBER,True,39741,2981,2485,Vendor library for Kuma,Python,39961175231efdb56fa4703bfe368035fa5b1313,Updated feedparser to 5.1.3 to fix unicode decoding errors.
11,https://api.github.com/repos/mozilla/kuma-lib/pulls/44,44,Updated feedparser to 5.1.3 to fix unicode decoding errors.,,jezdez,1610,2014-05-26T13:19:06Z,MEMBER,False,39741,2981,2485,Vendor library for Kuma,Python,39961175231efdb56fa4703bfe368035fa5b1313,Updated feedparser to 5.1.3 to fix unicode decoding errors.
