,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/layerscope/pulls/40,40,Add Mozilla Code of Conduct,"Fixes #39

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-28T04:10:37Z,NONE,False,15,0,1,LayerScope Viewer,JavaScript,f2de979a37a1c075a923712e23bf47f5b4566dfc,"Add Mozilla Code of Conduct file

Fixes #39.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/layerscope/pulls/37,37,Bug 1457563 - Remove ;version=1.8 sufixes from script tags so that la…,…yerscope works again.,mikeconley,195042,2018-04-27T20:03:29Z,NONE,False,12,12,1,LayerScope Viewer,JavaScript,9af16be07a3a1e47c6a119ef4160b73a8f7c4f4d,Bug 1457563 - Remove ;version=1.8 sufixes from script tags so that layerscope works again.
2,https://api.github.com/repos/mozilla/layerscope/pulls/36,36,Bug 1264903 - [LayerScope] Don't use list comprehension in LayerScope viewer,,kanru,17571,2016-04-15T09:55:18Z,CONTRIBUTOR,True,18,14,3,LayerScope Viewer,JavaScript,5502b153eb09393f2ebf6e7c39ecc21c92a63fd0,Bug 1264903 - [LayerScope] Don't use list comprehension in LayerScope viewer
3,https://api.github.com/repos/mozilla/layerscope/pulls/35,35,Bug1205521 -  [LayerScope] Dump mask/texture attributes on Layerscope viewer,,chenpighead,10356583,2015-10-01T02:38:16Z,CONTRIBUTOR,True,195,47,6,LayerScope Viewer,JavaScript,4e65177ef163f1686cb795450983ef9906f10bb1,Bug 1205521 - Part1: (v3) Align protobuf file with that in gecko side.
4,https://api.github.com/repos/mozilla/layerscope/pulls/35,35,Bug1205521 -  [LayerScope] Dump mask/texture attributes on Layerscope viewer,,chenpighead,10356583,2015-10-01T02:38:16Z,CONTRIBUTOR,True,195,47,6,LayerScope Viewer,JavaScript,29b64fc7464f6ffc776aa807e467cafb0ab00aa8,Bug 1205521 - Part2: (v3) Show texture/mask attributes dumped from gecko side.
5,https://api.github.com/repos/mozilla/layerscope/pulls/34,34,Bug1195653 - Part2: Show mask effect on LayerScope viewer.,"Bug 1195653 - part2.1: Show isMask attribute on viewer title bar.
Bug 1195653 - Part2.2: Let sprites in texture view be displayed in order of layerID, so mask effect can be shown right next to its primary effect.
",chenpighead,10356583,2015-09-21T10:14:32Z,CONTRIBUTOR,True,46,6,4,LayerScope Viewer,JavaScript,34df73fb20cb136023c536d1f2e30fac62cd9a28,Bug 1195653 - Part1: Show isMask attribute on viewer title bar. (v2)
6,https://api.github.com/repos/mozilla/layerscope/pulls/34,34,Bug1195653 - Part2: Show mask effect on LayerScope viewer.,"Bug 1195653 - part2.1: Show isMask attribute on viewer title bar.
Bug 1195653 - Part2.2: Let sprites in texture view be displayed in order of layerID, so mask effect can be shown right next to its primary effect.
",chenpighead,10356583,2015-09-21T10:14:32Z,CONTRIBUTOR,True,46,6,4,LayerScope Viewer,JavaScript,18bf9848f25b6e13fdd3e7f826487b5a9ea6481a,Bug 1195653 - Part2: Let sprites in texture view be displayed in order of layerID. (v2)
7,https://api.github.com/repos/mozilla/layerscope/pulls/33,33,Bug 1198626 - (LayerScope) Change the position of zoom controls.,"1. Shift right zoom controls.
2. Zoom change only apply to texture viwers. All the list controls keep still.
",CJKu,3235859,2015-09-04T09:30:30Z,CONTRIBUTOR,True,239,234,9,LayerScope Viewer,JavaScript,f765ab1a5daf3ee42d6b461ab06dcba2e4ddce9d,"Bug 1198626 - (LayerScope) Change the position of zoom controls.

1. Shift right zoom controls.
2. Zoom change only apply to texture viwers. All the list controls keep still.
3. Correct postions of some elements.
4. Don't pass key event to the frame controller if it already get focus."
8,https://api.github.com/repos/mozilla/layerscope/pulls/32,32,Bug 1198622 - Handle 3D transform correctly on viewer. r = boris.,"1. Use the lateset glMatrix library.
2. Move display-list-panel to the right side.
3. Transform layerRect by the transform matrxi of nsDisplayTransform.
",CJKu,3235859,2015-09-01T05:02:55Z,CONTRIBUTOR,True,5558,58,8,LayerScope Viewer,JavaScript,30200aa82d3cd988d2e83f9e4372dcfb9fbcaeab,"Bug 1198622 - Handle 3D transform correctly on viewer. r = boris.

1. Use the lateset glMatrix library.
2. Move display-list-panel to the right side.
3. Transform layerRect by the transform matrxi of nsDisplayTransform."
9,https://api.github.com/repos/mozilla/layerscope/pulls/31,31,Bug 1198800,,CJKu,3235859,2015-08-26T16:07:51Z,CONTRIBUTOR,True,30,9,3,LayerScope Viewer,JavaScript,3197c9fa962b36ede5f08adec91559b051b94cba,"Bug 1198800 - Layer view skips some draw calls. r = boris

Bring back missed draw calls in layer viewer."
10,https://api.github.com/repos/mozilla/layerscope/pulls/30,30,Bug 1193834 - [LayerScope] Handle display items drawn on a basic pain…,"…ted layer. r= boris.
",CJKu,3235859,2015-08-18T14:53:18Z,CONTRIBUTOR,True,29,56,4,LayerScope Viewer,JavaScript,667133b9ccf38119f745515ee659167fad6d9893,Bug 1193834 - [LayerScope] Handle display items drawn on a basic painted layer. r= boris.
11,https://api.github.com/repos/mozilla/layerscope/pulls/29,29,Bug 1181460 - [LayerScope] Texture distorted on viewe.,"TexBuilder reference wrong texture in a frame.
",CJKu,3235859,2015-07-08T07:39:41Z,CONTRIBUTOR,True,5,3,1,LayerScope Viewer,JavaScript,1bb21c79fdd7b12ef772fa3df2a701e9f936182c,"Bug 1181460 - [LayerScope] Texture distorted on viewe.

TexBuilder reference wrong texture in a frame."
12,https://api.github.com/repos/mozilla/layerscope/pulls/28,28,WIP,,CJKu,3235859,2015-07-08T06:17:44Z,CONTRIBUTOR,True,1333,317,15,LayerScope Viewer,JavaScript,a083f993923c705b849b930783bb521277d006b3,"Bug 1061393 - [LayerScope] Dump Display List on Layerscope viewer

1. Seperate 2D and 3D renderer into different files, texturesprite_renderer.js
and drawquad_renderer.js
2. Display list renderer - reveal display list of each layer.
3. Improve readability of layer property."
13,https://api.github.com/repos/mozilla/layerscope/pulls/27,27,Bug 1172429 - fix layerscope viewer function error for mask layer,"Fix the getHighBitsUnsigned() function error for mask layer in viewer
",JerryShih,5842681,2015-06-08T09:37:48Z,CONTRIBUTOR,True,1,1,1,LayerScope Viewer,JavaScript,bf1274f287472aae48365095eea06c5241e644fb,Bug 1172429 - fix layerscope viewer function error for mask layer
14,https://api.github.com/repos/mozilla/layerscope/pulls/26,26,Bug 1133007 - (LayerScope) Prevent sending duplicate texture image,"1. Create a singleton holder to hold all singltons in LayerScope
2. Send the content of a texture only if it was altered after last transmission.
",CJKu,3235859,2015-05-28T17:26:57Z,CONTRIBUTOR,True,72,13,4,LayerScope Viewer,JavaScript,a959e0333003e406e40ffa4193a6215ffb8ddced,"Bug 1133007 - (LayerScope) Prevent sending duplicate texture image

If the content data of a texture node is null, that means the content is
already in image pool. In this case, the viewer should relink a new TextureNode
with the image content in the image pool."
15,https://api.github.com/repos/mozilla/layerscope/pulls/25,25,B2g perf improvement,,CJKu,3235859,2015-05-26T15:14:58Z,CONTRIBUTOR,True,22,2,5,LayerScope Viewer,JavaScript,8658bb23801223e6c86f5688e91a54935a2fd3cc,"Bug 1168015 - (LayerScope) Texture dump performance improvement on B2G

1. Do RB swap at view side for images came from graphic buffers.
2. Add 2D view icon so that a user know which buffer view currently present."
16,https://api.github.com/repos/mozilla/layerscope/pulls/24,24,Bug 1163908 - [LayerScope] Add Heat map in viewer,"1. Correct z-index of setting dialog
2. Add Draw grid of quads setting option.
3. Remove layer tree and buffer caption to give more room to real data.
4. Add a 3D button to swtich between 2D and 3D heap view.
5. 3D heap-map view
6. Pasrse and conver draw data into frame in dataprocess module.
7. Improve 2D canvas drawing performance while zooming.
",CJKu,3235859,2015-05-25T02:38:59Z,CONTRIBUTOR,True,1885,238,16,LayerScope Viewer,JavaScript,bdf3a68e54c5ffc5abb134ac20c949baac30ff65,"Bug 1163908 - [LayerScope] Add Heat map in viewer

1. Correct z-index of setting dialog
2. Add Draw grid of quads setting option.
3. Remove layer tree and buffer caption to give more room to real data.
4. Add a 3D button to swtich between 2D and 3D heap view.
5. 3D heap-map view
6. Pasrse and conver draw data into frame in dataprocess module.
7. Improve 2D canvas drawing performance while zooming."
17,https://api.github.com/repos/mozilla/layerscope/pulls/23,23,Bug 1163908 - [LayerScope] Add Heat map in viewer,"1. Correct z-index of setting dialog
2. Add Draw grid of quads setting option.
3. Remove layer tree and buffer caption to give more room to real data.
4. Add a 3D button to swtich between 2D and 3D heap view.
5. 3D heap-map view
6. Pasrse and conver draw data into frame in dataprocess module.
",CJKu,3235859,2015-05-21T16:20:53Z,CONTRIBUTOR,False,1868,234,16,LayerScope Viewer,JavaScript,baa56d8183c7f02adb21c5cac46ccb1f01a22d55,"Bug 1163908 - [LayerScope] Add Heat map in viewer

1. Correct z-index of setting dialog
2. Add Draw grid of quads setting option.
3. Remove layer tree and buffer caption to give more room to real data.
4. Add a 3D button to swtich between 2D and 3D heap view.
5. 3D heap-map view
6. Pasrse and conver draw data into frame in dataprocess module.
7. Improve 2D canvas drawing performance while zooming."
18,https://api.github.com/repos/mozilla/layerscope/pulls/22,22,Heat map viewer,,CJKu,3235859,2015-05-21T09:37:06Z,CONTRIBUTOR,False,1861,234,16,LayerScope Viewer,JavaScript,809297d707d39e3de6461070130889d3384acc9e,"Bug 1163908 - [LayerScope] Add Heat map in viewer

1. Correct z-index of setting dialog
2. Add Draw grid of quads setting option.
3. Remove layer tree and buffer caption to give more room to real data.
4. Add a 3D button to swtich between 2D and 3D heap view.
5. 3D heap-map view
6. Pasrse and conver draw data into frame in dataprocess module."
19,https://api.github.com/repos/mozilla/layerscope/pulls/21,21,Heat map,,CJKu,3235859,2015-05-19T17:14:23Z,CONTRIBUTOR,False,1861,234,16,LayerScope Viewer,JavaScript,85944f3f3b7738ec8234dc0084d4b96b1c8b96cc,stash
20,https://api.github.com/repos/mozilla/layerscope/pulls/21,21,Heat map,,CJKu,3235859,2015-05-19T17:14:23Z,CONTRIBUTOR,False,1861,234,16,LayerScope Viewer,JavaScript,8fb431b3524a6724b691fc65580e8889d7c8b7b5,WIP2
21,https://api.github.com/repos/mozilla/layerscope/pulls/21,21,Heat map,,CJKu,3235859,2015-05-19T17:14:23Z,CONTRIBUTOR,False,1861,234,16,LayerScope Viewer,JavaScript,38291c1cabe42c7801e356972ab284fcbfda9448,WIP3
22,https://api.github.com/repos/mozilla/layerscope/pulls/21,21,Heat map,,CJKu,3235859,2015-05-19T17:14:23Z,CONTRIBUTOR,False,1861,234,16,LayerScope Viewer,JavaScript,4df020827ea740f476027ba8565bed702e9af86a,WIP4
23,https://api.github.com/repos/mozilla/layerscope/pulls/21,21,Heat map,,CJKu,3235859,2015-05-19T17:14:23Z,CONTRIBUTOR,False,1861,234,16,LayerScope Viewer,JavaScript,f5a32b753c9283ff3a03c87d11f8ca15b1fcbd47,adjust UI
24,https://api.github.com/repos/mozilla/layerscope/pulls/21,21,Heat map,,CJKu,3235859,2015-05-19T17:14:23Z,CONTRIBUTOR,False,1861,234,16,LayerScope Viewer,JavaScript,bc841f18a609e958bc9fe946bbc67a7877886666,add webgl-debug.js
25,https://api.github.com/repos/mozilla/layerscope/pulls/21,21,Heat map,,CJKu,3235859,2015-05-19T17:14:23Z,CONTRIBUTOR,False,1861,234,16,LayerScope Viewer,JavaScript,caf713706892c19b9a9d2d467d396013bed40875,adjust UI
26,https://api.github.com/repos/mozilla/layerscope/pulls/21,21,Heat map,,CJKu,3235859,2015-05-19T17:14:23Z,CONTRIBUTOR,False,1861,234,16,LayerScope Viewer,JavaScript,937548acf03d9d5f8568b10b2abce10f42220f50,replace bytes by repeated
27,https://api.github.com/repos/mozilla/layerscope/pulls/20,20,Heat map,,CJKu,3235859,2015-05-19T15:09:37Z,CONTRIBUTOR,False,735,205,14,LayerScope Viewer,JavaScript,85944f3f3b7738ec8234dc0084d4b96b1c8b96cc,stash
28,https://api.github.com/repos/mozilla/layerscope/pulls/20,20,Heat map,,CJKu,3235859,2015-05-19T15:09:37Z,CONTRIBUTOR,False,735,205,14,LayerScope Viewer,JavaScript,8fb431b3524a6724b691fc65580e8889d7c8b7b5,WIP2
29,https://api.github.com/repos/mozilla/layerscope/pulls/20,20,Heat map,,CJKu,3235859,2015-05-19T15:09:37Z,CONTRIBUTOR,False,735,205,14,LayerScope Viewer,JavaScript,4f791664046df26ffaf35c0a3fc85fb1144d5bc1,WIP3
30,https://api.github.com/repos/mozilla/layerscope/pulls/19,19,Move protocal buffer parsing from main thread to worker thread,"LayerScope becomes sluggish while connecting with a profile target. That's
because the main thread is heavily parsing protocol buffer pacakages from
WebSocket. Move data parsing from main thread to a dedicated worker to fix this
symptom.
",CJKu,3235859,2015-05-12T04:19:36Z,CONTRIBUTOR,True,349,346,9,LayerScope Viewer,JavaScript,731488f0e25c1873bbdda9aec6d8d338b6535635,"Move protocal buffer parsing from main thread to worker thread

LayerScope becomes sluggish while connecting with a profile target. That's
because the main thread is heavily parsing protocol buffer pacakages from
WebSocket. Move data parsing from main thread to a dedicated worker to fix this
symptom."
31,https://api.github.com/repos/mozilla/layerscope/pulls/18,18,Move protocal buffer parsing from main thread to worker thread,"LayerScope becomes sluggish while connecting with a profile target. That's
because the main thread is heavily parsing protocol buffer pacakages from
WebSocket. Move data parsing from main thread to a dedicated worker to fix this
symptom.
",CJKu,3235859,2015-05-12T03:59:57Z,CONTRIBUTOR,False,349,346,9,LayerScope Viewer,JavaScript,731488f0e25c1873bbdda9aec6d8d338b6535635,"Move protocal buffer parsing from main thread to worker thread

LayerScope becomes sluggish while connecting with a profile target. That's
because the main thread is heavily parsing protocol buffer pacakages from
WebSocket. Move data parsing from main thread to a dedicated worker to fix this
symptom."
32,https://api.github.com/repos/mozilla/layerscope/pulls/17,17,Uuid,,CJKu,3235859,2015-02-13T19:55:02Z,CONTRIBUTOR,False,466,273,19,LayerScope Viewer,JavaScript,85352101795ca57c00132521efa9e4d70f678d54,"Change layerscope to full-window mode

Scollbar disapear. So that we have more space for texture display."
33,https://api.github.com/repos/mozilla/layerscope/pulls/17,17,Uuid,,CJKu,3235859,2015-02-13T19:55:02Z,CONTRIBUTOR,False,466,273,19,LayerScope Viewer,JavaScript,ec6b2834ed07a506d9a552a4e381aba7e85599c1,"Implement zoom function

1. Add tool-bar in texture-pane for containing frame-slider and zoom
2. Implement zoom function: includes zoom-in/zoom-out/1:1.
3. Move frame-slider into tool-bar.
4. Rename TexturePool to ImageDataPool."
34,https://api.github.com/repos/mozilla/layerscope/pulls/17,17,Uuid,,CJKu,3235859,2015-02-13T19:55:02Z,CONTRIBUTOR,False,466,273,19,LayerScope Viewer,JavaScript,08f651cc6129f8732d30f7f9942643e737541e31,"Bug 1133007 - (LayerScope) Prevent sending duplicate texture image

Viewer side change."
35,https://api.github.com/repos/mozilla/layerscope/pulls/15,15,Bug 1130766 - Reduce the size of saved file,"1. TexturePool: contructs a global texture pool to prevent duplcate textures.
2. ZIP: uses JSZip for serialization stuff.
3. Progrssbar: show a progressbar to reveal serialization status.
",CJKu,3235859,2015-02-09T08:28:45Z,CONTRIBUTOR,False,554,253,9,LayerScope Viewer,JavaScript,0ccac78413e21933ad0e263699bc72b425d8baf4,"Bug 1130766 - Reduce the size of saved file

1. TexturePool: contructs a global texture pool to prevent duplcate textures.
2. ZIP: uses JSZip for serialization stuff.
3. Progrssbar: show a progressbar to reveal serialization status."
36,https://api.github.com/repos/mozilla/layerscope/pulls/14,14,Bug 1130766 - Reduce the size of saved file,,CJKu,3235859,2015-02-08T17:36:44Z,CONTRIBUTOR,False,554,253,9,LayerScope Viewer,JavaScript,0ccac78413e21933ad0e263699bc72b425d8baf4,"Bug 1130766 - Reduce the size of saved file

1. TexturePool: contructs a global texture pool to prevent duplcate textures.
2. ZIP: uses JSZip for serialization stuff.
3. Progrssbar: show a progressbar to reveal serialization status."
37,https://api.github.com/repos/mozilla/layerscope/pulls/13,13,Bug 1130766 - Reduce the size of saved file,"1. Construct TexturePool: to hold all created textures in the current session.
2. Storage: leverage JSFile to serialize/deserialize layer-tree and TexturePool
",CJKu,3235859,2015-02-07T19:23:44Z,CONTRIBUTOR,False,360,225,9,LayerScope Viewer,JavaScript,16e9d6b117691fb79687beba4c37179764ba148a,"Bug 1130766 - Reduce the size of saved file

1. Construct TexturePool: to hold all created textures in the current session.
2. Storage: leverage JSFile to serialize/deserialize layer-tree and TexturePool"
38,https://api.github.com/repos/mozilla/layerscope/pulls/13,13,Bug 1130766 - Reduce the size of saved file,"1. Construct TexturePool: to hold all created textures in the current session.
2. Storage: leverage JSFile to serialize/deserialize layer-tree and TexturePool
",CJKu,3235859,2015-02-07T19:23:44Z,CONTRIBUTOR,False,360,225,9,LayerScope Viewer,JavaScript,b0bd37f72533e0e2041e6aeb920b6ab33af71f1c,remove _loadImageToCanvas
