,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/libmozdata/pulls/183,183,Remove gmail stuff,,calixteman,5641725,2021-02-11T12:57:34Z,COLLABORATOR,True,1,84,3,Library to access and aggregate several Mozilla data sources.,Python,e0056b021eb03f1a85956ef1e00db2a0fe1ebdb0,Remove gmail stuff
1,https://api.github.com/repos/mozilla/libmozdata/pulls/182,182,Support bugzilla.account.search in phab,in order to be used in auto_nag to get Bugzilla id from a reviewer's phid.,calixteman,5641725,2021-02-08T10:21:08Z,COLLABORATOR,True,29,0,1,Library to access and aggregate several Mozilla data sources.,Python,e3442cd4d12064569332e928de2f381f29c0f7e7,Support bugzilla.account.search in phab
2,https://api.github.com/repos/mozilla/libmozdata/pulls/179,179,Create Dependabot config file,":wave: Dependabot is moving natively into GitHub! This pull request migrates your configuration from Dependabot.com to a config file, using the [new syntax](https://help.github.com/en/github/administering-a-repository/configuration-options-for-dependency-updates). When you merge this pull request, we'll swap out `dependabot-preview` (me) for a new `dependabot` app, and you'll be all set!

With this change, you'll now use the [Dependabot page in GitHub](https://github.com/mozilla/libmozdata/network/updates), rather than the [Dependabot dashboard](https://app.dependabot.com/), to monitor your version updates. Dependabot is now configured exclusively using config files.









Your account was configured to allow an unlimited number of open pull requests. This option is no longer supported in the new config file so it has been changed to `99`.


If you've got any questions or feedback for us, please let us know by creating an issue in the [dependabot/dependabot-core](https://github.com/dependabot/dependabot-core/issues) repository.

[Learn more about the relaunch of Dependabot](https://github.blog/2020-06-01-keep-all-your-packages-up-to-date-with-dependabot/)

Please note that regular `@dependabot` commands do not work on this pull request.

:robot::yellow_heart:
",dependabot-preview[bot],27856297,2020-07-14T16:31:31Z,CONTRIBUTOR,True,7,0,1,Library to access and aggregate several Mozilla data sources.,Python,e579cada49620373e805cf72c24d81074ab9d2be,Create Dependabot config file
3,https://api.github.com/repos/mozilla/libmozdata/pulls/178,178,Crash-stats url changed so update it,,calixteman,5641725,2020-04-14T08:43:54Z,COLLABORATOR,True,6,6,11,Library to access and aggregate several Mozilla data sources.,Python,1b2de98b2d20fa184376e5130e37c333c099b9f9,Crash-stats url changed so update it
4,https://api.github.com/repos/mozilla/libmozdata/pulls/177,177,It was not possible to get attachments using their ids,,calixteman,5641725,2020-02-27T08:57:13Z,COLLABORATOR,True,44,10,1,Library to access and aggregate several Mozilla data sources.,Python,8ab9473c90659f8b413d47803905b77721feba5c,It was not possible to get attachments using their ids
5,https://api.github.com/repos/mozilla/libmozdata/pulls/176,176,Make PhabricatorPatch namedtuple pickleable by naming it consistently,,marco-c,1616846,2020-01-02T23:50:22Z,COLLABORATOR,True,7,1,2,Library to access and aggregate several Mozilla data sources.,Python,4e8af9710a938dece4212893a77f118ee4d36352,Make PhabricatorPatch namedtuple pickleable by naming it consistently
6,https://api.github.com/repos/mozilla/libmozdata/pulls/174,174,Support multiple user search in phabricator.,Refs https://github.com/mozilla/code-review/issues/250,La0,101004,2019-11-21T16:24:35Z,CONTRIBUTOR,True,9,3,1,Library to access and aggregate several Mozilla data sources.,Python,99b0fbe9b86235804c65dd6b6f5d710ce0f0679d,Support multiple user search in phabricator.
7,https://api.github.com/repos/mozilla/libmozdata/pulls/173,173,Store VCS mapping file ETag to avoid re-downloading it unnecessarily,"And don't store the tar.bz2 to disk, just extract it from memory.",marco-c,1616846,2019-11-12T22:33:14Z,COLLABORATOR,True,39,48,1,Library to access and aggregate several Mozilla data sources.,Python,ce680053bd9571dc06b41b991c19068929177a07,Store vcs mapping file's ETag to avoid redownloading it when it has not changed
8,https://api.github.com/repos/mozilla/libmozdata/pulls/173,173,Store VCS mapping file ETag to avoid re-downloading it unnecessarily,"And don't store the tar.bz2 to disk, just extract it from memory.",marco-c,1616846,2019-11-12T22:33:14Z,COLLABORATOR,True,39,48,1,Library to access and aggregate several Mozilla data sources.,Python,1e01e1fd889d25dbda3aeec06709ae8860ec5993,"Don't store the tar.bz2 file to disk before extracting it, extract it directly from memory"
9,https://api.github.com/repos/mozilla/libmozdata/pulls/173,173,Store VCS mapping file ETag to avoid re-downloading it unnecessarily,"And don't store the tar.bz2 to disk, just extract it from memory.",marco-c,1616846,2019-11-12T22:33:14Z,COLLABORATOR,True,39,48,1,Library to access and aggregate several Mozilla data sources.,Python,7df9e18b9f51e5c0cf5fddffe3c7d123fa97954d,Stop using the mapper service
