,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/42,42,TV mock api,"support for TV endpoint
",washort,947487,2015-12-09T21:01:05Z,CONTRIBUTOR,True,25,1,2,Mock API for the Firefox Marketplace,Python,8950aa17ae8687023471acfdedcfb40ccc19e685,TV mock api
1,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/41,41,Update multi-search on marketplace-api-mock to include add-ons (bug 1221319),,diox,187006,2015-11-04T13:33:03Z,MEMBER,True,151,8355,6,Mock API for the Firefox Marketplace,Python,11ca22949b16297b1df5461553fe7e1b0dca986e,"Fix pagination to not send too many objects on page > 1.

Actually remove the concept of ""page"" as much as possible since the
API is using offsets+limit."
2,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/41,41,Update multi-search on marketplace-api-mock to include add-ons (bug 1221319),,diox,187006,2015-11-04T13:33:03Z,MEMBER,True,151,8355,6,Mock API for the Firefox Marketplace,Python,bdf33de74b1708a47e03014aac3994470719c0ac,Add extensions search & detail APIs
3,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/41,41,Update multi-search on marketplace-api-mock to include add-ons (bug 1221319),,diox,187006,2015-11-04T13:33:03Z,MEMBER,True,151,8355,6,Mock API for the Firefox Marketplace,Python,70bdf029a88ebc2d4b64508d14cb1d2f0bce1141,Add a dynamic Website generator instead of loading the same json every time
4,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/41,41,Update multi-search on marketplace-api-mock to include add-ons (bug 1221319),,diox,187006,2015-11-04T13:33:03Z,MEMBER,True,151,8355,6,Mock API for the Firefox Marketplace,Python,af029a061e18ff49fd8cda8f3f9a6c11a3bfc0e9,"Generate multi-search dynamically, obeying doc_type parameter"
5,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/40,40,add extension details endpoint,"sample response:

`{
  ""status"": ""public"", 
  ""slug"": ""something"", 
  ""mini_manifest_url"": ""https://somewhere.com/extension/ce6b52d231154a27a1c54b2648c10379/manifest.json"", 
  ""description"": {
    ""en-US"": ""zip buzz foo something fizz something fizz something fizz something cvan something buzz buzz something zip foo fizz buzz buzz cvan fizz something fizz zap something buzz fizz cvan zip something buzz cvan zip something zip bar buzz zap bar bar fizz zap cvan bar foo zip something something something buzz something cvan bar something buzz cvan something bar bar foo bar cvan bar zip something foo buzz foo zip foo buzz zap zap buzz bar fizz bar buzz something something bar something foo something bar foo zip bar fizz buzz something zip fizz fizz zip something something buzz foo""
  }, 
  ""latest_public_version"": {
    ""status"": ""public"", 
    ""version"": ""0.1"", 
    ""id"": 2, 
    ""download_url"": ""https://somewhere.com/extension/ce6b52d231154a27a1c54b2648c10379"", 
    ""unsigned_download_url"": ""https://somewhere.com/extension/unsigned/ce6b52d231154a27a1c54b2648c10379""
  }, 
  ""id"": 1, 
  ""latest_version"": {
    ""status"": ""public"", 
    ""version"": ""0.1"", 
    ""id"": 2, 
    ""download_url"": ""https://somewhere.com/extension/ce6b52d231154a27a1c54b2648c10379"", 
    ""unsigned_download_url"": ""https://somewhere.com/extension/unsigned/ce6b52d231154a27a1c54b2648c10379""
  }, 
  ""name"": ""Add-on 1""
}`
",spasovski,391260,2015-09-09T17:51:08Z,CONTRIBUTOR,False,42,1,3,Mock API for the Firefox Marketplace,Python,97a2165672afe63dc449c1cce491937f6ab292c3,add extension details endpoint
6,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/39,39,fix bash command Markdown in README,"GitHub Markdown is weird
## before

<img width=""783"" alt=""screenshot 2015-08-12 14 45 36"" src=""https://cloud.githubusercontent.com/assets/203725/9237621/da7eb172-4100-11e5-8f76-6684653ed0ca.png"">
## after

<img width=""911"" alt=""screenshot 2015-08-12 14 45 52"" src=""https://cloud.githubusercontent.com/assets/203725/9237620/da6c9f8c-4100-11e5-8159-f5b66b66a8b1.png"">
",cvan,203725,2015-08-12T21:45:16Z,CONTRIBUTOR,False,1,1,1,Mock API for the Firefox Marketplace,Python,a3966e0b91916143b45166b5e1ad45076ef707a2,"fix bash command Markdown in README

GitHub Markdown is weird"
7,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/38,38,Mock FxA login,,mstriemer,211578,2015-06-09T17:56:19Z,MEMBER,False,9,1,1,Mock API for the Firefox Marketplace,Python,a086e15e03968c6bbb8b35980e23656138e78f92,Mock FxA login
8,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/38,38,Mock FxA login,,mstriemer,211578,2015-06-09T17:56:19Z,MEMBER,False,9,1,1,Mock API for the Firefox Marketplace,Python,856af42a6a96e9cd06fac74fdd6ad13de2d14144,Provide the FxA URL and state
9,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/37,37,Website abuse endpoint,,mstriemer,211578,2015-05-27T22:01:38Z,MEMBER,True,12,0,1,Mock API for the Firefox Marketplace,Python,ca17740fb1fa811ae74cac1516694ae53e34a4e1,Website abuse endpoint
10,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/36,36,Reflect the website endpoint more accurately,"The website detail endpoint is slightly different than search. It does not specify a `doc_type`.
",mstriemer,211578,2015-05-20T19:35:07Z,MEMBER,True,3,6,2,Mock API for the Firefox Marketplace,Python,c990fef4cdbf3cdb7973c83eebb292b8a4e76e71,Reflect the website endpoint more accurately
11,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/35,35,Website detail endpoint,,mstriemer,211578,2015-05-15T18:45:23Z,MEMBER,True,11,1,2,Mock API for the Firefox Marketplace,Python,6c25cf64c912b69a79470b8ac8dfd8d401ac132e,Website detail endpoint
12,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/34,34,Basic multi-search endpoint,,mstriemer,211578,2015-05-07T18:38:38Z,MEMBER,True,7,0,2,Mock API for the Firefox Marketplace,Python,486098f27c9f64d2f141710743784f4bf0cb7b76,Basic multi-search endpoint
13,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/33,33,Resurrect regions and carriers API,"/api/v1/services/region/
/api/v1/services/carrier/
/api/v1/services/region/cv/
/api/v1/services/carrier/cvan/
",diox,187006,2015-04-30T14:29:33Z,MEMBER,True,65,60,4,Mock API for the Firefox Marketplace,Python,130c264c6881a854ebdbe5f943e4069f33252eb4,"Resurrect regions and carriers API

/api/v1/services/region/
/api/v1/services/carrier/
/api/v1/services/region/cv/
/api/v1/services/carrier/cvan/"
14,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/32,32,Add site config endpoint and placeholder.png,"Update `inject_cors_headers` to only include OPTIONS once instead of once for each time the route was accessed.
",mstriemer,211578,2015-02-13T13:17:11Z,MEMBER,True,11,6,3,Mock API for the Firefox Marketplace,Python,08e7459f271447f131dcb244a27f8d7cc3af140f,"Add site config endpoint and placeholder.png

Update inject_cors_headers to only include OPTIONS once instead of once
for each time the route was accessed."
15,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/31,31,Add basic langpacks support (bug 1122256),"https://bugzilla.mozilla.org/show_bug.cgi?id=1122256
",diox,187006,2015-02-03T14:31:35Z,MEMBER,True,45,2,2,Mock API for the Firefox Marketplace,Python,da8152e6ba26940fe3e98df48c85fd339dd211d1,Add basic langpacks support (bug 1122256)
16,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/30,30,Add CORS headers to errors in flue (bug 1068353),,diox,187006,2015-01-14T11:55:03Z,MEMBER,True,21,5,1,Mock API for the Firefox Marketplace,Python,83196f1cfec7a270b3793a2ce3fd3620fe5e514d,Add CORS headers to errors in flue (bug 1068353)
17,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/29,29,Mock the newsletter API,,mstriemer,211578,2014-12-19T16:42:58Z,MEMBER,True,7,1,1,Mock API for the Firefox Marketplace,Python,e48ba9b3cce48f862e89b3928a32e06ddff3bf07,Mock the newsletter API
18,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/28,28,"Revert ""add outgoing link to app description for app slug 'outgoing-links'""",,robhudson,1106,2014-12-11T21:11:02Z,MEMBER,True,0,15,1,Mock API for the Firefox Marketplace,Python,d7dc9cc4a2817739f69772a67b5a79873765f9c6,"Revert ""add outgoing link to app description for app slug 'outgoing-links' (bug 1088435)""

This reverts commit 3a8637f79e0e9e4ca027b0684274d5eeb5e5b116."
19,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/27,27,Added user recommendations opt-in/out,,robhudson,1106,2014-11-19T23:16:00Z,MEMBER,False,5,1,1,Mock API for the Firefox Marketplace,Python,d910d9e51c1c3f7d91d0f745b2e6e9c4e48ab0c4,Added user recommendations opt-in/out
20,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/26,26,No debug on paas,,mstriemer,211578,2014-11-18T18:45:16Z,MEMBER,True,12,2,2,Mock API for the Firefox Marketplace,Python,29b66816df896df807d3bbecc8ba2053d78a3a94,Disable debug mode with `python main.py --no-debug`
21,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/26,26,No debug on paas,,mstriemer,211578,2014-11-18T18:45:16Z,MEMBER,True,12,2,2,Mock API for the Firefox Marketplace,Python,b18a096f00a4a2a2a428858930554811cc6cb07b,Print a stack trace for a non-debug 500
22,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/25,25,"update ""Updating Flue"" section in README","r? @ngokevin @diox 
",cvan,203725,2014-11-14T22:40:51Z,CONTRIBUTOR,True,13,5,1,Mock API for the Firefox Marketplace,Python,27f92b8b0db7554edf690a9fd54bd92b0250ba52,"update ""Updating Flue"" section in README"
23,https://api.github.com/repos/mozilla/marketplace-api-mock/pulls/24,24,generate more feed items and small fixups (bug 1061935),"Assuming the only Travis issue is that not enough feed items are generated to cause a scroll this should help remedy that. There might be a better way but this was like 10mins of work.
",spasovski,391260,2014-11-14T18:26:59Z,CONTRIBUTOR,True,30,24,2,Mock API for the Firefox Marketplace,Python,f19a2ce7b2a4573cc938facbcbf89c6e98451786,generate more feed items and small fixups (bug 1061935)
