,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/27,27,v4.8.1,,washort,947487,2016-03-30T22:18:02Z,NONE,False,4,4,2,gulpfiles for Firefox Marketplace frontend projects,JavaScript,0ce842ffc2c12e1823c163c47c5360e3935691d9,v4.8.1
1,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/26,26,4.7.3 release: updates autoprefixer to get rid of the spammy deprecation notice.,,chuckharmston,23885,2015-08-12T16:04:43Z,CONTRIBUTOR,True,1,1,1,gulpfiles for Firefox Marketplace frontend projects,JavaScript,b26a9a4a6d75feb7b36a4e086613b898142e8a6a,4.7.3 release: updates autoprefixer to get rid of the spammy deprecation notice.
2,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/25,25,Updates gulp-autoprefixer to prevent spamming of autoprefixer deprecation notice.,"r? @ngokevin 

```
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
Autoprefixer's process() method is deprecated and will removed in next major release. Use postcss([autoprefixer]).process() instead
```
",chuckharmston,23885,2015-08-04T20:29:44Z,CONTRIBUTOR,True,1,1,1,gulpfiles for Firefox Marketplace frontend projects,JavaScript,c6cb26c2b7d3f714fcb009c2f7e5aad47f3fe5b9,Updates gulp-autoprefixer to prevent spamming of autoprefixer deprecation notice.
3,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/24,24,Fail the lint task when jshint fails,,mstriemer,211578,2015-07-20T20:48:36Z,MEMBER,True,2,1,1,gulpfiles for Firefox Marketplace frontend projects,JavaScript,8b881f091a70b64998218de82609d3aff614b5d7,Fail the lint task when jshint fails
4,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/23,23,Use Stylus configuration from commonplace.,,chuckharmston,23885,2015-03-31T19:06:44Z,CONTRIBUTOR,True,3,5,2,gulpfiles for Firefox Marketplace frontend projects,JavaScript,0973516080723448c4b40e00b936a67f160dce95,Use Stylus configuration from commonplace.
5,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/23,23,Use Stylus configuration from commonplace.,,chuckharmston,23885,2015-03-31T19:06:44Z,CONTRIBUTOR,True,3,5,2,gulpfiles for Firefox Marketplace frontend projects,JavaScript,8c7daacf087ae463660d89ab0bfc6580718cc81a,Use Stylus configuration from commonplace.
6,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/22,22,Use TEST_URL to set the site to test,"Since this is shared we can't always run on http://localhost:8675. Each project will set `TEST_URL?='http://localhost:<port>'` in the Makefile and this will use that.
",mstriemer,211578,2015-03-26T02:50:35Z,MEMBER,True,3,3,2,gulpfiles for Firefox Marketplace frontend projects,JavaScript,c5f5b85f12d46aaabe04f19d80dd65fde6fb3474,Use TEST_URL to set the site to test
7,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/21,21,Pull in fireplace's test commands and helpers,"This shares the testing commands across projects similar to how the serve, package, etc commands are shared.

It also shares the casper shim that is needed to run under slimerJS and what seems to be globally usable helpers for casper tests.

The shim will now load `marketplace-gulp/casper-helpers.js` and merge `tests/lib/helpers.js` into that object to create the `helpers` object. `appList` and `constants` are no longer globally available in fireplace.
",mstriemer,211578,2015-03-25T17:54:54Z,MEMBER,False,463,0,5,gulpfiles for Firefox Marketplace frontend projects,JavaScript,141e53fdb2f318126effeebad1ad105e6f20e6c9,Pull in fireplace's test commands and helpers
8,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/21,21,Pull in fireplace's test commands and helpers,"This shares the testing commands across projects similar to how the serve, package, etc commands are shared.

It also shares the casper shim that is needed to run under slimerJS and what seems to be globally usable helpers for casper tests.

The shim will now load `marketplace-gulp/casper-helpers.js` and merge `tests/lib/helpers.js` into that object to create the `helpers` object. `appList` and `constants` are no longer globally available in fireplace.
",mstriemer,211578,2015-03-25T17:54:54Z,MEMBER,False,463,0,5,gulpfiles for Firefox Marketplace frontend projects,JavaScript,596704e97072ae2c83399eff9aa618724d763984,Remove uitest dependencies
9,https://api.github.com/repos/mozilla/marketplace-gulp/pulls/21,21,Pull in fireplace's test commands and helpers,"This shares the testing commands across projects similar to how the serve, package, etc commands are shared.

It also shares the casper shim that is needed to run under slimerJS and what seems to be globally usable helpers for casper tests.

The shim will now load `marketplace-gulp/casper-helpers.js` and merge `tests/lib/helpers.js` into that object to create the `helpers` object. `appList` and `constants` are no longer globally available in fireplace.
",mstriemer,211578,2015-03-25T17:54:54Z,MEMBER,False,463,0,5,gulpfiles for Firefox Marketplace frontend projects,JavaScript,2309aedb39c2d6ef32ff06b70386a90c89f502af,helpers.load and helpers.npm
