,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/30,30,Limit late cusotmization to 5 apps (bug 1214946),"https://bugzilla.mozilla.org/show_bug.cgi?id=1214946

r? @ngokevin 
",mstriemer,211578,2015-10-15T00:51:49Z,MEMBER,True,29,6,1,Operator dashboard for the Firefox Marketplace,JavaScript,a131f259cfe5a677a969c68161779178784e0342,Limit late cusotmization to 5 apps (bug 1214946)
1,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/29,29,Late customization set management (bug 1205496),"https://bugzilla.mozilla.org/show_bug.cgi?id=1205496
",mstriemer,211578,2015-10-09T20:04:59Z,MEMBER,True,134,5,6,Operator dashboard for the Firefox Marketplace,JavaScript,c085b23a1f52240ea52e5fdeed509043e49b6633,Late customization set management (bug 1205496)
2,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/28,28,Bump to marketplace-constants 0.14.0 to include Romania (bug 1192374).,,chuckharmston,23885,2015-09-02T22:43:14Z,CONTRIBUTOR,True,1,1,1,Operator dashboard for the Firefox Marketplace,JavaScript,f1fbb36e81f14a8c292644ec5595faeb961e99f6,Bump to marketplace-constants 0.14.0 to include Romania (bug 1192374).
3,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/27,27,Bug 1105330 - Footer logo cut,,tsl143,5318732,2015-08-11T02:51:04Z,CONTRIBUTOR,True,1,0,1,Operator dashboard for the Firefox Marketplace,JavaScript,307d15a68760370c7af6fb494793d2752bfe738e,Bug 1105330 - Footer logo cut
4,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/26,26,Bump marketplace-constants to enable all the countries (bug 1058257),"https://bugzilla.mozilla.org/show_bug.cgi?id=1058257
",diox,187006,2015-06-02T14:15:09Z,MEMBER,True,1,1,1,Operator dashboard for the Firefox Marketplace,JavaScript,abc368af3cc6f732c9c727e0b7d9a1cd37d32305,Bump marketplace-constants to enable all the countries (bug 1058257)
5,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/25,25,Stop generating every region/carrier combination for admins (bug 1162499),"https://bugzilla.mozilla.org/show_bug.cgi?id=1162499

This also prepares for https://bugzilla.mozilla.org/show_bug.cgi?id=1058257 by removing references to `REGION_CHOICES_SLUG`
",diox,187006,2015-05-07T16:13:43Z,MEMBER,False,34,37,6,Operator dashboard for the Firefox Marketplace,JavaScript,1e4d70983d60f3eb3e43ecb8babd12650fcca335,Stop generating every region/carrier combination for admins (bug 1162499)
6,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/24,24,Bump marketplace-constants to enable taiwan (bug 1158297),"https://bugzilla.mozilla.org/show_bug.cgi?id=1158297
",diox,187006,2015-04-30T12:47:53Z,MEMBER,True,1,1,1,Operator dashboard for the Firefox Marketplace,JavaScript,a27ae5842300f33a7e5aaa390727266aaae94567,Bump marketplace-constants to enable taiwan (bug 1158297)
7,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/23,23,"Add new regions and carriers (bug 1151991, bug 1153002, bug 1154951, bug 1157067)","https://bugzilla.mozilla.org/show_bug.cgi?id=1151991
https://bugzilla.mozilla.org/show_bug.cgi?id=1153002
https://bugzilla.mozilla.org/show_bug.cgi?id=1154951
https://bugzilla.mozilla.org/show_bug.cgi?id=1157067
",diox,187006,2015-04-22T13:14:12Z,MEMBER,True,11,31,5,Operator dashboard for the Firefox Marketplace,JavaScript,7bee5d4667b24346b06a7b1c920d3d911a67b779,"Add new regions and carriers (bug 1151991, bug 1153002, bug 1154951, bug 1157067)"
8,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/22,22,add shelves description limit (bug 1145654),"Pretty much same as for transonic. Note this has not been enforced on the API side.
",spasovski,391260,2015-03-24T02:18:00Z,CONTRIBUTOR,True,2,2,1,Operator dashboard for the Firefox Marketplace,JavaScript,ec5916803b31442f5b905a849f3434486e082143,add shelves description limit (bug 1145654)
9,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/21,21,mcm v2.4 bump (bug 985552/1144437),,ngokevin,674727,2015-03-18T23:31:19Z,CONTRIBUTOR,True,23,35,6,Operator dashboard for the Firefox Marketplace,JavaScript,9224eefe3446a2684a8b138866ca8d162187c057,mcm v2.4 bump (bug 985552/1144437)
10,https://api.github.com/repos/mozilla/marketplace-operator-dashboard/pulls/20,20,bump mcm to 2.x.x (bug 1044195),"Looks like it's working.
",ngokevin,674727,2015-03-12T23:07:08Z,CONTRIBUTOR,True,149,165,28,Operator dashboard for the Firefox Marketplace,JavaScript,f7eed3332579cba9fdecb5b59b11cf5a543abd31,bump mcm to 2.x.x (bug 1044195)
