,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/marketplace-stats/pulls/66,66,Changed last output line of localization script to show EMAIL_TO inst…,"…ead of non-existent LOCALIZERS
",ddurst,395920,2016-04-06T15:41:39Z,CONTRIBUTOR,True,1,1,1,Statistics dashboard for the Firefox Marketplace,CSS,7dc3d79007f8df777f1b18ca7180063225e8cf38,Changed last output line of localization script to show EMAIL_TO instead of non-existent LOCALIZERS
1,https://api.github.com/repos/mozilla/marketplace-stats/pulls/65,65,Pass . to stats-po.sh in omg_new_l10n.sh so it works with BSD and gnu…,"… find.
",ddurst,395920,2015-12-03T19:05:58Z,CONTRIBUTOR,True,1,1,1,Statistics dashboard for the Firefox Marketplace,CSS,9c232ddc0f64154c8754a7a8b0c6678d5ab3dd44,Pass . to stats-po.sh in omg_new_l10n.sh so it works with BSD and gnu find.
2,https://api.github.com/repos/mozilla/marketplace-stats/pulls/64,64,Bump to marketplace-constants 0.14.0 to include Romania (bug 1192374).,,chuckharmston,23885,2015-09-02T22:41:17Z,CONTRIBUTOR,True,1,1,1,Statistics dashboard for the Firefox Marketplace,CSS,3ca9544bf3d2b8596b1604968c5215ba807bb249,Bump to marketplace-constants 0.14.0 to include Romania (bug 1192374).
3,https://api.github.com/repos/mozilla/marketplace-stats/pulls/63,63,Bump marketplace-constants to enable all the countries (bug 1058257),"https://bugzilla.mozilla.org/show_bug.cgi?id=1058257
",diox,187006,2015-06-02T14:14:45Z,MEMBER,True,1,1,1,Statistics dashboard for the Firefox Marketplace,CSS,4b5ef3b58628000748f7ed56eb1663b2c53d85e0,Bump marketplace-constants to enable all the countries (bug 1058257)
4,https://api.github.com/repos/mozilla/marketplace-stats/pulls/62,62,Stop depending on regions.REGION_CHOICES_SLUG (bug 1058257),"https://bugzilla.mozilla.org/show_bug.cgi?id=1058257

Use the API instead to fetch the regions list, translated in the current language.
",diox,187006,2015-05-06T17:34:46Z,MEMBER,True,30,36,21,Statistics dashboard for the Firefox Marketplace,CSS,c4ea0366d93597c940b164d197fec16c07d1b87c,"Stop depending on regions.REGION_CHOICES_SLUG (bug 1058257)

Use the API instead to fetch the regions list, translated in the
current language."
5,https://api.github.com/repos/mozilla/marketplace-stats/pulls/61,61,Bump marketplace-constants to enable taiwan (bug 1158297),"https://bugzilla.mozilla.org/show_bug.cgi?id=1158297
",diox,187006,2015-04-30T12:48:36Z,MEMBER,True,1,1,1,Statistics dashboard for the Firefox Marketplace,CSS,f36b5bc189121bcba8f75e8e9b59bb622a7f2747,Bump marketplace-constants to enable taiwan (bug 1158297)
6,https://api.github.com/repos/mozilla/marketplace-stats/pulls/60,60,"Add new regions (bug 1151991, bug 1153002, bug 1157067)","https://bugzilla.mozilla.org/show_bug.cgi?id=1151991
https://bugzilla.mozilla.org/show_bug.cgi?id=1153002
https://bugzilla.mozilla.org/show_bug.cgi?id=1157067
",diox,187006,2015-04-23T16:25:50Z,MEMBER,True,1,1,1,Statistics dashboard for the Firefox Marketplace,CSS,4b051b1432ad7a58b5b2b1d45896ba963fe82699,"Add new regions (bug 1151991, bug 1153002, bug 1157067)"
7,https://api.github.com/repos/mozilla/marketplace-stats/pulls/59,59,Testing support,,mstriemer,211578,2015-03-26T21:44:31Z,MEMBER,True,343,44,14,Statistics dashboard for the Firefox Marketplace,CSS,19b1962823af8b6fbb2f62cc4fcc8e2cd6bbe003,"Testing support

Don't run phantom tests since brick doesn't work there."
8,https://api.github.com/repos/mozilla/marketplace-stats/pulls/58,58,mcm v2.4 bump (bug 985552/1144437),,ngokevin,674727,2015-03-19T00:39:22Z,CONTRIBUTOR,True,41,48,7,Statistics dashboard for the Firefox Marketplace,CSS,e7359108574a5f84353f03c8f5dd4ceece08c502,mcm v2.4 bump (bug 985552/1144437)
9,https://api.github.com/repos/mozilla/marketplace-stats/pulls/57,57,Bump m-c-m to 1.6.2,"r? @mstriemer 
",muffinresearch,1514,2015-01-26T15:24:20Z,MEMBER,True,1,1,1,Statistics dashboard for the Firefox Marketplace,CSS,fa09af3cb0ba3aae18608b88812e0a5f136af1c4,Bump m-c-m to 1.6.2 (bug 1125845)
