,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/mciconf/pulls/38,38,Fix update channels for release testing (#37),"This fixes issue #37.
",whimboo,129603,2015-05-07T21:16:31Z,CONTRIBUTOR,False,1,1,1,Mozmill CI Configuration Generator (deprecated),HTML,27152ab0b6ff1bc097f0a59c0e309ffa54574d7b,Fix update channels for release testing (#37)
1,https://api.github.com/repos/mozilla/mciconf/pulls/36,36,Add ubuntu 14.10 to supported versions (#35),"This is for issue #35
",cosmin-malutan,3089972,2014-12-31T07:07:36Z,CONTRIBUTOR,False,3,5,1,Mozmill CI Configuration Generator (deprecated),HTML,1a9efe709e2fe93acc0365c6a13b1850816f84bd,Add ubuntu 14.10 to supported versions (#35)
2,https://api.github.com/repos/mozilla/mciconf/pulls/34,34,Add ubuntu 14.04 32 bit and 64 bit to supported versions (#33),"This is for issue #33 
",cosmin-malutan,3089972,2014-11-24T08:41:22Z,CONTRIBUTOR,True,3,1,1,Mozmill CI Configuration Generator (deprecated),HTML,f4b9a5da5002f61942c7daf1f86902ab75fdbcd9,Add ubuntu 14.04 32 bit and 64 bit to supported versions (#33)
3,https://api.github.com/repos/mozilla/mciconf/pulls/32,32,Fix update channels for latest Balrog changes. (#29),"This is for issue #29 
",cosmin-malutan,3089972,2014-10-29T06:48:52Z,CONTRIBUTOR,False,6,4,2,Mozmill CI Configuration Generator (deprecated),HTML,3b7c2981dc4818386890a23c318dca24580665b0,]Fix update channels for latest Balrog changes. (#29)
4,https://api.github.com/repos/mozilla/mciconf/pulls/32,32,Fix update channels for latest Balrog changes. (#29),"This is for issue #29 
",cosmin-malutan,3089972,2014-10-29T06:48:52Z,CONTRIBUTOR,False,6,4,2,Mozmill CI Configuration Generator (deprecated),HTML,8cefd06fdb797bb87b3b5baa54485f930dcee436,Updated entries
5,https://api.github.com/repos/mozilla/mciconf/pulls/32,32,Fix update channels for latest Balrog changes. (#29),"This is for issue #29 
",cosmin-malutan,3089972,2014-10-29T06:48:52Z,CONTRIBUTOR,False,6,4,2,Mozmill CI Configuration Generator (deprecated),HTML,e21a3d529a0a31e2cca3ced81e7781aeae38f012,Add placeholder for channel input
6,https://api.github.com/repos/mozilla/mciconf/pulls/32,32,Fix update channels for latest Balrog changes. (#29),"This is for issue #29 
",cosmin-malutan,3089972,2014-10-29T06:48:52Z,CONTRIBUTOR,False,6,4,2,Mozmill CI Configuration Generator (deprecated),HTML,d62b2a34cd2faded1350683f6877468a2a4c85a7,Update channel entries
7,https://api.github.com/repos/mozilla/mciconf/pulls/28,28,For update tests it is unclear what the target build is (#27),"This fixes issue #27. @cosmin-malutan can you please have a look?
",whimboo,129603,2014-08-28T08:56:38Z,CONTRIBUTOR,True,3,3,1,Mozmill CI Configuration Generator (deprecated),HTML,f94bdea83a92ba798a6f094f8895af5b50d42afa,For update tests it is unclear what the target build is (#27)
8,https://api.github.com/repos/mozilla/mciconf/pulls/26,26,Non-released versions of Firefox are not listed even when candidate builds exist (#24),"Not sure if that is the right fix or not, but at least it let both missing ESR candidate builds appear. @cosmin-malutan please have a look. This PR fixes issue #24.
",whimboo,129603,2014-08-27T20:23:14Z,CONTRIBUTOR,False,18,11,1,Mozmill CI Configuration Generator (deprecated),HTML,1c93d9a9dd227c127d933cdc46aaaa786ff15ff6,Non-released versions of Firefox are not listed even when candidate builds exist (#24)
9,https://api.github.com/repos/mozilla/mciconf/pulls/26,26,Non-released versions of Firefox are not listed even when candidate builds exist (#24),"Not sure if that is the right fix or not, but at least it let both missing ESR candidate builds appear. @cosmin-malutan please have a look. This PR fixes issue #24.
",whimboo,129603,2014-08-27T20:23:14Z,CONTRIBUTOR,False,18,11,1,Mozmill CI Configuration Generator (deprecated),HTML,2784bb9eeb2c55db4ff669a5aaeb009d3a4620bf,Apply review comments
10,https://api.github.com/repos/mozilla/mciconf/pulls/23,23,Add option for the 'override-update-channel' paramater. (#20),"This is for issue #20
",cosmin-malutan,3089972,2014-04-24T11:02:12Z,CONTRIBUTOR,False,26,1,4,Mozmill CI Configuration Generator (deprecated),HTML,ae1738afaebcf0929cc18cad3031cbcdcb77c3b1,Add option for the 'override-update-channel' paramater. (#20)
11,https://api.github.com/repos/mozilla/mciconf/pulls/23,23,Add option for the 'override-update-channel' paramater. (#20),"This is for issue #20
",cosmin-malutan,3089972,2014-04-24T11:02:12Z,CONTRIBUTOR,False,26,1,4,Mozmill CI Configuration Generator (deprecated),HTML,0b0c4487b4421a29a209cfd9a31b674d5d0c49a1,"fixed nits, needs to be squashed"
12,https://api.github.com/repos/mozilla/mciconf/pulls/22,22,Correctly check the if the build exists in the final step. (#21),"I merged this change in my gh-pages branch for testing.
Chose some locales, check the 'xpi' locale if is listed and hit the check button.
http://cosmin-malutan.github.io/mciconf/app/
",cosmin-malutan,3089972,2014-04-11T08:12:23Z,CONTRIBUTOR,False,2,0,1,Mozmill CI Configuration Generator (deprecated),HTML,5ef2bca6dd43b068919f6b80e8c55b25696b25de,Don't add 'xpi' entity as an locale. (#21)
13,https://api.github.com/repos/mozilla/mciconf/pulls/19,19,Remove the specified locale and not the last one when the checkbox is unchecked (#11),"This is for issue #11
",cosmin-malutan,3089972,2014-03-03T14:08:38Z,CONTRIBUTOR,False,1,1,1,Mozmill CI Configuration Generator (deprecated),HTML,31aaf062ec52ed55a100954de8a8d6226d867226,Remove the specified locale and not the last one when the checkbox is unchecked (#11)
14,https://api.github.com/repos/mozilla/mciconf/pulls/18,18,Warn the user when invalid platform gets parsed from uploaded config file(#12),"This pr is for issue #12
For merging it first in to the staging directory.
",cosmin-malutan,3089972,2014-02-28T15:29:43Z,CONTRIBUTOR,False,62,18,1,Mozmill CI Configuration Generator (deprecated),HTML,0d30fe8c2299e5525620b35ff90fd09b61c1d5b2,Warn the user when invalid platform gets parsed from uploaded config file(#12)
15,https://api.github.com/repos/mozilla/mciconf/pulls/15,15,Don't rely on candidates builds when adding release options (#13),"On issue #13 the build version of 26.0b1 and 25.0b1 were under the archived directory, a directory that I didn't parsed. I added that, and I moved the later code in the postHook callback.
",cosmin-malutan,3089972,2014-02-19T10:55:37Z,CONTRIBUTOR,False,48,34,2,Mozmill CI Configuration Generator (deprecated),HTML,ee0ef22096ebaee79b5b1ab4cac1c78e05ca9b7b,"Check the release directory first, and candidates only for flagging the build type (#13)"
16,https://api.github.com/repos/mozilla/mciconf/pulls/14,14,Warn the user when invalid platform gets parsed from uploaded config file(#12),"I updated the notification directive so it will keep the errors visible and hide only successful notifications after a certain timeout. Also I changed the code on uploading a config file in terms of detecting and warning if an invalid platform was added.
",cosmin-malutan,3089972,2014-02-18T16:15:59Z,CONTRIBUTOR,False,62,18,1,Mozmill CI Configuration Generator (deprecated),HTML,0d30fe8c2299e5525620b35ff90fd09b61c1d5b2,Warn the user when invalid platform gets parsed from uploaded config file(#12)
17,https://api.github.com/repos/mozilla/mciconf/pulls/10,10,Ubuntu13.10,"This is a pr for issue #9 depends on issue #8
I chenged [Ubuntu 13.04] to [Ubuntu 13.10], and use ellipsis when display locales inside locales button.
I can see [windows 8.1 32bit] in the application, so I don't think it is missing.
",cosmin-malutan,3089972,2014-01-22T09:57:24Z,CONTRIBUTOR,False,4,2,2,Mozmill CI Configuration Generator (deprecated),HTML,2525a46deb7b437ad3eae2991e3ad3d13de03570,"Changed [Ubuntu 13.04] to [Ubuntu 13.10], and use ellipsis when display locales inside locales button. r=hskupin"
18,https://api.github.com/repos/mozilla/mciconf/pulls/8,8,Removed the app sub folder,,cosmin-malutan,3089972,2014-01-21T09:09:55Z,CONTRIBUTOR,False,1146,666,682,Mozmill CI Configuration Generator (deprecated),HTML,79af880cc48b6a9e2b8745f64cfeba219defb792,"Spited the application on smaller files, and bootstrap the application via requireJS"
19,https://api.github.com/repos/mozilla/mciconf/pulls/8,8,Removed the app sub folder,,cosmin-malutan,3089972,2014-01-21T09:09:55Z,CONTRIBUTOR,False,1146,666,682,Mozmill CI Configuration Generator (deprecated),HTML,6f03c2857d457759f8f9e557d9753629012913e1,Removed the app sub folder
20,https://api.github.com/repos/mozilla/mciconf/pulls/7,7,Require js,"Here I spited the application in different filles so every controller/directive can be a stand alone file, this makes the application more readable and it loads the js files asynchronously.
I change nothing in the logic of the application here, but only the way it loads.

Here is an example of this practice:
https://github.com/tnajdek/angular-requirejs-seed/tree/master/app/js
",cosmin-malutan,3089972,2013-12-27T12:47:18Z,CONTRIBUTOR,False,1114,634,22,Mozmill CI Configuration Generator (deprecated),HTML,79af880cc48b6a9e2b8745f64cfeba219defb792,"Spited the application on smaller files, and bootstrap the application via requireJS"
21,https://api.github.com/repos/mozilla/mciconf/pulls/5,5,"Hi, here is the changes I made in the past two weeks.",,cosmin-malutan,3089972,2013-11-22T13:25:55Z,CONTRIBUTOR,False,1392,160,18,Mozmill CI Configuration Generator (deprecated),HTML,e1ad0bc59078b900237ecd74e76354c409720eb0,Added data to json files and updated some bindings
