,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/57,57,Update mxr link to dxr in readme.,"Update link to mozbase code since mxr is now closed.
",SingingTree,3637370,2016-08-21T23:53:59Z,CONTRIBUTOR,True,1,1,1,Base utilties for mozilla test harnesses,,83a0519cc75db6e1252b0af99169bec6cb575553,"Update mxr link to dxr in readme.

Update link to mozbase code since mxr is now closed."
1,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/56,56,Bug 944621 - Check for addon path and format. Raises appropriate errors.,"This is the fox for bug 944621. The file not_an_addon.txt under mozprofile/tests/files is to test the invalid add-on format conditions. The tests are included in test_addons.py
",sambuddhabasu,4390022,2014-02-11T16:52:42Z,NONE,False,11,2,3,Base utilties for mozilla test harnesses,,76bf9bbe67aa7f7fc93fccf2a70123af283019eb,Bug 944621 - Check for addon path and format. Raises appropriate errors. Tests included under test_addons.py
2,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/55,55,"Bug 956738 - Move structured logging to mozbase, r=ahalberstadt",,jgraham,294864,2014-02-07T16:44:21Z,MEMBER,True,1620,2,20,Base utilties for mozilla test harnesses,,d3a366efbfa2e41bc9d32f989fb06db40ce52956,"Bug 956738 - Move structured logging to mozbase, r=ahalberstadt"
3,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/55,55,"Bug 956738 - Move structured logging to mozbase, r=ahalberstadt",,jgraham,294864,2014-02-07T16:44:21Z,MEMBER,True,1620,2,20,Base utilties for mozilla test harnesses,,5a1d14db9f03bbae6d5c5774250942d7c44b0118,"fixup! Bug 956738 - Move structured logging to mozbase, r=ahalberstadt

Add missing file"
4,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/55,55,"Bug 956738 - Move structured logging to mozbase, r=ahalberstadt",,jgraham,294864,2014-02-07T16:44:21Z,MEMBER,True,1620,2,20,Base utilties for mozilla test harnesses,,21cc973df0da0daf4635885504be240868af676b,"fixup! Bug 956738 - Move structured logging to mozbase, r=ahalberstadt

Make tests pass when all mozbase tests are run together."
5,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/54,54,Bug 959040 - turn on WebRTC logging for Firefox OS emulator. r=ahal.,"Add environment variable for turning on WebRTC logging.

try result: https://tbpl.mozilla.org/?tree=Try&rev=cb82181e704b
",schien,1792048,2014-01-14T09:55:01Z,NONE,True,4,0,1,Base utilties for mozilla test harnesses,,2f04ff68381aaed80709a32f8d611d59815ddef1,Bug 959040 - turn on WebRTC logging for Firefox OS emulator. r=ahal.
6,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/53,53,Bug 952420 - Enable extensions in Metro,"Enable extensions in Metro.
We need it for to be able to load Mozmill
",andreieftimie,449683,2013-12-20T09:00:59Z,NONE,False,2,0,1,Base utilties for mozilla test harnesses,,50d77094a07033276349004c55bf0d05a40c1062,Enable extensions in Metro
7,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/52,52,Bug 944684 - [mozprofile] Be more robust in case of WindowsError thrown when trying to remove an add-on,"This PR exists only to get the Travis CI results. The patch will be uploaded to the given bug as usual.
",whimboo,129603,2013-12-06T15:34:40Z,NONE,False,168,177,20,Base utilties for mozilla test harnesses,,7148f734bc3637fb4e2ebba2948e7b78fe22e1c0,Bug 944684 - [mozprofile] Be more robust in case of WindowsError thrown when trying to remove an add-on
8,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/51,51,Bug 917550 - [mozprocess] ProcessHandler commandline attr broken,"Consistently store `cmd` as a string and `args` as a list. Throw an
error when `args` are over-specified. Document the complete usage of the
`cmd` and `args` options.
",jugglinmike,677252,2013-11-07T16:16:28Z,NONE,False,51,8,2,Base utilties for mozilla test harnesses,,508e010692a805d4038e74ddfe82d37d47104c9d,"Bug 917550 - [mozprocess] ProcessHandler commandline attr broken

Consistently store `cmd` as a string and `args` as a list. Throw an
error when `args` are over-specified. Document the complete usage of the
`cmd` and `args` options."
9,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/50,50,Bug 935677 - Exit status reported by `wait` is incorrect,"I believe the return value of `wait` is currently untested. I'm happy to add tests for this, but it may require a fair amount of change to the testing architecture (so that config files can specify exit status codes). In that case, I'll need a little guidance!

Commit message:

> Unshift the value returned by `os.waitpid()`.
",jugglinmike,677252,2013-11-06T19:55:09Z,NONE,False,10,2,1,Base utilties for mozilla test harnesses,,30d2d12c5b38a0594e4beb9ec4ac46342657555e,"Bug 935677 - Exit status reported by `wait` is incorrect

Unshift the value returned by `os.waitpid()`."
10,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/49,49,Tilde char works in CLI. Fixes bug 874476,"I have not been able to test this, since there is no testmanifest for mozrunner.
",mbeno,301825,2013-06-20T13:46:06Z,NONE,False,4,2,1,Base utilties for mozilla test harnesses,,54b670ba01eb6b0c3e6c39b61da5a820325de3d6,Tilde char works in CLI. Fixes bug 874476
11,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/48,48,Bug 879960 - bump mozlog version number,"Let's deploy a new version of mozlog for our python26 slaves.
",jsyeo,1090020,2013-06-06T19:51:33Z,NONE,False,1,1,1,Base utilties for mozilla test harnesses,,8711f913e4b7de366ec5f30ca9239a180b9d30b0,Bug 879960 - bump mozlog version number
12,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/47,47,Bug 858865 - dm.mkDirs should not fail if there are repeated dir names.,,Callek,1415602,2013-04-07T09:07:42Z,NONE,False,3,3,1,Base utilties for mozilla test harnesses,,7cba6b16cc6eb717c52964c7d4014b9f295bef3f,Bug 858865 - dm.mkDirs should not fail if there are repeated dir names.
13,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/46,46,I fixed a small typo and incorrect URL in the mozinfo doc,"See attached commit
",pombredanne,675997,2013-03-03T14:57:09Z,NONE,False,4,4,1,Base utilties for mozilla test harnesses,,7bb9ad7c9c2611c8de8f58f11d935290c532917e,"Merge pull request #1 from mozilla/master

latest"
14,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/46,46,I fixed a small typo and incorrect URL in the mozinfo doc,"See attached commit
",pombredanne,675997,2013-03-03T14:57:09Z,NONE,False,4,4,1,Base utilties for mozilla test harnesses,,70a082fab383292f64360cddd2cf5b81d95ba984,"Merge pull request #2 from mozilla/master

latest from upstream"
15,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/46,46,I fixed a small typo and incorrect URL in the mozinfo doc,"See attached commit
",pombredanne,675997,2013-03-03T14:57:09Z,NONE,False,4,4,1,Base utilties for mozilla test harnesses,,3102e16edb1599acef22ed5831ced2203403a78d,Fixed typos and corrected URL
16,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/45,45,Fix syntax error in conf.py,,ericholscher,25510,2012-12-14T21:51:09Z,NONE,False,1,1,1,Base utilties for mozilla test harnesses,,cff853b6e999388b6c97ec2cbe9e58fc8eb0f37e,Fix syntax error in conf.py
17,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/44,44,Fix list method typo extended->extend ,,bgirard,793565,2012-12-11T23:35:20Z,NONE,False,1,1,1,Base utilties for mozilla test harnesses,,f7adde56d2629cfc3c1f16fce6873d6fce3ad5ae,Fix list method typo extended->extend
18,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/43,43,Bug 807841 - Use rm -r to delete directories. r=jmaher,,wesj,1117644,2012-11-02T22:48:07Z,NONE,True,1,8,1,Base utilties for mozilla test harnesses,,cf093de16a15d091dfab77c31ab605c488018c32,Bug 807841 - Use rm -r to delete directories. r=jmaher
19,https://api.github.com/repos/mozilla/mozbase-deprecated/pulls/42,42,Add sphinx-based documentation for mozb2g,,wood-robert,2198968,2012-10-27T19:38:57Z,NONE,False,33,16,4,Base utilties for mozilla test harnesses,,127af91980402d7ed7125d92417eb6f6024930b4,Add sphinx-based documentation for mozb2g
