,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/27,27,Fix typo in 'MoFo All-hands schedule app' link,,MichaelKohler,330324,2016-10-25T22:43:16Z,MEMBER,False,1,1,1,MozFest event app data processor,Python,f6c0b42d9329dad3dcf9c5ac8a307daa7353cafa,Fix typo in 'MoFo All-hands schedule app' link
1,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/26,26,Fixed file size limitation problem in GitHub's Content API,"Fixes #25 

Can't use the Content API due to the 1MB file size limitation: https://developer.github.com/v3/repos/contents/

I had to do it the complicated way instead 😢 
- the Branches API to get `sha` of the target branch
- and then the Trees API to get `Tree` of the target branch
- and then find `sha` of our target file (e.g., `sessions.json`)
- and then the Blobs API to grab content of `sessions.json`

For more details, see inline comments in `update_schedule.py`
",mmmavis,2896608,2016-10-20T07:14:42Z,MEMBER,True,20,10,2,MozFest event app data processor,Python,0c3de29f3bdfd13907122e2db54d9ecdc74a435d,Fixes #25 - fixed file size limitation problem in GitHub's Content API
2,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/23,23,Update cffi package to v1.8.3,"Seems like `cffi` needs to be updated too. 

/cc @flamingspaz 
",mmmavis,2896608,2016-10-19T03:41:56Z,MEMBER,True,1,1,1,MozFest event app data processor,Python,c497547ac026535655ee23f58b60ccd2b0e621b6,Update cffi package to v1.8.3
3,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/22,22,notes url validation,"Fixes #21
",mmmavis,2896608,2016-10-18T21:21:44Z,MEMBER,True,5,0,1,MozFest event app data processor,Python,c543666db15877b6d2c1516ca1fe036daec62187,Fixes #21 - notes url validation
4,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/20,20,Update cryptography & pyOpenSSL packages,"to make things build on Jenkins
",flamingspaz,735045,2016-10-18T08:45:18Z,CONTRIBUTOR,True,2,2,1,MozFest event app data processor,Python,7703380d0fc01a76a32abb4a4ca04693be077735,Update cryptography & pyOpenSSL packages
5,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/19,19,Filtered out sessions with invalid ID,"Fixes #18
",mmmavis,2896608,2016-10-14T08:11:57Z,MEMBER,True,2,2,1,MozFest event app data processor,Python,ff20f85f7fda925af28233999af175d885854b62,Fixes #18 - filtered out sessions with invalid ID
6,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/17,17,Trim leading and trailing whitespaces from string based meta,"Fixes #16
",mmmavis,2896608,2016-10-14T00:41:02Z,MEMBER,True,6,1,1,MozFest event app data processor,Python,8e1d41fda88e6733cfa503687746d3fde89b3a02,Fixes #16 - trim whitespaces from string based meta
7,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/15,15,New pathway names,"Fixes #14
",mmmavis,2896608,2016-10-07T01:23:04Z,MEMBER,True,28,5,1,MozFest event app data processor,Python,aee1f2028b96fab22aa8888ffe1a7429098054dc,Fixes #14 - new pathway names
8,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/15,15,New pathway names,"Fixes #14
",mmmavis,2896608,2016-10-07T01:23:04Z,MEMBER,True,28,5,1,MozFest event app data processor,Python,702506db9f7f16577d9ef39a544a8df67f21a7b3,tag list improvement
9,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/13,13,Exported session's category cannot be null,"Fixes #12
",mmmavis,2896608,2016-10-02T00:35:01Z,MEMBER,True,2,2,1,MozFest event app data processor,Python,da804dfe427050124d3530b6f6ff30aef01e5252,Fixes #12 - exported session's category cannot be null
10,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/11,11,Programmatic sessions,"Fixes #10
",mmmavis,2896608,2016-10-02T00:18:08Z,MEMBER,True,6,14,1,MozFest event app data processor,Python,4226391a773129dfeb8ca8d328081555da8a1c28,Fixes #10 - programmatic sessions
11,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/8,8,Allow custom [category] and [tags] column names.,"Fixes #7
",mmmavis,2896608,2016-09-22T21:23:27Z,MEMBER,True,20,10,2,MozFest event app data processor,Python,0ecccf0266ae56bce8e5f1ca2b3deee392269ed9,Fixes #7 - custom [category] and [tags] column names
12,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/6,6,Extracted and parsed facilitator in new format,"Fixes #5
",mmmavis,2896608,2016-09-22T00:18:41Z,MEMBER,True,32,17,1,MozFest event app data processor,Python,0a1510535fe40f9dc0b12489362540afcfe9fe0c,Fixes #5 - extracted and parsed facilitator in new format
13,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/4,4,Include 'end' meta; cleaned up timeblock related code a bit,"Fixes #3
",mmmavis,2896608,2016-09-08T00:19:18Z,MEMBER,True,13,19,1,MozFest event app data processor,Python,866776ce97779107adabb02a75adcdce1e112f09,Fixes #3 - included 'end' meta; cleaned up timeblock related code a bit
14,https://api.github.com/repos/mozilla/mozfest-event-app-data-processor/pulls/2,2,Added 'everyone' meta; update README,"Fixed #1
",mmmavis,2896608,2016-09-07T22:47:12Z,MEMBER,True,8,4,2,MozFest event app data processor,Python,f96895c2a8fb8b9eaa6bbe7f68e407764279b2e4,Fixed #1 - added 'everyone' meta; update README
