,pullid,pulls_number,pulltitle,pullsbody,pullsuserlogin,pullsuserid,pullauthordate,author_association,merged_status,stats_addns,stats_delns,stats_changed_files,pull_repo_desc,pull_repo_lang,pull_commit_sha,pull_commit_message
0,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/24,24,Add Mozilla Code of Conduct,"Fixes #23


As of January 1 2019, Mozilla requires that all GitHub projects include this [CODE_OF_CONDUCT.md](https://github.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md) file in the project root. The file has two parts:

1. Required Text - All text under the headings *Community Participation Guidelines and How to Report*, are required, and should not be altered.
2. Optional Text - The Project Specific Etiquette heading provides a space to speak more specifically about ways people can work effectively and inclusively together. Some examples of those can be found on the [Firefox Debugger](https://github.com/devtools-html/debugger.html/blob/master/CODE_OF_CONDUCT.md) project, and [Common Voice](https://github.com/mozilla/voice-web/blob/master/CODE_OF_CONDUCT.md). (The optional part is commented out in the [raw template file](https://raw.githubusercontent.com/mozilla/repo-templates/blob/master/templates/CODE_OF_CONDUCT.md), and will not be visible until you modify and uncomment that part.)

If you have any questions about this file, or Code of Conduct policies and procedures, please see [Mozilla-GitHub-Standards](https://wiki.mozilla.org/GitHub/Repository_Requirements) or email Mozilla-GitHub-Standards+CoC@mozilla.com.

_(Message COC002)_",Mozilla-GitHub-Standards,48073334,2019-03-29T17:05:36Z,NONE,False,15,0,1,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,bcb0b9f93b3aaf963a54bebaa5a6682acf18975f,"Add Mozilla Code of Conduct file

Fixes #23.

_(Message COC002)_"
1,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/21,21,Fix link to activity.md,,mortonfox,495892,2016-08-05T04:48:23Z,NONE,False,1,1,1,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,80e416cf0f396b91b51e144abbfc1731a5be9697,Fix link to activity.md
2,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/20,20,adds specific skills,"@soapdog - R+?
",hannahkane,8389648,2016-04-05T18:38:15Z,NONE,True,7,2,1,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,e7d67f2ecb06484be59b32a19b40a85e55f5a3c2,adds specific skills
3,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/19,19,adds 21st century skills to template,,hannahkane,8389648,2016-04-05T18:35:32Z,NONE,True,5,1,1,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,f01e78692384f00b248e0019e170f1d16ec53c88,adds 21st century skills to template
4,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/16,16,Add Portuguese L10n,,marinalimeira,9384479,2015-12-25T20:51:56Z,CONTRIBUTOR,True,111,1,3,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,534c7a0f90edf0b190be69913b5d2e058b65a472,Add Portuguese L10n
5,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/12,12,Typo and h4,,RAVMN,79305,2015-12-22T02:22:54Z,CONTRIBUTOR,True,2,2,1,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,d90844fdaea92859529ab25d817d9ea9f81273c0,Typo and h4
6,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/11,11,corrección de traducción ,"Small changes to the translation/corrections
",jowasp,6704344,2015-12-22T01:09:56Z,CONTRIBUTOR,True,7,7,1,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,782960095258eb4141f9bc113ca46ad19be217ce,Update activity.md
7,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/11,11,corrección de traducción ,"Small changes to the translation/corrections
",jowasp,6704344,2015-12-22T01:09:56Z,CONTRIBUTOR,True,7,7,1,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,c715b281db7c580ae1ccf49a8f5b2d38669a40b2,Update activity.md
8,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/11,11,corrección de traducción ,"Small changes to the translation/corrections
",jowasp,6704344,2015-12-22T01:09:56Z,CONTRIBUTOR,True,7,7,1,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,3308adaa4d0c10a812c9a3e382a8c177afa0d2fb,"small changes - Suggestions

The word 'córner' in spanish comes from the same 'corner' description as in english and sounds quite cool
You can think of using the longer variant or the shorter one."
9,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/9,9,es translation,,RAVMN,79305,2015-12-02T03:21:03Z,CONTRIBUTOR,True,110,1,3,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,755b0cc07e9407c1aa67d3a9a6b1e8e7817fdd51,"Initial translation by Carlos

Translated by Carlos Riveros, reviewed by me."
10,https://api.github.com/repos/mozilla/mozilla-club-activity-html-puzzle-boxes/pulls/9,9,es translation,,RAVMN,79305,2015-12-02T03:21:03Z,CONTRIBUTOR,True,110,1,3,A Mozilla Club activity called HTML Puzzle Boxes,JavaScript,7d949e501692df6bdd3e01575b3dd73baf61dc17,reviewed by Joaquín Haeussler
