,username,repo_name,no_of_contributions
16106,0b10011,moz-coco,1
480,0c0w3,addon-sdk,201
827,0c0w3,chromeless,78
453,0c0w3,mozmill,1
5030,0ip,etherpad-lite,159
14346,0x7b1,wp-calypso,4
4115,0xDivyanshu,mozdownload,1
18916,0xMilly,TTS,1
9945,0xdiba,tls-observatory,285
19529,0xflotus,application-services,1
19352,0xflotus,contain-facebook,1
3409,0xflotus,node-convict,1
19078,0xflotus,protocol,1
12158,0xflotus,sops,2
20632,0xmachos,launcher,1
12194,0xmohit,sops,1
14856,0xpr03,sccache,1
19370,0xxon,bro,1150
19558,13akshit,common-voice-global-sprint,1
18286,13akshit,firefox57-sprint,1
4746,153957,html5-lint,1
10041,16patsle,pontoon-intro,7
11165,19josehernandez86,reps-edu,1
10093,1ec5,pontoon-intro,3
15089,1forh,webrtc.mozilla.org,3
17610,1j01,http-server,1
11166,1l2p,reps-edu,1
682,21echoes,openwebapps,7
15629,21lidya,activate.mozilla.community,12
18631,21lidya,blurts-server,30
15689,2andrew,activate.mozilla.community,1
14509,2fours,Java-WebSocket,1
11282,2sidedfigure,passport-openid,2
8499,2xyo,MozDef,3
5675,38leinaD,mortar-game-stub,1
18014,3lixy,infosec.mozilla.org,1
13026,42wim,chat.mozillafoundation.org,2
16131,44px,redash,19
15163,50Wliu,positron-electron,5
14981,50Wliu,tofino-electron,5
8491,526avijitgupta,MozDef,29
20361,5b793f,sumo-experiments,33
17229,5y,activity-stream-l10n,3
4516,64lines,airmozilla,1
3993,6a68,123done,2
18738,6a68,FirefoxColor,1
5549,6a68,anodejsholidayseason,32
3550,6a68,bidpom,3
20475,6a68,bigquery-etl,1
2671,6a68,browserid-crypto,2
4921,6a68,browserid_deployer,6
10644,6a68,chronicle,85
10649,6a68,chronicle-addon,10
10652,6a68,chronicle-l10n,1
9740,6a68,contacts-sync-prototype,3
16343,6a68,eslint-plugin-fxa,2
11694,6a68,fxa,251
18372,6a68,fxa-amplitude-send,4
9086,6a68,fxa-dev,4
16664,6a68,haiku-gaia-experiments,124
3795,6a68,i18n-abide,1
12112,6a68,idea-town-addon,5
12225,6a68,idea-town-app,6
12222,6a68,idea-town-meta,2
5849,6a68,identity-ops,1
4979,6a68,identity-pubkeys,10
5668,6a68,kpiggybank,2
12114,6a68,micro-email-validator,4
16858,6a68,multi-account-containers,1
3418,6a68,node-convict,1
4769,6a68,npm-lockdown,1
16729,6a68,one-off-system-add-ons,1
1354,6a68,persona,266
3887,6a68,persona-yahoo-bridge,3
16736,6a68,ping-centre,10
4030,6a68,restmail.net,5
5106,6a68,status.persona.org,12
17025,6a68,testpilot-metrics,12
13585,6a68,universal-search,118
11666,6a68,universal-search-addon,154
11485,6a68,universal-search-content,49
11950,6a68,universal-search-download-page,3
11491,6a68,universal-search-old-iframe,15
13202,6a68,universal-search-recommendation,31
3132,6a68,winchan,1
9211,741g,angle,46
9406,7brokenmirrors,OpenWPM,1
13916,9037568,openhab,25
14121,9037568,smarthome,1
3388,A-312,node-convict,12
4837,A-312,nunjucks,1
10480,AALEKH,audit-go,61
10808,AALEKH,audit-go-mozdef,55
10802,AALEKH,libaudit-go,61
14547,AAorris,tofino,1
4579,AD7six,WebGameStub,2
17136,AG12r,activity-stream-l10n,36
13780,AG12r,addons-frontend,236
12433,AG12r,addons-linter,17
8336,AG12r,addons-server,550
19271,AG12r,contain-facebook,20
11807,AG12r,donate.mozilla.org,91
8573,AG12r,fxa-content-server-l10n,199
17738,AG12r,notes,19
10025,AG12r,pontoon-intro,9
17848,AG12r,send,33
6387,AG12r,thimble.mozilla.org,53
7767,AJDBenner,brackets,10
6442,AJDBenner,thimble.mozilla.org,5
7151,AVGP,appmaker-components,1
2381,AaronFriel,source-map,2
1503,AaronMT,bedrock,19
