repo_name,no_of_contributions
123done,217
2018-global-sprint-planning,101
ADBFuzz,39
ActiveData,461
ActiveData-ETL,253
Addon-Tests,1653
Affiliates-Tests,156
BanHammer,135
Base32,60
BrowserQuest,153
Bubo-Eye,39
Build-a-Virtual-World---examples,24
CSOL-site,1127
CampaignsforMDM,16
Campus-Activities,7
Campus-Club-Year-Plans,6
Campus-Program,8
Campus-Resources,1
ChangeDetector,2
Civic-Hack-Day-Code-of-Conduct-2015,16
Community-Feedback,1
Community-Gatherings,1
CookieRestrictionsBreakageStudy,592
CookieRestrictionsShield,481
CorporaCreator,147
CrashAndHoursAndURI,5
CrashesVSHoursAndURI,3
DeepSpeech,2645
Deferred,22
DemoStumbler,21
DropItLike,37
FastBlockShield,433
Fira,49
Firefox-Shield,1
Firefox-UI-Heatmap,2
FirefoxAcademicCenter,50
FirefoxColor,638
FlightDeck,3655
FlightDeck-lib,86
FlightDeck-selenium,108
FoxPuppet,176
FunkJamTracker,14
Fx_Usage_Report,150
Gallery-Maker,4
Garmr,5
GitHub_Selenium,8
JSBugMon,29
Java-WebSocket,450
Jisort,241
KitchenSink,52
KitchenSink-App,3
L10nBudgetExperiment,3
LPCNet,249
MDM-Portal,4
MakeAPI,281
Marketplace.PHP,68
Marketplace.Python,72
MediaWiki-Github-Issues,6
MoDataSubmission,1
MozDef,5326
MozStumbler,2619
NPRAligner,35
Negatus,133
OSSN,2
One-Mozilla-blog,134
OneCRL-Tools,169
OpenDesign,339
OpenOpenNewsNews,5
OpenWPM,1960
OpenWPM-WebExtension-Experiment,8
OriginOnly,7
PPPStudy,14
PollBot,194
PyBrowserID,172
PyFxA,147
PyHawk,78
PyHive,142
PyPOM,205
PyVEP,75
Reps,81
Reveal-Mozilla-Theme,3
SQLite.swift,316
Snappy-Symbolication-Server,86
Social-Email-Template,35
SocialShare,47
Socorro-Tests,438
SocorroSearchService,9
Spoke,2495
SwiftKeychainWrapper,38
TBTWBuildChallenge,10
TLSCanaryWeb,8
TTS,1039
TUID,532
Twitter-Collage,102
UCOSP-winter-2018_TrackingTechnologies,29
WebApp-OpenStreetMap,52
WebBuilder,12
WebGameStub,906
Your-Web,108
able-registry-dev,4
about-home-jumping-fox-game,42
about-home-persona-switcher,3
about-home-piano-snippet,3
ace,1312
acidity,21
action-input,52
activate.mozilla.community,1865
active-data-recipes,195
activities,6
activity-accessible-gaming,2
activity-stream,4755
activity-stream-l10n,1131
activity-stream-okrs,4
activity-stream-storage-prototype,1
ad-analysis-for-facebook,36
ad-analysis-for-facebook-disabled,40
adbhelper,138
addon-builder-helper,88
addon-card-preview,32
addon-compatibility-reporter,139
addon-recommendation-shield-study,162
addon-registration,65
addon-sdk,5799
addon-sdk-sdocs,8
addon-sdk-sdocs-pub,3
addon-wr,66
addons,781
addons-code-manager,1136
addons-contribution-notifier,376
addons-engagement-study,3
addons-frontend,12660
addons-issue-counts,59
addons-linter,4997
addons-nginx,29
addons-pm,679
addons-robot,6
addons-server,39583
addons.mozilla.org-mod,28
addons_daily,99
adhoctribution,67
admin_for_mozilla,2
advance,30
advocacy.mozilla.org,1738
aestimia,260
aestimia-client,20
affiliates,182
affiliates-lib,16
