,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,get-synced,3de8ab2181d8ed6a6cb5637a5fb701c05598979d,Adds jpmignore,schalkneethling,2016-12-02T18:18:47Z,schalkneethling,schalkneethling,8,8,0
1,get-synced,97fa1cf877ee4d1080f9133a8f122172028dca21,Ignore xpi files,schalkneethling,2016-12-02T18:15:19Z,schalkneethling,schalkneethling,1,1,0
2,get-synced,59bf9457aed0da7000d958aefe6cc45a39c825d5,Updates to package.json,schalkneethling,2016-12-02T18:14:41Z,schalkneethling,schalkneethling,17,11,6
3,get-synced,4440eac28df4a970ce70e3211e9803a9d6ce7ff7,"Merge pull request #4 from schalkneethling/set-data-collection-period-2-weeks

Set data collection period to two weeks",Schalk Neethling,2016-12-02T01:16:28Z,schalkneethling,schalkneethling,1,1,0
4,get-synced,c822c9c3112bf2e9e810ee09565ab3f0b4868f3c,Set data collection period to two weeks,schalkneethling,2016-12-02T01:15:51Z,schalkneethling,schalkneethling,1,1,0
5,get-synced,0fb149341b708a8bf1a81959a9add709465080bd,"Merge pull request #3 from schalkneethling/add-shield-study-variations

Adds the ability to build and distribute shield based variations",Schalk Neethling,2016-12-01T20:08:34Z,schalkneethling,schalkneethling,167,120,47
6,get-synced,cf83478bf39b4b880cc67840e2f7f09bf8442eda,Adds the ability to build and distribute shield based variations,schalkneethling,2016-12-01T19:19:56Z,schalkneethling,schalkneethling,167,120,47
7,get-synced,5c7b538a8436262a5416c02693dd1aa2763036c7,"Merge pull request #2 from schalkneethling/convert-to-hybrid-addon

Changes from standard web extension to hybrid",Schalk Neethling,2016-11-22T12:13:46Z,schalkneethling,schalkneethling,108,75,33
8,get-synced,f964e8da971fc97a503255f9d9db4f7e70a93a74,Fix message sending,schalkneethling,2016-11-22T12:13:18Z,schalkneethling,schalkneethling,39,18,21
9,get-synced,1bc9c18cfea12b17de272ad88a641191784ba340,Changes from standard web extension to hybrid,schalkneethling,2016-11-22T10:55:30Z,schalkneethling,schalkneethling,111,78,33
10,get-synced,e41dd7e93a2a6635dfe59928548dc2eb7c45b97c,Adds final icon for add-on,schalkneethling,2016-11-04T16:14:48Z,schalkneethling,schalkneethling,64,31,33
11,get-synced,f67e1b62e129b8017ceef5f5c51dd40700479015,Update to notification copy,schalkneethling,2016-11-02T13:20:02Z,schalkneethling,schalkneethling,92,68,24
12,get-synced,04615129bfc1bb1e2ec9b14f3ec57ffc9786c924,Latest updates,schalkneethling,2016-10-05T17:54:14Z,schalkneethling,schalkneethling,61,35,26
13,get-synced,9aeb9ec0f92d855d4c5787d19e29916eb8cb28e2,Latest updates to add-on,schalkneethling,2016-10-05T14:18:21Z,schalkneethling,schalkneethling,471,318,153
14,get-synced,551cfa17f606ebe56cd6e81f9413f60f2e7afb0e,Update to browser_action default title,schalkneethling,2016-09-30T15:49:51Z,schalkneethling,schalkneethling,2,1,1
15,get-synced,65025c7e92c05e0b9541b081958a8abee571c6b2,Show notification and enable browser_action,schalkneethling,2016-09-30T15:27:30Z,schalkneethling,schalkneethling,78,36,42
16,get-synced,f9f7160469dc135fd427a17fc2d09e0cb554c4e7,MVP release,schalkneethling,2016-09-30T13:50:45Z,schalkneethling,schalkneethling,263,135,128
17,get-synced,8e02e0dcdcf1693a4170f5b281292c2c8631db10,Updates to logic and flow,schalkneethling,2016-09-29T16:26:21Z,schalkneethling,schalkneethling,70,45,25
18,get-synced,292e7e3e59756263df1554dab1f19b6b590b0afc,Update to lib and treeWalker,schalkneethling,2016-09-29T15:19:29Z,schalkneethling,schalkneethling,119,90,29
19,get-synced,59c57288f3eecd4a8aa4bf033727d36545663740,Create README.md,Schalk Neethling,2016-09-29T13:10:22Z,schalkneethling,schalkneethling,3,3,0
20,get-synced,1c58093d37c79df4e3c267307376a56e2568802e,Initial push of Get Synced,schalkneethling,2016-09-29T13:09:48Z,schalkneethling,schalkneethling,771,771,0
