,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,TBTWBuildChallenge,03d141411a1193bcee3b6c89e6774ce01328f05e,Update ISSUE_TEMPLATE.md,LucyeoH,2016-06-08T19:37:50Z,Lucyeoh,Lucyeoh,20,4,16
1,TBTWBuildChallenge,816d6809390359ffaf8ba87448a55b42700697dc,Update README.md,LucyeoH,2016-05-26T16:46:17Z,Lucyeoh,Lucyeoh,2,1,1
2,TBTWBuildChallenge,4a947145c3ca50d78bc79c4cdc7659825503d2e3,Update CONTRIBUTING.md,LucyeoH,2016-04-25T19:34:58Z,Lucyeoh,Lucyeoh,6,3,3
3,TBTWBuildChallenge,83d5dbfedfb50064d43b72213829218f04266c29,Update ISSUE_TEMPLATE.md,LucyeoH,2016-04-15T12:22:41Z,Lucyeoh,Lucyeoh,2,1,1
4,TBTWBuildChallenge,cb763c5a4de26a3bdc2bda534446549572b8e28a,Create ISSUE_TEMPLATE.md,LucyeoH,2016-04-15T12:21:51Z,Lucyeoh,Lucyeoh,24,24,0
5,TBTWBuildChallenge,a42e3b25ca3d8a2ac14b2f894aaa7fe64277cc89,Update README.md,LucyeoH,2016-04-15T12:13:28Z,Lucyeoh,Lucyeoh,2,1,1
6,TBTWBuildChallenge,f714400242bcba29be29724c827bb7d579029fc2,Rename CON.md to CONTRIBUTING.md,LucyeoH,2016-04-15T12:11:04Z,Lucyeoh,Lucyeoh,0,0,0
7,TBTWBuildChallenge,08a10903135050d099778f10596e29daaa9a70bc,Create GUIDELINES.md,LucyeoH,2016-04-15T12:07:22Z,Lucyeoh,Lucyeoh,12,12,0
8,TBTWBuildChallenge,1d8fe5eda5268e8d8cd8db7ef4678ec43f663ce5,Update README.md,LucyeoH,2016-04-13T23:16:18Z,Lucyeoh,Lucyeoh,13,11,2
9,TBTWBuildChallenge,5015ab07af80bc38a552f68653ba73b2a78c0f81,Initial commit,LucyeoH,2016-04-13T23:08:37Z,Lucyeoh,Lucyeoh,2,2,0
