,reponame,commitid,commitmsg,commitauthor,commitauthordate,comauthorlogin,shaauthorlogin,stats_total,stats_addns,stats_delns
0,checklinks,b54665bc0f7ed4e7345a71270c5562cc8f5a4612,correct produrls,retornam,2012-03-26T19:25:52Z,retornam,retornam,2,1,1
1,checklinks,7854b34a4a4f377d4ac6427d5686936eb45fb45c,correct produrls,retornam,2012-03-26T19:25:07Z,retornam,retornam,32,16,16
2,checklinks,0aba5980cab68e857f25e3ae0eecee57ae2e81c5,correct produrls,retornam,2012-03-26T19:24:34Z,retornam,retornam,10,6,4
3,checklinks,c53909fc21b7ea92c17959ae05e9119a3e4347aa,correct produrls,retornam,2012-03-26T19:21:13Z,retornam,retornam,34,17,17
4,checklinks,e9a93dd0d867b0f8174ace7d2e4e1e4a28d3caa4,making http and https changes to lincheck.py,retornam,2012-03-26T19:12:34Z,retornam,retornam,43,22,21
5,checklinks,b8fe101f69855602519e937fa97171b2430a658f,Adding production and stage urls for the onemozilla merge,retornam,2012-03-26T19:03:22Z,retornam,retornam,68,34,34
6,checklinks,b8161a448d7bf72a1687f15e1deab47e3d771273,adding links for certs,retornam,2011-08-29T22:33:16Z,retornam,retornam,4,3,1
7,checklinks,3d06f6d296d2245bae3a707d60d0e01119e70e26,adding prod urls,retornam,2011-08-24T20:55:17Z,retornam,retornam,16,16,0
8,checklinks,9c30bd0775d2d2a8a16d4a43178b46b2aecc26a6,doing write reqs at 0.00 you will always make mistakes,retornam,2011-08-24T18:22:30Z,retornam,retornam,1,0,1
9,checklinks,fe0259f39c309a082c3075291b0a95c5dd749ddd,fixing typo,retornam,2011-08-24T07:48:32Z,retornam,retornam,2,1,1
10,checklinks,a7c25984fe781f791a9e794a945902775125eeea,adding gitignore,retornam,2011-08-24T07:37:03Z,retornam,retornam,1,1,0
11,checklinks,4a45bb85033cc51f153ddc46afe34ef5392eaa00,first commit,retornam,2011-08-24T07:36:40Z,retornam,retornam,70,70,0
